muni_id,muni_upper,municipal,mapc,mf164,county_id,county,comm_type,comm_name,subtype_id,subtype,rpa_id,rpa_name,mpo_id,mpo_name,region_id,region,subreg_id,subregion,cousub_id,cousubname
11,ASHBURNHAM,Ashburnham,0,0,27,Worcester County,4,Developing Suburbs,7,Country Suburb,8,Montachusett Regional Planning Commission,8,Montachusett,402,Central Massachusetts,,"",1885,Ashburnham town
12,ASHBY,Ashby,0,0,17,Middlesex County,5,Rural Towns,8,Rural Town,8,Montachusett Regional Planning Commission,8,Montachusett,402,Central Massachusetts,,"",1955,Ashby town
13,ASHFIELD,Ashfield,0,0,11,Franklin County,5,Rural Towns,8,Rural Town,4,Franklin County Commission,4,Franklin,405,Western Massachusetts,,"",2095,Ashfield town
14,ASHLAND,Ashland,1,1,17,Middlesex County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,357,Metrowest Subregion,2130,Ashland town
15,ATHOL,Athol,0,0,27,Worcester County,4,Developing Suburbs,6,Maturing New England Town,8,Montachusett Regional Planning Commission,8,Montachusett,402,Central Massachusetts,,"",2480,Athol town
16,ATTLEBORO,Attleboro,0,1,5,Bristol County,2,Regional Urban Centers,2,Sub-Regional Urban Center,13,Southeastern Regional Planning & Economic Development District,13,Southeastern Massachusetts,405,Southeastern Massachusetts,,"",2690,Attleboro city
17,AUBURN,Auburn,0,0,27,Worcester County,4,Developing Suburbs,6,Maturing New England Town,3,Central Massachusetts Planning Commission,3,Central Massachusetts,402,Central Massachusetts,,"",2760,Auburn town
18,AVON,Avon,0,1,21,Norfolk County,3,Maturing Suburbs,4,Mature Suburb,11,Old Colony Planning Council,11,Old Colony,404,Southeastern Massachusetts,,"",2935,Avon town
19,AYER,Ayer,0,1,17,Middlesex County,4,Developing Suburbs,6,Maturing New England Town,8,Montachusett Regional Planning Commission,8,Montachusett,402,Central Massachusetts,,"",3005,Ayer town
20,BARNSTABLE,Barnstable,0,0,1,Barnstable County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,2,Cape Cod Planning & Economic Development Commission,2,Cape Cod,404,Southeastern Massachusetts,,"",3690,Barnstable Town city
21,BARRE,Barre,0,0,27,Worcester County,4,Developing Suburbs,7,Country Suburb,3,Central Massachusetts Planning Commission,3,Central Massachusetts,402,Central Massachusetts,,"",3740,Barre town
22,BECKET,Becket,0,0,3,Berkshire County,5,Rural Towns,8,Rural Town,1,Berkshire County Regional Planning Commission,1,Berkshire,405,Western Massachusetts,,"",4545,Becket town
23,BEDFORD,Bedford,1,1,17,Middlesex County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,356,MAGIC Subregion,4615,Bedford town
24,BELCHERTOWN,Belchertown,0,0,15,Hampshire County,4,Developing Suburbs,7,Country Suburb,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",4825,Belchertown town
25,BELLINGHAM,Bellingham,1,1,21,Norfolk County,4,Developing Suburbs,6,Maturing New England Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,361,South West (SWAP) Subregion,4930,Bellingham town
26,BELMONT,Belmont,1,1,17,Middlesex County,1,Inner Core,3,Streetcar Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,355,Inner Core (ICC) Subregion,5070,Belmont town
27,BERKLEY,Berkley,0,0,5,Bristol County,4,Developing Suburbs,7,Country Suburb,13,Southeastern Regional Planning & Economic Development District,13,Southeastern Massachusetts,406,Southeastern Massachusetts,,"",5280,Berkley town
28,BERLIN,Berlin,0,1,27,Worcester County,4,Developing Suburbs,7,Country Suburb,3,Central Massachusetts Planning Commission,3,Central Massachusetts,402,Central Massachusetts,,"",5490,Berlin town
29,BERNARDSTON,Bernardston,0,0,11,Franklin County,5,Rural Towns,8,Rural Town,4,Franklin County Commission,4,Franklin,405,Western Massachusetts,,"",5560,Bernardston town
30,BEVERLY,Beverly,1,1,9,Essex County,2,Regional Urban Centers,2,Sub-Regional Urban Center,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,358,North Shore (NSTF) Subregion,5595,Beverly city
31,BILLERICA,Billerica,0,1,17,Middlesex County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,10,Northern Middlesex Area Council of Government,10,Northern Middlesex,403,Northeastern Massachusetts,,"",5805,Billerica town
32,BLACKSTONE,Blackstone,0,1,27,Worcester County,4,Developing Suburbs,6,Maturing New England Town,3,Central Massachusetts Planning Commission,3,Central Massachusetts,402,Central Massachusetts,,"",6015,Blackstone town
33,BLANDFORD,Blandford,0,0,13,Hampden County,5,Rural Towns,8,Rural Town,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",6085,Blandford town
34,BOLTON,Bolton,1,1,27,Worcester County,4,Developing Suburbs,7,Country Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,356,MAGIC Subregion,6365,Bolton town
35,BOSTON,Boston,1,1,25,Suffolk County,1,Inner Core,1,Metro Core Community,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,355,Inner Core (ICC) Subregion,7000,Boston city
36,BOURNE,Bourne,0,0,1,Barnstable County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,2,Cape Cod Planning & Economic Development Commission,2,Cape Cod,405,Southeastern Massachusetts,,"",7175,Bourne town
37,BOXBOROUGH,Boxborough,1,1,17,Middlesex County,4,Developing Suburbs,7,Country Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,356,MAGIC Subregion,7350,Boxborough town
38,BOXFORD,Boxford,0,1,9,Essex County,4,Developing Suburbs,7,Country Suburb,6,Merrimac Valley Planning Commission,6,Merrimac Valley,403,Northeastern Massachusetts,,"",7420,Boxford town
39,BOYLSTON,Boylston,0,0,27,Worcester County,4,Developing Suburbs,7,Country Suburb,3,Central Massachusetts Planning Commission,3,Central Massachusetts,402,Central Massachusetts,,"",7525,Boylston town
40,BRAINTREE,Braintree,1,1,21,Norfolk County,3,Maturing Suburbs,4,Mature Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,360,South Shore (SSC) Subregion,7740,Braintree Town city
41,BREWSTER,Brewster,0,0,1,Barnstable County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,2,Cape Cod Planning & Economic Development Commission,2,Cape Cod,406,Southeastern Massachusetts,,"",7980,Brewster town
42,BRIDGEWATER,Bridgewater,0,1,23,Plymouth County,4,Developing Suburbs,6,Maturing New England Town,11,Old Colony Planning Council,11,Old Colony,404,Southeastern Massachusetts,,"",8085,Bridgewater town
43,BRIMFIELD,Brimfield,0,0,13,Hampden County,5,Rural Towns,8,Rural Town,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",8470,Brimfield town
44,BROCKTON,Brockton,0,1,23,Plymouth County,2,Regional Urban Centers,9,Major Regional Urban Center,11,Old Colony Planning Council,11,Old Colony,404,Southeastern Massachusetts,,"",9000,Brockton city
45,BROOKFIELD,Brookfield,0,0,27,Worcester County,4,Developing Suburbs,6,Maturing New England Town,3,Central Massachusetts Planning Commission,3,Central Massachusetts,402,Central Massachusetts,,"",9105,Brookfield town
46,BROOKLINE,Brookline,1,1,21,Norfolk County,1,Inner Core,3,Streetcar Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,355,Inner Core (ICC) Subregion,9175,Brookline town
47,BUCKLAND,Buckland,0,0,11,Franklin County,5,Rural Towns,8,Rural Town,4,Franklin County Commission,4,Franklin,405,Western Massachusetts,,"",9595,Buckland town
48,BURLINGTON,Burlington,1,1,17,Middlesex County,3,Maturing Suburbs,4,Mature Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,359,North Suburban (NSPC) Subregion,9840,Burlington town
49,CAMBRIDGE,Cambridge,1,1,17,Middlesex County,1,Inner Core,1,Metro Core Community,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,355,Inner Core (ICC) Subregion,11000,Cambridge city
50,CANTON,Canton,1,1,21,Norfolk County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,362,Three Rivers (TRIC) Subregion,11315,Canton town
51,CARLISLE,Carlisle,1,1,17,Middlesex County,4,Developing Suburbs,7,Country Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,356,MAGIC Subregion,11525,Carlisle town
52,CARVER,Carver,0,1,23,Plymouth County,4,Developing Suburbs,6,Maturing New England Town,13,Southeastern Regional Planning & Economic Development District,13,Southeastern Massachusetts,407,Southeastern Massachusetts,,"",11665,Carver town
53,CHARLEMONT,Charlemont,0,0,11,Franklin County,5,Rural Towns,8,Rural Town,4,Franklin County Commission,4,Franklin,405,Western Massachusetts,,"",12505,Charlemont town
54,CHARLTON,Charlton,0,0,27,Worcester County,4,Developing Suburbs,7,Country Suburb,3,Central Massachusetts Planning Commission,3,Central Massachusetts,402,Central Massachusetts,,"",12715,Charlton town
55,CHATHAM,Chatham,0,0,1,Barnstable County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,2,Cape Cod Planning & Economic Development Commission,2,Cape Cod,407,Southeastern Massachusetts,,"",12995,Chatham town
56,CHELMSFORD,Chelmsford,0,1,17,Middlesex County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,10,Northern Middlesex Area Council of Government,10,Northern Middlesex,403,Northeastern Massachusetts,,"",13135,Chelmsford town
57,CHELSEA,Chelsea,1,1,25,Suffolk County,1,Inner Core,1,Metro Core Community,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,355,Inner Core (ICC) Subregion,13205,Chelsea city
58,CHESHIRE,Cheshire,0,0,3,Berkshire County,4,Developing Suburbs,6,Maturing New England Town,1,Berkshire County Regional Planning Commission,1,Berkshire,405,Western Massachusetts,,"",13345,Cheshire town
59,CHESTER,Chester,0,0,13,Hampden County,5,Rural Towns,8,Rural Town,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",13485,Chester town
60,CHESTERFIELD,Chesterfield,0,0,15,Hampshire County,5,Rural Towns,8,Rural Town,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",13590,Chesterfield town
61,CHICOPEE,Chicopee,0,0,13,Hampden County,2,Regional Urban Centers,2,Sub-Regional Urban Center,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",13660,Chicopee city
62,CHILMARK,Chilmark,0,0,7,Dukes County,5,Rural Towns,8,Rural Town,5,Marthas Vineyard Commission,5,Marthas Vineyard,404,Southeastern Massachusetts,,"",13800,Chilmark town
63,CLARKSBURG,Clarksburg,0,0,3,Berkshire County,5,Rural Towns,8,Rural Town,1,Berkshire County Regional Planning Commission,1,Berkshire,405,Western Massachusetts,,"",14010,Clarksburg town
64,CLINTON,Clinton,0,1,27,Worcester County,2,Regional Urban Centers,2,Sub-Regional Urban Center,8,Montachusett Regional Planning Commission,8,Montachusett,402,Central Massachusetts,,"",14395,Clinton town
65,COHASSET,Cohasset,1,1,21,Norfolk County,4,Developing Suburbs,7,Country Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,360,South Shore (SSC) Subregion,14640,Cohasset town
66,COLRAIN,Colrain,0,0,11,Franklin County,5,Rural Towns,8,Rural Town,4,Franklin County Commission,4,Franklin,405,Western Massachusetts,,"",14885,Colrain town
67,CONCORD,Concord,1,1,17,Middlesex County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,356,MAGIC Subregion,15060,Concord town
68,CONWAY,Conway,0,0,11,Franklin County,5,Rural Towns,8,Rural Town,4,Franklin County Commission,4,Franklin,405,Western Massachusetts,,"",15200,Conway town
69,CUMMINGTON,Cummington,0,0,15,Hampshire County,5,Rural Towns,8,Rural Town,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",16040,Cummington town
70,DALTON,Dalton,0,0,3,Berkshire County,4,Developing Suburbs,6,Maturing New England Town,1,Berkshire County Regional Planning Commission,1,Berkshire,405,Western Massachusetts,,"",16180,Dalton town
312,WARWICK,Warwick,0,0,11,Franklin County,5,Rural Towns,8,Rural Town,4,Franklin County Commission,4,Franklin,405,Western Massachusetts,,"",73265,Warwick town
71,DANVERS,Danvers,1,1,9,Essex County,3,Maturing Suburbs,4,Mature Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,358,North Shore (NSTF) Subregion,16250,Danvers town
72,DARTMOUTH,Dartmouth,0,0,5,Bristol County,4,Developing Suburbs,6,Maturing New England Town,13,Southeastern Regional Planning & Economic Development District,13,Southeastern Massachusetts,408,Southeastern Massachusetts,,"",16425,Dartmouth town
73,DEDHAM,Dedham,1,1,21,Norfolk County,3,Maturing Suburbs,4,Mature Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,362,Three Rivers (TRIC) Subregion,16495,Dedham town
74,DEERFIELD,Deerfield,0,0,11,Franklin County,4,Developing Suburbs,6,Maturing New England Town,4,Franklin County Commission,4,Franklin,405,Western Massachusetts,,"",16670,Deerfield town
75,DENNIS,Dennis,0,0,1,Barnstable County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,2,Cape Cod Planning & Economic Development Commission,2,Cape Cod,408,Southeastern Massachusetts,,"",16775,Dennis town
76,DIGHTON,Dighton,0,0,5,Bristol County,4,Developing Suburbs,7,Country Suburb,13,Southeastern Regional Planning & Economic Development District,13,Southeastern Massachusetts,409,Southeastern Massachusetts,,"",16950,Dighton town
77,DOUGLAS,Douglas,0,0,27,Worcester County,4,Developing Suburbs,7,Country Suburb,3,Central Massachusetts Planning Commission,3,Central Massachusetts,402,Central Massachusetts,,"",17300,Douglas town
78,DOVER,Dover,1,1,21,Norfolk County,4,Developing Suburbs,7,Country Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,362,Three Rivers (TRIC) Subregion,17405,Dover town
79,DRACUT,Dracut,0,1,17,Middlesex County,4,Developing Suburbs,6,Maturing New England Town,10,Northern Middlesex Area Council of Government,10,Northern Middlesex,403,Northeastern Massachusetts,,"",17475,Dracut town
80,DUDLEY,Dudley,0,0,27,Worcester County,4,Developing Suburbs,6,Maturing New England Town,3,Central Massachusetts Planning Commission,3,Central Massachusetts,402,Central Massachusetts,,"",17685,Dudley town
81,DUNSTABLE,Dunstable,0,1,17,Middlesex County,4,Developing Suburbs,7,Country Suburb,10,Northern Middlesex Area Council of Government,10,Northern Middlesex,403,Northeastern Massachusetts,,"",17825,Dunstable town
83,EAST BRIDGEWATER,East Bridgewater,0,1,23,Plymouth County,4,Developing Suburbs,6,Maturing New England Town,11,Old Colony Planning Council,11,Old Colony,404,Southeastern Massachusetts,,"",18455,East Bridgewater town
84,EAST BROOKFIELD,East Brookfield,0,0,27,Worcester County,4,Developing Suburbs,6,Maturing New England Town,3,Central Massachusetts Planning Commission,3,Central Massachusetts,402,Central Massachusetts,,"",18560,East Brookfield town
85,EAST LONGMEADOW,East Longmeadow,0,0,13,Hampden County,4,Developing Suburbs,6,Maturing New England Town,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",19645,East Longmeadow town
86,EASTHAM,Eastham,0,0,1,Barnstable County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,2,Cape Cod Planning & Economic Development Commission,2,Cape Cod,409,Southeastern Massachusetts,,"",19295,Eastham town
87,EASTHAMPTON,Easthampton,0,0,15,Hampshire County,2,Regional Urban Centers,2,Sub-Regional Urban Center,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",19370,Easthampton Town city
88,EASTON,Easton,0,1,5,Bristol County,4,Developing Suburbs,6,Maturing New England Town,11,Old Colony Planning Council,11,Old Colony,404,Southeastern Massachusetts,,"",20100,Easton town
89,EDGARTOWN,Edgartown,0,0,7,Dukes County,4,Developing Suburbs,6,Maturing New England Town,5,Marthas Vineyard Commission,5,Marthas Vineyard,404,Southeastern Massachusetts,,"",21150,Edgartown town
90,EGREMONT,Egremont,0,0,3,Berkshire County,5,Rural Towns,8,Rural Town,1,Berkshire County Regional Planning Commission,1,Berkshire,405,Western Massachusetts,,"",21360,Egremont town
91,ERVING,Erving,0,0,11,Franklin County,5,Rural Towns,8,Rural Town,4,Franklin County Commission,4,Franklin,405,Western Massachusetts,,"",21780,Erving town
92,ESSEX,Essex,1,1,9,Essex County,4,Developing Suburbs,6,Maturing New England Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,358,North Shore (NSTF) Subregion,21850,Essex town
93,EVERETT,Everett,1,1,17,Middlesex County,1,Inner Core,1,Metro Core Community,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,355,Inner Core (ICC) Subregion,21990,Everett city
94,FAIRHAVEN,Fairhaven,0,0,5,Bristol County,4,Developing Suburbs,6,Maturing New England Town,13,Southeastern Regional Planning & Economic Development District,13,Southeastern Massachusetts,410,Southeastern Massachusetts,,"",22130,Fairhaven town
95,FALL RIVER,Fall River,0,0,5,Bristol County,2,Regional Urban Centers,9,Major Regional Urban Center,13,Southeastern Regional Planning & Economic Development District,13,Southeastern Massachusetts,411,Southeastern Massachusetts,,"",23000,Fall River city
96,FALMOUTH,Falmouth,0,0,1,Barnstable County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,2,Cape Cod Planning & Economic Development Commission,2,Cape Cod,410,Southeastern Massachusetts,,"",23105,Falmouth town
97,FITCHBURG,Fitchburg,0,0,27,Worcester County,2,Regional Urban Centers,2,Sub-Regional Urban Center,8,Montachusett Regional Planning Commission,8,Montachusett,402,Central Massachusetts,,"",23875,Fitchburg city
98,FLORIDA,Florida,0,0,3,Berkshire County,5,Rural Towns,8,Rural Town,1,Berkshire County Regional Planning Commission,1,Berkshire,405,Western Massachusetts,,"",24120,Florida town
99,FOXBOROUGH,Foxborough,1,1,21,Norfolk County,4,Developing Suburbs,6,Maturing New England Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,362,Three Rivers (TRIC) Subregion,24820,Foxborough town
100,FRAMINGHAM,Framingham,1,1,17,Middlesex County,2,Regional Urban Centers,2,Sub-Regional Urban Center,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,357,Metrowest Subregion,24925,Framingham town
101,FRANKLIN,Franklin,1,1,21,Norfolk County,4,Developing Suburbs,6,Maturing New England Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,361,South West (SWAP) Subregion,25172,Franklin Town city
102,FREETOWN,Freetown,0,0,5,Bristol County,4,Developing Suburbs,7,Country Suburb,13,Southeastern Regional Planning & Economic Development District,13,Southeastern Massachusetts,412,Southeastern Massachusetts,,"",25240,Freetown town
103,GARDNER,Gardner,0,0,27,Worcester County,2,Regional Urban Centers,2,Sub-Regional Urban Center,8,Montachusett Regional Planning Commission,8,Montachusett,402,Central Massachusetts,,"",25485,Gardner city
104,AQUINNAH,Aquinnah,0,0,7,Dukes County,5,Rural Towns,8,Rural Town,5,Marthas Vineyard Commission,5,Marthas Vineyard,404,Southeastern Massachusetts,,"",1585,Aquinnah town
105,GEORGETOWN,Georgetown,0,1,9,Essex County,4,Developing Suburbs,7,Country Suburb,6,Merrimac Valley Planning Commission,6,Merrimac Valley,403,Northeastern Massachusetts,,"",25625,Georgetown town
106,GILL,Gill,0,0,11,Franklin County,5,Rural Towns,8,Rural Town,4,Franklin County Commission,4,Franklin,405,Western Massachusetts,,"",25730,Gill town
107,GLOUCESTER,Gloucester,1,1,9,Essex County,2,Regional Urban Centers,2,Sub-Regional Urban Center,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,358,North Shore (NSTF) Subregion,26150,Gloucester city
108,GOSHEN,Goshen,0,0,15,Hampshire County,5,Rural Towns,8,Rural Town,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",26290,Goshen town
109,GOSNOLD,Gosnold,0,0,7,Dukes County,5,Rural Towns,8,Rural Town,5,Marthas Vineyard Commission,5,Marthas Vineyard,404,Southeastern Massachusetts,,"",26325,Gosnold town
110,GRAFTON,Grafton,0,0,27,Worcester County,4,Developing Suburbs,6,Maturing New England Town,3,Central Massachusetts Planning Commission,3,Central Massachusetts,402,Central Massachusetts,,"",26430,Grafton town
111,GRANBY,Granby,0,0,15,Hampshire County,4,Developing Suburbs,7,Country Suburb,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",26535,Granby town
112,GRANVILLE,Granville,0,0,13,Hampden County,5,Rural Towns,8,Rural Town,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",26675,Granville town
113,GREAT BARRINGTON,Great Barrington,0,0,3,Berkshire County,4,Developing Suburbs,6,Maturing New England Town,1,Berkshire County Regional Planning Commission,1,Berkshire,405,Western Massachusetts,,"",26815,Great Barrington town
114,GREENFIELD,Greenfield,0,0,11,Franklin County,4,Developing Suburbs,6,Maturing New England Town,4,Franklin County Commission,4,Franklin,405,Western Massachusetts,,"",27100,Greenfield Town city
115,GROTON,Groton,0,1,17,Middlesex County,4,Developing Suburbs,7,Country Suburb,8,Montachusett Regional Planning Commission,8,Montachusett,402,Central Massachusetts,,"",27480,Groton town
116,GROVELAND,Groveland,0,1,9,Essex County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,6,Merrimac Valley Planning Commission,6,Merrimac Valley,403,Northeastern Massachusetts,,"",27620,Groveland town
117,HADLEY,Hadley,0,0,15,Hampshire County,4,Developing Suburbs,6,Maturing New England Town,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",27690,Hadley town
118,HALIFAX,Halifax,0,1,23,Plymouth County,4,Developing Suburbs,6,Maturing New England Town,11,Old Colony Planning Council,11,Old Colony,404,Southeastern Massachusetts,,"",27795,Halifax town
119,HAMILTON,Hamilton,1,1,9,Essex County,4,Developing Suburbs,6,Maturing New England Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,358,North Shore (NSTF) Subregion,27900,Hamilton town
120,HAMPDEN,Hampden,0,0,13,Hampden County,4,Developing Suburbs,7,Country Suburb,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",28075,Hampden town
121,HANCOCK,Hancock,0,0,3,Berkshire County,5,Rural Towns,8,Rural Town,1,Berkshire County Regional Planning Commission,1,Berkshire,405,Western Massachusetts,,"",28180,Hancock town
123,HANSON,Hanson,0,1,23,Plymouth County,4,Developing Suburbs,6,Maturing New England Town,11,Old Colony Planning Council,11,Old Colony,404,Southeastern Massachusetts,,"",28495,Hanson town
124,HARDWICK,Hardwick,0,0,27,Worcester County,5,Rural Towns,8,Rural Town,3,Central Massachusetts Planning Commission,3,Central Massachusetts,402,Central Massachusetts,,"",28740,Hardwick town
125,HARVARD,Harvard,0,1,27,Worcester County,4,Developing Suburbs,7,Country Suburb,8,Montachusett Regional Planning Commission,8,Montachusett,402,Central Massachusetts,,"",28950,Harvard town
126,HARWICH,Harwich,0,0,1,Barnstable County,4,Developing Suburbs,6,Maturing New England Town,2,Cape Cod Planning & Economic Development Commission,2,Cape Cod,411,Southeastern Massachusetts,,"",29020,Harwich town
127,HATFIELD,Hatfield,0,0,15,Hampshire County,4,Developing Suburbs,7,Country Suburb,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",29265,Hatfield town
128,HAVERHILL,Haverhill,0,1,9,Essex County,2,Regional Urban Centers,2,Sub-Regional Urban Center,6,Merrimac Valley Planning Commission,6,Merrimac Valley,403,Northeastern Massachusetts,,"",29405,Haverhill city
129,HAWLEY,Hawley,0,0,11,Franklin County,5,Rural Towns,8,Rural Town,4,Franklin County Commission,4,Franklin,405,Western Massachusetts,,"",29475,Hawley town
130,HEATH,Heath,0,0,11,Franklin County,5,Rural Towns,8,Rural Town,4,Franklin County Commission,4,Franklin,405,Western Massachusetts,,"",29650,Heath town
131,HINGHAM,Hingham,1,1,23,Plymouth County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,360,South Shore (SSC) Subregion,30210,Hingham town
132,HINSDALE,Hinsdale,0,0,3,Berkshire County,5,Rural Towns,8,Rural Town,1,Berkshire County Regional Planning Commission,1,Berkshire,405,Western Massachusetts,,"",30315,Hinsdale town
133,HOLBROOK,Holbrook,1,1,21,Norfolk County,3,Maturing Suburbs,4,Mature Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,360,South Shore (SSC) Subregion,30455,Holbrook town
134,HOLDEN,Holden,0,0,27,Worcester County,4,Developing Suburbs,6,Maturing New England Town,3,Central Massachusetts Planning Commission,3,Central Massachusetts,402,Central Massachusetts,,"",30560,Holden town
135,HOLLAND,Holland,0,0,13,Hampden County,4,Developing Suburbs,6,Maturing New England Town,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",30665,Holland town
136,HOLLISTON,Holliston,1,1,17,Middlesex County,4,Developing Suburbs,6,Maturing New England Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,357,Metrowest Subregion,30700,Holliston town
137,HOLYOKE,Holyoke,0,0,13,Hampden County,2,Regional Urban Centers,2,Sub-Regional Urban Center,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",30840,Holyoke city
