,quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,geometry,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAMELSAD
18129,0302332121321030,160786,47065,12,457,96,"POLYGON ((-71.136474609375 42.3504251224346, -71.1309814453125 42.3504251224346, -71.1309814453125 42.3463653316019, -71.136474609375 42.3463653316019, -71.136474609375 42.3504251224346))",25,021,00606937,25021,Norfolk County
18421,0302332123220003,44238,39171,10,5,4,"POLYGON ((-71.3616943359375 42.0941463709227, -71.356201171875 42.0941463709227, -71.356201171875 42.090070068684, -71.3616943359375 42.090070068684, -71.3616943359375 42.0941463709227))",25,021,00606937,25021,Norfolk County
24728,0302332132032022,257112,16180,59,28,7,"POLYGON ((-70.927734375 42.1837587346522, -70.9222412109375 42.1837587346522, -70.9222412109375 42.1796881966596, -70.927734375 42.1796881966596, -70.927734375 42.1837587346522))",25,021,00606937,25021,Norfolk County
26218,0302332121321301,147770,13643,14,184,64,"POLYGON ((-71.1199951171875 42.3423052785728, -71.114501953125 42.3423052785728, -71.114501953125 42.3382449633508, -71.1199951171875 42.3382449633508, -71.1199951171875 42.3423052785728))",25,021,00606937,25021,Norfolk County
26971,0302332123010013,187248,80793,11,82,13,"POLYGON ((-71.2628173828125 42.2895007309046, -71.25732421875 42.2895007309046, -71.25732421875 42.2854370074915, -71.2628173828125 42.2854370074915, -71.2628173828125 42.2895007309046))",25,021,00606937,25021,Norfolk County
27382,0302332123011033,144588,109400,7,11,7,"POLYGON ((-71.2188720703125 42.2813730219345, -71.21337890625 42.2813730219345, -71.21337890625 42.2773087742371, -71.2188720703125 42.2773087742371, -71.2188720703125 42.2813730219345))",25,021,00606937,25021,Norfolk County
29156,0302332123231120,15017,11370,15,1,1,"POLYGON ((-71.21337890625 42.090070068684, -71.2078857421875 42.090070068684, -71.2078857421875 42.0859935044772, -71.21337890625 42.0859935044772, -71.21337890625 42.090070068684))",25,021,00606937,25021,Norfolk County
29762,0302332123233132,134503,43811,9,28,5,"POLYGON ((-71.202392578125 42.0533715604336, -71.1968994140625 42.0533715604336, -71.1968994140625 42.0492926386868, -71.202392578125 42.0492926386868, -71.202392578125 42.0533715604336))",25,021,00606937,25021,Norfolk County
29787,0302332123111123,151051,8716,14,56,30,"POLYGON ((-71.0321044921875 42.2813730219345, -71.026611328125 42.2813730219345, -71.026611328125 42.2773087742371, -71.0321044921875 42.2773087742371, -71.0321044921875 42.2813730219345))",25,021,00606937,25021,Norfolk County
29809,0302332132001212,50566,5812,19,30,5,"POLYGON ((-70.960693359375 42.2732442644027, -70.9552001953125 42.2732442644027, -70.9552001953125 42.2691794924351, -70.960693359375 42.2691794924351, -70.960693359375 42.2732442644027))",25,021,00606937,25021,Norfolk County
31629,0302332121321102,135275,50522,11,92,48,"POLYGON ((-71.12548828125 42.3544846510674, -71.1199951171875 42.3544846510674, -71.1199951171875 42.3504251224346, -71.12548828125 42.3504251224346, -71.12548828125 42.3544846510674))",25,021,00606937,25021,Norfolk County
33172,0302332300110121,199414,48056,9,11,3,"POLYGON ((-71.4276123046875 42.0248136078178, -71.422119140625 42.0248136078178, -71.422119140625 42.0207328526443, -71.4276123046875 42.0207328526443, -71.4276123046875 42.0248136078178))",25,021,00606937,25021,Norfolk County
33227,0302332122132320,121882,43607,13,16,4,"POLYGON ((-71.43310546875 42.1715463345275, -71.4276123046875 42.1715463345275, -71.4276123046875 42.1674750103953, -71.43310546875 42.1674750103953, -71.43310546875 42.1715463345275))",25,021,00606937,25021,Norfolk County
35389,0302332132023223,197009,8807,12,16,8,"POLYGON ((-70.9661865234375 42.1674750103953, -70.960693359375 42.1674750103953, -70.960693359375 42.163403424224, -70.9661865234375 42.163403424224, -70.9661865234375 42.1674750103953))",25,021,00606937,25021,Norfolk County
36864,0302332123102331,159370,56795,7,25,11,"POLYGON ((-71.1529541015625 42.2366518803206, -71.1474609375 42.2366518803206, -71.1474609375 42.2325847493133, -71.1529541015625 42.2325847493133, -71.1529541015625 42.2366518803206))",25,021,00606937,25021,Norfolk County
38929,0302332123230312,244488,27208,11,30,6,"POLYGON ((-71.246337890625 42.077839590175, -71.2408447265625 42.077839590175, -71.2408447265625 42.0737622400872, -71.246337890625 42.0737622400872, -71.246337890625 42.077839590175))",25,021,00606937,25021,Norfolk County
40453,0302332123310211,92128,108455,8,3,1,"POLYGON ((-71.0870361328125 42.147114459221, -71.08154296875 42.147114459221, -71.08154296875 42.1430415629094, -71.0870361328125 42.1430415629094, -71.0870361328125 42.147114459221))",25,021,00606937,25021,Norfolk County
41764,0302332123133233,180594,52378,11,90,7,"POLYGON ((-71.0430908203125 42.1674750103953, -71.03759765625 42.1674750103953, -71.03759765625 42.163403424224, -71.0430908203125 42.163403424224, -71.0430908203125 42.1674750103953))",25,021,00606937,25021,Norfolk County
46954,0302332123132033,125885,36431,12,74,25,"POLYGON ((-71.0870361328125 42.1837587346522, -71.08154296875 42.1837587346522, -71.08154296875 42.1796881966596, -71.0870361328125 42.1796881966596, -71.0870361328125 42.1837587346522))",25,021,00606937,25021,Norfolk County
49608,0302332123132330,113939,49765,13,50,12,"POLYGON ((-71.070556640625 42.1715463345275, -71.0650634765625 42.1715463345275, -71.0650634765625 42.1674750103953, -71.070556640625 42.1674750103953, -71.070556640625 42.1715463345275))",25,021,00606937,25021,Norfolk County
52240,0302332123123012,84876,33487,14,19,4,"POLYGON ((-71.136474609375 42.1918990244719, -71.1309814453125 42.1918990244719, -71.1309814453125 42.1878290105908, -71.136474609375 42.1878290105908, -71.136474609375 42.1918990244719))",25,021,00606937,25021,Norfolk County
52397,0302332123302331,115721,9777,14,9,6,"POLYGON ((-71.1529541015625 42.1063737057932, -71.1474609375 42.1063737057932, -71.1474609375 42.1022981894812, -71.1529541015625 42.1022981894812, -71.1529541015625 42.1063737057932))",25,021,00606937,25021,Norfolk County
53746,0302332123131323,98734,33715,15,93,6,"POLYGON ((-71.0321044921875 42.2000382660468, -71.026611328125 42.2000382660468, -71.026611328125 42.1959687762918, -71.0321044921875 42.1959687762918, -71.0321044921875 42.2000382660468))",25,021,00606937,25021,Norfolk County
54204,0302332301001300,74854,11501,13,5,3,"POLYGON ((-71.30126953125 42.0166518355682, -71.2957763671875 42.0166518355682, -71.2957763671875 42.0125705565935, -71.30126953125 42.0125705565935, -71.30126953125 42.0166518355682))",25,021,00606937,25021,Norfolk County
55934,0302332123113312,153880,15081,13,126,24,"POLYGON ((-71.026611328125 42.2407187492267, -71.0211181640625 42.2407187492267, -71.0211181640625 42.2366518803206, -71.026611328125 42.2366518803206, -71.026611328125 42.2407187492267))",25,021,00606937,25021,Norfolk County
56153,0302332121322332,213678,77129,10,58,11,"POLYGON ((-71.158447265625 42.2976273912846, -71.1529541015625 42.2976273912846, -71.1529541015625 42.2935641921701, -71.158447265625 42.2935641921701, -71.158447265625 42.2976273912846))",25,021,00606937,25021,Norfolk County
60853,0302332132020233,138836,89757,11,72,21,"POLYGON ((-70.9991455078125 42.2000382660468, -70.99365234375 42.2000382660468, -70.99365234375 42.1959687762918, -70.9991455078125 42.1959687762918, -70.9991455078125 42.2000382660468))",25,021,00606937,25021,Norfolk County
62370,0302332132102032,230602,57259,63,14,5,"POLYGON ((-70.828857421875 42.2488517007209, -70.8233642578125 42.2488517007209, -70.8233642578125 42.244785356028, -70.828857421875 42.244785356028, -70.828857421875 42.2488517007209))",25,021,00606937,25021,Norfolk County
62648,0302332123112100,77590,8649,13,12,5,"POLYGON ((-71.08154296875 42.2610491621138, -71.0760498046875 42.2610491621138, -71.0760498046875 42.2569836037675, -71.08154296875 42.2569836037675, -71.08154296875 42.2610491621138))",25,021,00606937,25021,Norfolk County
63852,0302332123111312,64757,18357,13,53,21,"POLYGON ((-71.026611328125 42.2732442644027, -71.0211181640625 42.2732442644027, -71.0211181640625 42.2691794924351, -71.026611328125 42.2691794924351, -71.026611328125 42.2732442644027))",25,021,00606937,25021,Norfolk County
65058,0302332121333321,185875,16125,13,42,19,"POLYGON ((-71.0321044921875 42.3016903282445, -71.026611328125 42.3016903282445, -71.026611328125 42.2976273912846, -71.0321044921875 42.2976273912846, -71.0321044921875 42.3016903282445))",25,021,00606937,25021,Norfolk County
68949,0302332121320333,105404,13247,14,46,9,"POLYGON ((-71.1529541015625 42.330123546342, -71.1474609375 42.330123546342, -71.1474609375 42.326062444562, -71.1529541015625 42.326062444562, -71.1529541015625 42.330123546342))",25,021,00606937,25021,Norfolk County
69637,0302332122310231,274929,44363,12,76,6,"POLYGON ((-71.4385986328125 42.1389684045809, -71.43310546875 42.1389684045809, -71.43310546875 42.1348949842392, -71.4385986328125 42.1348949842392, -71.4385986328125 42.1389684045809))",25,021,00606937,25021,Norfolk County
77483,0302332121322311,199319,20862,13,58,8,"POLYGON ((-71.1529541015625 42.3098154156867, -71.1474609375 42.3098154156867, -71.1474609375 42.3057530030464, -71.1529541015625 42.3057530030464, -71.1529541015625 42.3098154156867))",25,021,00606937,25021,Norfolk County
78300,0302332123001101,215737,110819,8,97,9,"POLYGON ((-71.2957763671875 42.2935641921701, -71.290283203125 42.2935641921701, -71.290283203125 42.2895007309046, -71.2957763671875 42.2895007309046, -71.2957763671875 42.2935641921701))",25,021,00606937,25021,Norfolk County
79314,0302332123112201,213016,15924,15,15,6,"POLYGON ((-71.0980224609375 42.244785356028, -71.092529296875 42.244785356028, -71.092529296875 42.2407187492267, -71.0980224609375 42.2407187492267, -71.0980224609375 42.244785356028))",25,021,00606937,25021,Norfolk County
85063,0302332122330100,245864,82661,11,31,7,"POLYGON ((-71.43310546875 42.0982224111897, -71.4276123046875 42.0982224111897, -71.4276123046875 42.0941463709227, -71.43310546875 42.0941463709227, -71.43310546875 42.0982224111897))",25,021,00606937,25021,Norfolk County
85384,0302332121322333,175342,33814,13,76,15,"POLYGON ((-71.1529541015625 42.2976273912846, -71.1474609375 42.2976273912846, -71.1474609375 42.2935641921701, -71.1529541015625 42.2935641921701, -71.1529541015625 42.2976273912846))",25,021,00606937,25021,Norfolk County
89934,0302332132020203,134226,49415,10,29,4,"POLYGON ((-71.0101318359375 42.2081764593474, -71.004638671875 42.2081764593474, -71.004638671875 42.2041074937332, -71.0101318359375 42.2041074937332, -71.0101318359375 42.2081764593474))",25,021,00606937,25021,Norfolk County
93879,0302332300111131,220636,28961,13,67,3,"POLYGON ((-71.3726806640625 42.0248136078178, -71.3671875 42.0248136078178, -71.3671875 42.0207328526443, -71.3726806640625 42.0207328526443, -71.3726806640625 42.0248136078178))",25,021,00606937,25021,Norfolk County
94289,0302332123110320,153986,17179,15,24,10,"POLYGON ((-71.08154296875 42.2691794924351, -71.0760498046875 42.2691794924351, -71.0760498046875 42.2651144583376, -71.08154296875 42.2651144583376, -71.08154296875 42.2691794924351))",25,021,00606937,25021,Norfolk County
96635,0302332121223331,222800,158803,6,35,6,"POLYGON ((-71.2847900390625 42.3016903282445, -71.279296875 42.3016903282445, -71.279296875 42.2976273912846, -71.2847900390625 42.2976273912846, -71.2847900390625 42.3016903282445))",25,021,00606937,25021,Norfolk County
98078,0302332121321211,159116,21669,13,168,51,"POLYGON ((-71.1309814453125 42.3423052785728, -71.12548828125 42.3423052785728, -71.12548828125 42.3382449633508, -71.1309814453125 42.3382449633508, -71.1309814453125 42.3423052785728))",25,021,00606937,25021,Norfolk County
98250,0302332121232330,127886,63270,12,32,6,"POLYGON ((-71.246337890625 42.3016903282445, -71.2408447265625 42.3016903282445, -71.2408447265625 42.2976273912846, -71.246337890625 42.2976273912846, -71.246337890625 42.3016903282445))",25,021,00606937,25021,Norfolk County
100694,0302332301010012,148313,12107,30,72,5,"POLYGON ((-71.268310546875 42.0288941010848, -71.2628173828125 42.0288941010848, -71.2628173828125 42.0248136078178, -71.268310546875 42.0248136078178, -71.268310546875 42.0288941010848))",25,021,00606937,25021,Norfolk County
106102,0302332123011300,101468,45845,9,59,11,"POLYGON ((-71.21337890625 42.2773087742371, -71.2078857421875 42.2773087742371, -71.2078857421875 42.2732442644027, -71.21337890625 42.2732442644027, -71.21337890625 42.2773087742371))",25,021,00606937,25021,Norfolk County
107963,0302332132020231,120135,45969,12,38,11,"POLYGON ((-70.9991455078125 42.2041074937332, -70.99365234375 42.2041074937332, -70.99365234375 42.2000382660468, -70.9991455078125 42.2000382660468, -70.9991455078125 42.2041074937332))",25,021,00606937,25021,Norfolk County
111306,0302332123112132,255877,25275,34,77,9,"POLYGON ((-71.070556640625 42.2488517007209, -71.0650634765625 42.2488517007209, -71.0650634765625 42.244785356028, -71.070556640625 42.244785356028, -71.070556640625 42.2488517007209))",25,021,00606937,25021,Norfolk County
111322,0302332122312311,119055,12094,20,31,9,"POLYGON ((-71.4166259765625 42.1145239524643, -71.4111328125 42.1145239524643, -71.4111328125 42.1104489601222, -71.4166259765625 42.1104489601222, -71.4166259765625 42.1145239524643))",25,021,00606937,25021,Norfolk County
112429,0302332132020322,170533,89036,11,14,9,"POLYGON ((-70.99365234375 42.2000382660468, -70.9881591796875 42.2000382660468, -70.9881591796875 42.1959687762918, -70.99365234375 42.1959687762918, -70.99365234375 42.2000382660468))",25,021,00606937,25021,Norfolk County
113234,0302332121321203,139248,16102,17,181,53,"POLYGON ((-71.1419677734375 42.3382449633508, -71.136474609375 42.3382449633508, -71.136474609375 42.3341843859394, -71.1419677734375 42.3341843859394, -71.1419677734375 42.3382449633508))",25,021,00606937,25021,Norfolk County
113364,0302332121321212,140752,23835,13,151,38,"POLYGON ((-71.136474609375 42.3382449633508, -71.1309814453125 42.3382449633508, -71.1309814453125 42.3341843859394, -71.136474609375 42.3341843859394, -71.136474609375 42.3382449633508))",25,021,00606937,25021,Norfolk County
113473,0302332121232332,122524,119520,8,4,3,"POLYGON ((-71.246337890625 42.2976273912846, -71.2408447265625 42.2976273912846, -71.2408447265625 42.2935641921701, -71.246337890625 42.2935641921701, -71.246337890625 42.2976273912846))",25,021,00606937,25021,Norfolk County
113707,0302332121321302,133329,13526,14,84,33,"POLYGON ((-71.12548828125 42.3382449633508, -71.1199951171875 42.3382449633508, -71.1199951171875 42.3341843859394, -71.12548828125 42.3341843859394, -71.12548828125 42.3382449633508))",25,021,00606937,25021,Norfolk County
114564,0302332132022030,87381,60192,10,38,7,"POLYGON ((-71.004638671875 42.1878290105908, -70.9991455078125 42.1878290105908, -70.9991455078125 42.1837587346522, -71.004638671875 42.1837587346522, -71.004638671875 42.1878290105908))",25,021,00606937,25021,Norfolk County
117279,0302332123312333,258054,21712,14,19,7,"POLYGON ((-71.0650634765625 42.1022981894812, -71.0595703125 42.1022981894812, -71.0595703125 42.0982224111897, -71.0650634765625 42.0982224111897, -71.0650634765625 42.1022981894812))",25,021,00606937,25021,Norfolk County
120414,0302332123033032,105467,26762,14,8,3,"POLYGON ((-71.224365234375 42.1837587346522, -71.2188720703125 42.1837587346522, -71.2188720703125 42.1796881966596, -71.224365234375 42.1796881966596, -71.224365234375 42.1837587346522))",25,021,00606937,25021,Norfolk County
121118,0302332132020223,247073,55553,13,31,4,"POLYGON ((-71.0101318359375 42.2000382660468, -71.004638671875 42.2000382660468, -71.004638671875 42.1959687762918, -71.0101318359375 42.1959687762918, -71.0101318359375 42.2000382660468))",25,021,00606937,25021,Norfolk County
123220,0302332301000221,150946,23834,13,23,5,"POLYGON ((-71.3616943359375 42.008489015724, -71.356201171875 42.008489015724, -71.356201171875 42.0044072129636, -71.3616943359375 42.0044072129636, -71.3616943359375 42.008489015724))",25,021,00606937,25021,Norfolk County
124167,0302332123031233,176541,31762,14,11,7,"POLYGON ((-71.2188720703125 42.2000382660468, -71.21337890625 42.2000382660468, -71.21337890625 42.1959687762918, -71.2188720703125 42.1959687762918, -71.2188720703125 42.2000382660468))",25,021,00606937,25021,Norfolk County
124670,0302332123231222,243059,12303,13,41,15,"POLYGON ((-71.2353515625 42.0696846280466, -71.2298583984375 42.0696846280466, -71.2298583984375 42.0656067540571, -71.2353515625 42.0656067540571, -71.2353515625 42.0696846280466))",25,021,00606937,25021,Norfolk County
124778,0302332132020301,206033,254449,7,30,4,"POLYGON ((-70.9881591796875 42.2122451628858, -70.982666015625 42.2122451628858, -70.982666015625 42.2081764593474, -70.9881591796875 42.2081764593474, -70.9881591796875 42.2122451628858))",25,021,00606937,25021,Norfolk County
126018,0302332132002123,108596,10713,16,55,23,"POLYGON ((-70.9881591796875 42.2488517007209, -70.982666015625 42.2488517007209, -70.982666015625 42.244785356028, -70.9881591796875 42.244785356028, -70.9881591796875 42.2488517007209))",25,021,00606937,25021,Norfolk County
130855,0302332132000221,144987,13683,13,37,17,"POLYGON ((-71.0101318359375 42.2691794924351, -71.004638671875 42.2691794924351, -71.004638671875 42.2651144583376, -71.0101318359375 42.2651144583376, -71.0101318359375 42.2691794924351))",25,021,00606937,25021,Norfolk County
131103,0302332121223310,118322,45628,10,52,16,"POLYGON ((-71.290283203125 42.3098154156867, -71.2847900390625 42.3098154156867, -71.2847900390625 42.3057530030464, -71.290283203125 42.3057530030464, -71.290283203125 42.3098154156867))",25,021,00606937,25021,Norfolk County
132947,0302332132120110,152252,80041,10,13,2,"POLYGON ((-70.806884765625 42.2285173562085, -70.8013916015625 42.2285173562085, -70.8013916015625 42.2244497010097, -70.806884765625 42.2244497010097, -70.806884765625 42.2285173562085))",25,021,00606937,25021,Norfolk County
136628,0302332123022301,159377,97183,11,26,5,"POLYGON ((-71.3397216796875 42.1796881966596, -71.334228515625 42.1796881966596, -71.334228515625 42.1756173966168, -71.3397216796875 42.1756173966168, -71.3397216796875 42.1796881966596))",25,021,00606937,25021,Norfolk County
138990,0302332123302030,132726,8907,15,30,8,"POLYGON ((-71.180419921875 42.1226731511726, -71.1749267578125 42.1226731511726, -71.1749267578125 42.1185986828156, -71.180419921875 42.1185986828156, -71.180419921875 42.1226731511726))",25,021,00606937,25021,Norfolk County
140394,0302332123103312,335255,24909,13,12,2,"POLYGON ((-71.114501953125 42.2407187492267, -71.1090087890625 42.2407187492267, -71.1090087890625 42.2366518803206, -71.114501953125 42.2366518803206, -71.114501953125 42.2407187492267))",25,021,00606937,25021,Norfolk County
143693,0302332132020030,130489,92238,12,22,11,"POLYGON ((-71.004638671875 42.2203817837206, -70.9991455078125 42.2203817837206, -70.9991455078125 42.2163136043448, -71.004638671875 42.2163136043448, -71.004638671875 42.2203817837206))",25,021,00606937,25021,Norfolk County
144929,0302332132002201,167488,13042,13,85,30,"POLYGON ((-71.0101318359375 42.244785356028, -71.004638671875 42.244785356028, -71.004638671875 42.2407187492267, -71.0101318359375 42.2407187492267, -71.0101318359375 42.244785356028))",25,021,00606937,25021,Norfolk County
144983,0302332123103133,182755,11603,14,17,8,"POLYGON ((-71.1090087890625 42.2488517007209, -71.103515625 42.2488517007209, -71.103515625 42.244785356028, -71.1090087890625 42.244785356028, -71.1090087890625 42.2488517007209))",25,021,00606937,25021,Norfolk County
147083,0302332123032033,156825,168445,10,113,6,"POLYGON ((-71.2628173828125 42.1837587346522, -71.25732421875 42.1837587346522, -71.25732421875 42.1796881966596, -71.2628173828125 42.1796881966596, -71.2628173828125 42.1837587346522))",25,021,00606937,25021,Norfolk County
147931,0302332123112021,389097,40887,12,8,2,"POLYGON ((-71.0980224609375 42.252917783302, -71.092529296875 42.252917783302, -71.092529296875 42.2488517007209, -71.0980224609375 42.2488517007209, -71.0980224609375 42.252917783302))",25,021,00606937,25021,Norfolk County
149218,0302332121233211,122749,24708,11,16,12,"POLYGON ((-71.2188720703125 42.3098154156867, -71.21337890625 42.3098154156867, -71.21337890625 42.3057530030464, -71.2188720703125 42.3057530030464, -71.2188720703125 42.3098154156867))",25,021,00606937,25021,Norfolk County
149526,0302332123310021,130839,74567,7,12,1,"POLYGON ((-71.0980224609375 42.1552594657786, -71.092529296875 42.1552594657786, -71.092529296875 42.151187093512, -71.0980224609375 42.151187093512, -71.0980224609375 42.1552594657786))",25,021,00606937,25021,Norfolk County
152303,0302332122310310,79988,86866,12,33,2,"POLYGON ((-71.422119140625 42.147114459221, -71.4166259765625 42.147114459221, -71.4166259765625 42.1430415629094, -71.422119140625 42.1430415629094, -71.422119140625 42.147114459221))",25,021,00606937,25021,Norfolk County
153062,0302332122331301,99240,5707,20,57,4,"POLYGON ((-71.3836669921875 42.0819166783063, -71.378173828125 42.0819166783063, -71.378173828125 42.077839590175, -71.3836669921875 42.077839590175, -71.3836669921875 42.0819166783063))",25,021,00606937,25021,Norfolk County
154236,0302332121321123,166887,21874,12,96,42,"POLYGON ((-71.1199951171875 42.3463653316019, -71.114501953125 42.3463653316019, -71.114501953125 42.3423052785728, -71.1199951171875 42.3423052785728, -71.1199951171875 42.3463653316019))",25,021,00606937,25021,Norfolk County
154710,0302332132002223,288872,63848,12,10,7,"POLYGON ((-71.0101318359375 42.2325847493133, -71.004638671875 42.2325847493133, -71.004638671875 42.2285173562085, -71.0101318359375 42.2285173562085, -71.0101318359375 42.2325847493133))",25,021,00606937,25021,Norfolk County
155692,0302332123113101,124507,8457,16,20,16,"POLYGON ((-71.0321044921875 42.2610491621138, -71.026611328125 42.2610491621138, -71.026611328125 42.2569836037675, -71.0321044921875 42.2569836037675, -71.0321044921875 42.2610491621138))",25,021,00606937,25021,Norfolk County
156336,0302332123301221,242607,19976,12,37,9,"POLYGON ((-71.1419677734375 42.1389684045809, -71.136474609375 42.1389684045809, -71.136474609375 42.1348949842392, -71.1419677734375 42.1348949842392, -71.1419677734375 42.1389684045809))",25,021,00606937,25021,Norfolk County
156787,0302332123033320,30843,4317,19,1,1,"POLYGON ((-71.21337890625 42.1715463345275, -71.2078857421875 42.1715463345275, -71.2078857421875 42.1674750103953, -71.21337890625 42.1674750103953, -71.21337890625 42.1715463345275))",25,021,00606937,25021,Norfolk County
157231,0302332132002301,76347,7016,13,146,29,"POLYGON ((-70.9881591796875 42.244785356028, -70.982666015625 42.244785356028, -70.982666015625 42.2407187492267, -70.9881591796875 42.2407187492267, -70.9881591796875 42.244785356028))",25,021,00606937,25021,Norfolk County
160988,0302332132200001,112765,28579,12,5,3,"POLYGON ((-71.0101318359375 42.163403424224, -71.004638671875 42.163403424224, -71.004638671875 42.1593315760172, -71.0101318359375 42.1593315760172, -71.0101318359375 42.163403424224))",25,021,00606937,25021,Norfolk County
163686,0302332132003232,151307,23394,13,48,4,"POLYGON ((-70.960693359375 42.2325847493133, -70.9552001953125 42.2325847493133, -70.9552001953125 42.2285173562085, -70.960693359375 42.2285173562085, -70.960693359375 42.2325847493133))",25,021,00606937,25021,Norfolk County
163890,0302332123111322,176198,14334,13,79,21,"POLYGON ((-71.03759765625 42.2651144583376, -71.0321044921875 42.2651144583376, -71.0321044921875 42.2610491621138, -71.03759765625 42.2610491621138, -71.03759765625 42.2651144583376))",25,021,00606937,25021,Norfolk County
165795,0302332122313210,152598,16132,12,23,4,"POLYGON ((-71.400146484375 42.1145239524643, -71.3946533203125 42.1145239524643, -71.3946533203125 42.1104489601222, -71.400146484375 42.1104489601222, -71.400146484375 42.1145239524643))",25,021,00606937,25021,Norfolk County
166672,0302332123010112,64886,8719,19,15,4,"POLYGON ((-71.246337890625 42.2895007309046, -71.2408447265625 42.2895007309046, -71.2408447265625 42.2854370074915, -71.246337890625 42.2854370074915, -71.246337890625 42.2895007309046))",25,021,00606937,25021,Norfolk County
168067,0302332123231100,16032,6085,12,3,1,"POLYGON ((-71.21337890625 42.0982224111897, -71.2078857421875 42.0982224111897, -71.2078857421875 42.0941463709227, -71.21337890625 42.0941463709227, -71.21337890625 42.0982224111897))",25,021,00606937,25021,Norfolk County
170210,0302332121223300,137635,92062,10,17,9,"POLYGON ((-71.30126953125 42.3098154156867, -71.2957763671875 42.3098154156867, -71.2957763671875 42.3057530030464, -71.30126953125 42.3057530030464, -71.30126953125 42.3098154156867))",25,021,00606937,25021,Norfolk County
170738,0302332123130101,180817,15623,13,3,3,"POLYGON ((-71.0760498046875 42.2285173562085, -71.070556640625 42.2285173562085, -71.070556640625 42.2244497010097, -71.0760498046875 42.2244497010097, -71.0760498046875 42.2285173562085))",25,021,00606937,25021,Norfolk County
173336,0302332123102111,229489,27491,15,79,16,"POLYGON ((-71.1529541015625 42.2610491621138, -71.1474609375 42.2610491621138, -71.1474609375 42.2569836037675, -71.1529541015625 42.2569836037675, -71.1529541015625 42.2610491621138))",25,021,00606937,25021,Norfolk County
