,name,address,zip,lat,lon,category
172,GLOBAL COMPANIES LLC,468  470 MERIDIAN ST ,2128.0,42.382919246098915,-71.03975142724157,Commercial
173,BANG PETER V ETAL,  MERIDIAN ST ,2128.0,42.38420397058449,-71.03987532772547,Commercial
174,CONDOR NAY LLC,32  NAY ST ,2128.0,42.384318279822324,-71.0375870107028,Commercial
175,PMT REALTY LLC,7  NAY ST ,2128.0,42.38301629707976,-71.0386329113229,Commercial
176,PMT REALTY LLC,50  60 CONDOR ST ,2128.0,42.38289351172643,-71.03812302098673,Commercial
177,CONDOR NAY LLC,62  CONDOR ST ,2128.0,42.382779907880916,-71.03784995140605,Commercial
178,CONDOR NAY LLC,66  CONDOR ST ,2128.0,42.382905299062294,-71.03764175939986,Commercial
179,100 CONDOR LLC,98  100 CONDOR ST ,2128.0,42.38285925388736,-71.0364280541081,Commercial
180,ALDEN STEARNS REALTY TR LLC MASS LLC,98  R 100R CONDOR ST ,2128.0,42.38369793289376,-71.03617761359301,Commercial
181,ONE-92 X CONDOR LLC,192 X CONDOR ST ,2128.0,42.383461475823566,-71.03199678476011,Commercial
182,SUNOCO PARTNERS MARKETING &,570  600 CHELSEA ST ,2128.0,42.38378665198644,-71.02430286094231,Commercial
183,EAGLE HILL REAL ESTATE,610  CHELSEA ST ,2128.0,42.38559048305135,-71.02254958084109,Commercial
184,NSTAR ELECTRIC COMPANY,  CONDOR ST ,2128.0,42.38217893699352,-71.02837899360965,Commercial
185,LIG REALTY LLC,135  CHELSEA ST ,2128.0,42.373088953945015,-71.0347306968868,Commercial
186,CASTIELLO GIOVANNI,  BREMEN ST ,2128.0,42.37358979003553,-71.03372409410177,Commercial
187,ROSAS CARLOS RICHARD,184  BREMEN ST ,2128.0,42.37308996085649,-71.03430139942817,Commercial
188,ROSAS CARLOS RICHARD,  BREMEN ST ,2128.0,42.373013503235455,-71.0343944817086,Commercial
189,ROSAS CARLOS RICHARD,  BREMEN ST ,2128.0,42.37293665612522,-71.03439134667907,Commercial
190,ROSAS CARLOS RICHARD,  BREMEN ST ,2128.0,42.37300294657788,-71.03449818101974,Commercial
191,KELLY CHARLES J T T,  BREMEN ST ,2128.0,42.37297567125428,-71.03453909023808,Commercial
192,CRISTALLO GUERINO,  CHELSEA ST ,2128.0,42.37175599129913,-71.03625408819269,Commercial
193,CHELSEA STREET HOLDINGS LLC,93  CHELSEA ST ,2128.0,42.37211924249935,-71.03582954272096,Commercial
194,LINEAR RETAIL BOSTON #23 LLC,148  MAVERICK ST ,2128.0,42.369954853201506,-71.03804727920263,Commercial
