,name,municipal,zipcode,address,latitude,longitude,buisness_type
6205,Natural Snax,Boston,2113,5 Bakers Aly # 6,42.271196,-71.069095,Food access
6220,New Boston Food Market,Boston,2118,31 Food Mart Rd,42.337439,-71.062786,Food access
6245,New World Multi Svc,Boston,2128,407 Chelsea St # 1,42.379813,-71.026939,Food access
6254,Nonas Market,Boston,2113,292 North St # 1,42.364054,-71.051974,Food access
6262,Nutibara Envios,Boston,2128,532 Bennington St,42.382214,-71.020054,Food access
6266,Oh Naturale,Boston,2113,28 Parmenter St,42.363923,-71.055339,Food access
6296,Pacific Supermarket,Boston,2111,15 Beach St,42.351417,-71.062173,Food access
6312,Payless Foods,Boston,2114,139 Charles St,42.360205,-71.070571,Food access
6327,Philips Market,Boston,2108,24 Tremont St,42.358526,-71.059988,Food access
6362,Prince Pantry,Boston,2113,101 Prince St,42.365919,-71.056393,Food access
6391,Qwok Ngon Supermarket,Boston,2111,65 Beach St,42.351115,-71.060109,Food access
6400,Real Food,Boston,2215,14 Medfield St # 3,42.345346,-71.105266,Food access
6403,Refreshed Market,Boston,2121,196 Quincy St,42.313019,-71.07497,Food access
6416,Roche Bros,Boston,2110,8 Summer St # 1,42.355353,-71.060278,Food access
6430,Rosauers Supermarkets Inc,Boston,2109,120 Water St,42.358298,-71.054665,Food access
6442,Rupal Corp,Boston,2127,112 W 7th St,42.336154,-71.053497,Food access
6457,Sagarino's,Boston,2111,106 South St,42.351062,-71.057334,Food access
6485,Sava's Market,Boston,2128,150 Bennington St,42.376989,-71.033629,Food access
6497,See Sun Co,Boston,2111,25 Harrison Ave,42.351929,-71.061284,Food access
6531,SJR Foods,Boston,2114,32 Emerson Pl,42.361233,-71.065706,Food access
6545,South End Open Market,Boston,2118,500 540 & 450 Harrison Ave,42.340851,-71.070838,Food access
6571,Station Grocery,Boston,2128,9 Maverick Sq,42.368929,-71.039245,Food access
6576,Stop & Shop,Boston,2128,365 Chelsea St,42.37849,-71.028432,Food access
6595,Sulmona Meat Mkt,Boston,2113,32 Parmenter St # A,42.363993,-71.055452,Food access
6596,Summer Market,Boston,2110,85 Summer St,42.353816,-71.058354,Food access
6606,Super Eighty Eight Market,Boston,2215,1095 Commonwealth Ave,42.352259,-71.124298,Food access
6650,Tetco Stores Inc,Boston,2210,311 Summer St,42.349515,-71.04903,Food access
6654,Thompson Market,Boston,2116,283 Tremont St,42.349781,-71.065541,Food access
6655,Thompson Market,Boston,2128,44 Brooks St,42.376055,-71.032676,Food access
6678,Tremont Market Place & Deli,Boston,2118,682 Tremont St,42.340992,-71.076671,Food access
6694,Two Brothers Market,Boston,2128,75 Marion St,42.378322,-71.037656,Food access
6726,Viet Ho Mkt Co,Boston,2111,15 Beach St,42.351417,-71.062173,Food access
6727,Villa Victoria Market,Boston,2118,65 West Newton St,42.340327,-71.074864,Food access
6734,Villas Market,Boston,2128,152 Sumner St,42.369615,-71.041029,Food access
6735,Vinni's Mini Market,Boston,2128,3 Gladstone St,42.389113,-70.999524,Food access
6762,Westland Market,Boston,2115,56 Westland Ave,42.34349,-71.088633,Food access
6766,White Hen Pantry,Boston,2114,250 Cambridge St # 3,42.360888,-71.067475,Food access
6770,White Hen Pantry Inc,Boston,2110,101 Arch St,42.354954,-71.059085,Food access
6807,Yes Yes Supermarket,Boston,2118,411 Shawmut Ave # 7,42.340406,-71.073886,Food access
6820,7-Eleven,Boston,2215,425 Brookline Ave,42.338338,-71.10797,Food access
6821,7-Eleven,Boston,2116,8 Park Plz # 6,42.351517,-71.069139,Food access
6828,A & R Food,Boston,2109,5 Post Office Sq,42.357173,-71.057088,Food access
6834,ABC Foods,Boston,2118,18 Newmarket Sq,42.32975,-71.064803,Food access
6841,Advanced Functional Foods Intl,Boston,2110,87 Wendell St,42.356975,-71.052511,Food access
6894,Bani Market,Boston,2128,353 Meridian St,42.378673,-71.039132,Food access
6904,Beacon Hill,Boston,2114,65 Charles St,42.358114,-71.070184,Food access
6905,Beacon Hill Market,Boston,2114,55 Anderson St,42.359319,-71.067773,Food access
6910,Beni's Restaurant,Boston,2128,145 Meridian St,42.373813,-71.039004,Food access
6917,Beyenes Food Basket,Boston,2114,1 Congress St,42.36277,-71.05849,Food access
6919,Biena Foods,Boston,2112,PO Box 121178,42.357582,-71.05763,Food access
6936,Boston Red Dogs,Boston,2108,280 Washington St,42.357135,-71.057896,Food access
6971,Campus Convenience,Boston,2215,275 Babcock St,42.352774,-71.120999,Food access
6975,Captain Jack's Wicket Fine Fds,Boston,2113,11 Fleet St # 7,42.364547,-71.054367,Food access
6990,Charles St Market,Boston,2114,66 Charles St,42.357576,-71.07045,Food access
6997,Cheng Kwong Seafood Market,Boston,2111,73 Essex St # 79,42.352333,-71.060445,Food access
7010,City Fresh Foods,Boston,2114,28 Bowdoin St,42.361233,-71.065706,Food access
7014,Clear Edge Foods Inc,Boston,2118,88 Worcester St,42.339551,-71.078435,Food access
7019,Colleen Bawn Fine Foods,Boston,2109,1 Faneuil Hall Sq,42.360041,-71.055744,Food access
7026,Condor Market Inc,Boston,2128,655 Saratoga St,42.382249,-71.020796,Food access
7027,Consumer Market Corp,Boston,2128,60 Maverick St,42.371196,-71.040954,Food access
7077,Dimenstional Food Corp,Boston,2109,8 Faneuil Hall Sq,42.359135,-71.055237,Food access
7101,East Broadway Market,Boston,2127,869 E Broadway,42.335686,-71.029285,Food access
7133,Fame Food Management,Boston,2222,10 Causeway St,42.365165,-71.063096,Food access
7135,Family Market,Boston,2127,334 E 8th St,42.331288,-71.047679,Food access
7146,Fiesta Market,Boston,2128,178 Bennington St,42.377394,-71.032671,Food access
7170,Foodie,Boston,2127,230 W Broadway,42.339831,-71.051875,Food access
7214,Golden Goose Office,Boston,2109,120 Fulton St,42.363175,-71.052493,Food access
7222,Goose Valley Natural Foods LLC,Boston,2116,399 Boylston St # 3-300,42.351772,-71.072255,Food access
7237,Hana Foods Inc,Boston,2134,1400 Commonwealth Ave # 4,42.348273,-71.138371,Food access
7238,Happy Family Food Market,Boston,2111,11 Hudson St # A,42.350857,-71.060232,Food access
7255,Home Market Foods,Boston,2118,18 Food Mart Rd,42.337343,-71.062851,Food access
7279,International Food,Boston,2128,984 Saratoga St,42.386937,-71.007066,Food access
7296,J Pace & Son Inc,Boston,2114,75 Blossom Ct # 1,42.36491,-71.066809,Food access
7297,J Pace & Sons Inc,Boston,2113,42 Cross St,42.363157,-71.056787,Food access
7308,Jia Ho Supermarket,Boston,2111,692 Washington St,42.351204,-71.062668,Food access
7332,Kosmos Market,Boston,2118,683 Tremont St # 2,42.341556,-71.076623,Food access
7336,L & D Market Inc,Boston,2128,121 Meridian St,42.373244,-71.038774,Food access
7339,L Win Family Co @ Suffolk Univ,Boston,2108,74 Suffolk Street,42.357979,-71.062564,Food access
7354,Lambert's Marketplace,Boston,2111,140 Tremont St,42.355656,-71.062556,Food access
7358,Lefty's Silver Cart,Boston,2118,20 Hanson St # 1,42.343585,-71.07029,Food access
7375,Lord Jeff's Beef Place,Boston,2118,129 Newmarket Sq,42.33052,-71.066883,Food access
7424,Maverick Market,Boston,2128,205 Maverick St,42.368833,-71.036066,Food access
7427,Medina's Market,Boston,2118,65 W Dedham St,42.342113,-71.07302,Food access
7436,Meridian Food Market,Boston,2128,121 Meridian St,42.373244,-71.038774,Food access
7449,Miller's Market Inc,Boston,2127,336 K St,42.332167,-71.03709,Food access
7451,Ming Yu Seafood,Boston,2111,10 Tyler St,42.350978,-71.060463,Food access
7474,Ne Open Markets LLC,Boston,2118,580 Harrison Ave,42.340651,-71.067897,Food access
7505,Nuevo Mundo Food Market,Boston,2128,192 Maverick St,42.369239,-71.036537,Food access
7511,Old Red Dog,Boston,2109,15 State St,42.362992,-71.09853,Food access
7541,Peoples Tropical Foods,Boston,2118,1830 Washington St,42.335448,-71.078227,Food access
7558,Popcorn Plaza,Boston,2110,225 Franklin St # 26383a,42.356184,-71.054072,Food access
7562,Portillo's Food Market,Boston,2128,60 Maverick St,42.371196,-71.040954,Food access
7566,Preferred Meal Systems Inc,Boston,2118,85 Newmarket Sq,42.329402,-71.06701,Food access
7597,Regency Centers,Boston,2110,185 Franklin St,42.3554,-71.054818,Food access
7601,Rite Foods,Boston,2210,500 E St,42.343093,-71.043142,Food access
7609,Rosis Market,Boston,2128,226 Sumner St,42.368599,-71.03902,Food access
7612,Roxtar Foods LTD,Boston,2118,1200 Washington St # 507,42.34302,-71.066711,Food access
7634,Savenor's Market,Boston,2114,160 Charles St,42.360554,-71.070912,Food access
7648,Shawmut Grocery Store,Boston,2118,614 Shawmut Ave,42.335454,-71.080469,Food access
7656,Smart Eat Foods Inc,Boston,2215,899 Beacon St # 2,42.346206,-71.105162,Food access
7657,Snack N' Play,Boston,2111,600 Washington St,42.352951,-71.062494,Food access
7659,Snacks Express,Boston,2111,60 South St,42.351724,-71.056757,Food access
7661,Song & H Foods Corp,Boston,2128,154 Faywood Ave,42.392006,-71.006433,Food access
7662,Soodies South Boston LLC,Boston,2127,230 W Broadway,42.339831,-71.051875,Food access
7664,South East Market,Boston,2111,210 Harrison Ave,42.347972,-71.062318,Food access
7696,Super Eighty Eight,Boston,2215,1095 Commonwealth Ave,42.352259,-71.124298,Food access
7711,Symphony Market,Boston,2215,1130 Boylston St,42.346884,-71.089021,Food access
7712,T & M Food Corp,Boston,2108,26 Province St,42.357451,-71.0595,Food access
7720,Tedeschi Food Shops,Boston,2116,357 Tremont St,42.348308,-71.067559,Food access
7741,Truong Thanh Market,Boston,2111,65 Beach St,42.351115,-71.060109,Food access
7754,Us Specialty Food Agency,Boston,2128,245 Sumner St,42.367941,-71.038472,Food access
7773,Walking City Foods Inc,Boston,2117,133 Clarendon St,42.34903,-71.074001,Food access
7802,Wollaston's West Village,Boston,2115,460 Parker St,42.338235,-71.092653,Food access
7805,X & Y Food Inc,Boston,2215,1095 Commonwealth Ave,42.352259,-71.124298,Food access
7806,Xing Fu Food Boston,Boston,2110,101 Arch St # 160,42.354954,-71.059085,Food access
7837,Boost Juice Bar,Boston,2110,225 Franklin St,42.356184,-71.054072,Food access
7857,City Fruit Co,Boston,2111,231 Harrison Ave # A,42.347472,-71.063016,Food access
7870,E T C Juicery,Boston,2113,1 Lathrop Pl # 1,42.36392,-71.053981,Food access
7900,Good Seasons Trading Inc,Boston,2118,911 Massachusetts Ave,42.330506,-71.070309,Food access
7910,Hua Shing Inc,Boston,2118,123 Newmarket Sq,42.33052,-71.066883,Food access
7914,Jevojuice Inc,Boston,2110,230 Congress St,42.354565,-71.054134,Food access
7921,Juice Republic Inc,Boston,2111,200 Lincoln St # 404,42.350241,-71.058495,Food access
7927,Kirin Produce Co,Boston,2111,22 Oxford St # 24,42.35179,-71.06031,Food access
7942,Mass Produce,Boston,2128,32 White St,42.380676,-71.03853,Food access
7951,Moxie's Juice Co,Boston,2127,135 W 8th St,42.334819,-71.053647,Food access
7966,Plum Produce,Boston,2118,552 Tremont St,42.343758,-71.071455,Food access
8008,We Juice Inc,Boston,2111,49 Beach St # 62,42.351356,-71.060799,Food access
8020,Faneuil Hall Market Place,Boston,2109,1 Faneuil Hall Sq # 1,42.360041,-71.055744,Food access
8023,Fruitata Organic Juice & Smths,Boston,2199,800 Boylston St,42.348804,-71.081983,Food access
8033,Kirin Produce Co,Boston,2118,131 Newmarket Sq,42.33052,-71.066883,Food access
8058,Alba Produce,Boston,2113,18 Parmenter St,42.363816,-71.05508,Food access
8068,Back Bay Market,Boston,2116,145 Dartmouth St # 2,42.347378,-71.074841,Food access
8074,Bee's Produce,Boston,2118,960 Massachusetts Ave,42.329946,-71.068802,Food access
8085,C&D Produce,Boston,2128,260 Maverick St,42.368066,-71.033773,Food access
8089,Chang Ching Produce,Boston,2118,123 Newmarket Sq,42.33052,-71.066883,Food access
8092,City Produce,Boston,2111,231 Harrison Ave # 1a,42.347472,-71.063016,Food access
8107,Do Bao Vegetable Co,Boston,2111,227 Harrison Ave,42.347682,-71.062945,Food access
8109,Family Produce Market Corp,Boston,2128,51 Cottage St,42.367108,-71.035677,Food access
8131,Fruit Punch Records,Boston,2215,PO Box 15493,42.348292,-71.094974,Food access
8137,Global Village Fruits Inc,Boston,2115,107 Avenue Louis Pasteur # 231,42.337637,-71.104168,Food access
8141,Grasmick Produce Co,Boston,2110,51 Franklin St,42.355515,-71.058551,Food access
8167,Lafauci & Sons Inc,Boston,2113,46 Cross St # 50,42.363275,-71.056477,Food access
8171,Local Roots,Boston,2113,402 Hanover St,42.36594,-71.052893,Food access
8174,Marshall's Fenway Farm Stand,Boston,2215,1345 Boylston St,42.344082,-71.09976,Food access
8193,One Twenty Five,Boston,2118,960r Massachusetts Ave,42.340851,-71.070838,Food access
8211,Ramirez Produce,Boston,2128,252 Princeton St # 1,42.379698,-71.030616,Food access
8215,Scire Fruit Inc,Boston,2113,64 Salem St,42.363392,-71.056117,Food access
8221,Snap Top Market,Boston,2116,303 Columbus Ave,42.346653,-71.07437,Food access
8230,Thirst Juice Co,Boston,2108,44 School St,42.357735,-71.059748,Food access
8247,Xin Bao Vegetable Co,Boston,2116,198 Tremont St # 407,42.35214,-71.064567,Food access
8264,Ahold USA,Boston,2110,2 International Pl,42.356372,-71.054279,Food access
8282,Bacco Fine Foods Inc,Boston,2116,31 Saint James Ave # 170,42.350736,-71.071623,Food access
8306,Crabby Jacks Gen Store Two,Boston,2109,1 Faneuil Hall Sq # 100,42.360041,-71.055744,Food access
8309,Crt Food & Beverage,Boston,2115,907 Boylston St,42.348459,-71.084316,Food access
8310,Csn Stores LLC,Boston,2116,4 Copley Pl # 700,42.347223,-71.07924,Food access
8319,Deluca's Back Bay Market,Boston,2116,239 Newbury St,42.349781,-71.081873,Food access
8335,Five Seventy Market,Boston,2118,570 Tremont St,42.343534,-71.072323,Food access
8342,Foodie's Urban Market,Boston,2118,1421 Washington St,42.341145,-71.070645,Food access
8348,G-Mart Supermarket,Boston,2111,109 Lincoln St,42.351628,-71.058504,Food access
8384,Marlboro Market,Boston,2115,45 Massachusetts Ave,42.34992,-71.089096,Food access
8407,Prime Shoppe,Boston,2109,104 Faneuil Hall Market Pl,42.359135,-71.055237,Food access
8413,Rescor Of Quincy Market Inc,Boston,2109,1 Faneuil Hall Market Pl,42.359735,-71.053586,Food access
8465,Two Guys Foods Inc,Boston,2118,434 Massachusetts Ave,42.340745,-71.081798,Food access
8488,American Food Management,Boston,2116,161 Berkeley St,42.349414,-71.071886,Food access
8534,C Mart Of Herald St,Boston,2118,50 Herald St,42.346203,-71.065154,Food access
8552,Deluca's Market,Boston,2114,11 Charles St # 1,42.356506,-71.06957,Food access
8582,Hannaford Supermarket,Boston,2116,39 Church St,42.349383,-71.06802,Food access
8612,Hong Kong Supermarket,Boston,2215,1095 Commonwealth Ave # 300,42.352259,-71.124298,Food access
8759,Shaw's Supermarket,Boston,2215,33 Kilmarnock St,42.344209,-71.100188,Food access
8836,Star Market,Boston,2215,1065 Commonwealth Ave # 2,42.352681,-71.12333,Food access
8837,Star Market,Boston,2215,33 Kilmarnock St,42.344209,-71.100188,Food access
8838,Star Market,Boston,2199,53 Huntington Ave,42.347813,-71.079467,Food access
8870,Stop & Shop Supermarket,Boston,2114,181 Cambridge St,42.361264,-71.065892,Food access
8871,Stop & Shop Supermarket,Boston,2127,713 E Broadway,42.335278,-71.036651,Food access
9051,Trader Joe's,Boston,2111,711 Atlantic Ave # 3,42.351165,-71.05667,Food access
9052,Trader Joe's,Boston,2115,899 Boylston St,42.348434,-71.08395,Food access
9090,Whole Foods Market,Boston,2115,15 Westland Ave,42.3439,-71.087246,Food access
9091,Whole Foods Market,Boston,2114,161 Cambridge St,42.362107,-71.066009,Food access
9092,Whole Foods Market,Boston,2114,181 Cambridge St,42.361264,-71.065892,Food access
9093,Whole Foods Market,Boston,2118,310 Harrison Ave # 348,42.34568,-71.063308,Food access
9094,Whole Foods Market,Boston,2118,348 Harrison Ave,42.34486,-71.063631,Food access
9124,Wollaston's Market,Boston,2115,369 Huntington Ave,42.340359,-71.090304,Food access
9191,H-H Convenience,Boston,2108,Downtown Crossing Mbta Station,42.357979,-71.062564,Food access
9196,Your Convenient,Boston,2111,62-74 Essex Street,42.35179,-71.061176,Food access
9202,Boston/Copley Square,Boston,2116,206 Clarendon St,42.35014,-71.07497,Food access
9203,Roxbury/Dudley Town Common,Boston,2119,Blue Hill Ave & Dudley St,42.32529,-71.07497,Food access
9206,Boston Public Market/Greenway,Boston,2108,136 Blackstone Street,42.35919,-71.05933,Food access
9329,Boston/South Station/Dewey Square,Boston,2110,Summer St & Atlantic Ave,42.35321,-71.05512,Food access
9331,Boston/Boston University,Boston,2215,775 Commonwealth Ave.,42.3509,-71.10814,Food access
9429,Dorchester/Carney Hospital,Boston,2124,2100 Dorchester Ave.,42.27898,-71.06634,Food access
9437,East Boston,Boston,2128,209 Sumner Street,42.36899,-71.0394,Food access
9443,Boston Public Market,Boston,2109,136 Blackstone Street,42.36236,-71.05759,Food access
9444,Boston Public Market,Boston,2109,136 Blackstone Street,42.36236,-71.05759,Food access
9445,Dorchester/Carney Hospital,Boston,2124,2100 Dorchester Ave.,42.27898,-71.06634,Food access
9486,Boston/SOWA,Boston,2118,500 Harrison Ave.,42.34231,-71.06581,Food access
9571,Target,Boston,2215,1341 Boylston St,42.34438,-71.09966,Food access
