,name,municipal,zipcode,address,latitude,longitude,buisness_type
1997,7-Eleven,Boston,2113,464 Hanover St # 17,42.367042,-71.052728,Food access
1998,7-Eleven,Boston,2127,473 W Broadway,42.335531,-71.046079,Food access
1999,7-Eleven,Boston,2110,50 Summer St,42.354672,-71.059025,Food access
2000,7-Eleven,Boston,2215,508 Park Dr,42.34764,-71.105811,Food access
2001,7-Eleven,Boston,2127,673 E Broadway # 1,42.335447,-71.037501,Food access
2002,7-Eleven,Boston,2115,722 Huntington Ave,42.334138,-71.104339,Food access
2003,7-Eleven,Boston,2215,872 Commonwealth Ave,42.3508,-71.114346,Food access
2004,7-Eleven,Boston,2114,91 Causeway St # 99,42.364834,-71.062052,Food access
2137,Anthony Market,Boston,2128,407 Meridian St,42.380376,-71.038999,Food access
2154,Boston Bottle,Boston,2109,372 Commercial St,42.360568,-71.053869,Food access
2188,Calderon Market,Boston,2128,152 Sumner St,42.369615,-71.041029,Food access
2217,City Convenience,Boston,2108,23 Beacon St,42.357979,-71.062564,Food access
2218,City Convenience,Boston,2215,541 Commonwealth Ave,42.349216,-71.097042,Food access
2219,City Convenience,Boston,2115,86 Massachusetts Ave,42.348733,-71.088118,Food access
2222,City Mini Mart,Boston,2108,226 Washington St,42.358158,-71.057843,Food access
2226,College Convenience,Boston,2115,281 Huntington Ave,42.341988,-71.086462,Food access
2243,Costa's Convenience Store,Boston,2128,184 Bremen St,42.373091,-71.034307,Food access
2271,Cumberland Farms,Boston,2127,628 E 5th St,42.334164,-71.0355,Food access
2433,East Boston Variety,Boston,2128,3 Gladstone St,42.389113,-70.999524,Food access
2473,Gateway Newsstand,Boston,2215,401 Park Dr # 203,42.343754,-71.103148,Food access
2494,Hemenway Variety,Boston,2115,95 Westland Ave,42.344042,-71.090138,Food access
2529,Island Store,Boston,2127,735 E 6th St,42.333021,-71.031339,Food access
2536,J & W One Lewis Wharf,Boston,2110,1 Lewis Wharf,42.363723,-71.051033,Food access
2562,Kushtia Inc,Boston,2118,1813 Washington St,42.335839,-71.077901,Food access
2656,Neptune Launderette,Boston,2128,944 Bennington St,42.386146,-71.009636,Food access
2672,O'Connell's Convenience Plus,Boston,2118,40 Worcester Sq,42.336288,-71.073795,Food access
2737,Patriot News Inc,Boston,2111,655 Atlantic Ave,42.35179,-71.061176,Food access
2759,Quality Mart,Boston,2115,21 Massachusetts Ave,42.350696,-71.089476,Food access
2831,Saratoga Convenience,Boston,2128,655 Saratoga St,42.382249,-71.020796,Food access
2912,Store 24,Boston,2116,717 Boylston St,42.349651,-71.080095,Food access
2915,Store 24 Inc,Boston,2116,363 Tremont St,42.348049,-71.067988,Food access
2951,Tedeschi Food Shops,Boston,2128,14 Maverick Sq,42.369407,-71.039531,Food access
