City/Town,Ward,Pct,"Joseph R. Biden, Jr.",Donald J. Trump,Jo Jorgensen,Howard Hawkins,All Others,No Preference,Blanks,Total Votes Cast,Biden Percentage,Trump Percentage,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage
Boston,4,7,779,79,4,3,8,0,4,877,88.82554162,9.007981756,4109,2808,291,10,745,2,114,139,4109,2631,276,329,6,742,2,12,111,7.08,0.24,18.13,0.05,2.77,3.38,8.01,68.34
Boston,4,8,601,117,6,12,6,0,4,746,80.56300268,15.68364611,4521,3301,284,8,701,2,111,114,4521,3106,266,331,6,696,1,20,95,6.28,0.18,15.51,0.04,2.46,2.52,7.32,73.01
Boston,4,9,394,38,2,1,0,0,1,436,90.36697248,8.71559633,4347,3085,411,13,450,3,223,162,4347,2822,368,573,6,447,3,9,119,9.45,0.3,10.35,0.07,5.13,3.73,13.18,70.97
Boston,4,10,205,15,0,1,0,0,1,222,92.34234234,6.756756757,5545,4247,359,6,601,5,155,172,5545,4098,328,350,3,592,4,19,151,6.47,0.11,10.84,0.09,2.8,3.1,6.31,76.59
Boston,5,1,2633,372,36,10,20,0,28,3099,84.96289126,12.00387222,6467,4012,300,8,1921,1,103,122,6467,3858,277,288,7,1920,1,18,98,4.64,0.12,29.7,0.02,1.59,1.89,4.45,62.04
Boston,5,2,1625,175,15,14,5,0,5,1839,88.36324089,9.516041327,4207,3131,194,8,606,2,130,136,4207,2904,178,401,5,601,2,11,105,4.61,0.19,14.4,0.05,3.09,3.23,9.53,74.42
Boston,5,3,1165,164,19,7,17,0,11,1383,84.23716558,11.8582791,1873,1744,20,0,92,0,8,9,1873,1695,17,58,0,92,0,3,8,1.07,0,4.91,0,0.43,0.48,3.1,93.11
Boston,5,4,1447,175,21,6,11,0,7,1667,86.80263947,10.49790042,2702,2405,70,2,153,1,29,42,2702,2324,68,106,2,152,1,12,37,2.59,0.07,5.66,0.04,1.07,1.55,3.92,89.01
Boston,5,5,455,77,1,0,7,0,3,543,83.79373849,14.18047882,677,636,4,1,21,0,1,14,677,624,4,17,1,21,0,1,9,0.59,0.15,3.1,0,0.15,2.07,2.51,93.94
Boston,5,6,1121,207,27,8,12,0,6,1381,81.173063,14.98913831,2212,1965,77,3,114,0,21,32,2212,1896,65,104,3,114,0,4,26,3.48,0.14,5.15,0,0.95,1.45,4.7,88.83
Boston,5,7,1401,246,20,9,15,0,14,1705,82.17008798,14.42815249,2626,2323,54,2,175,1,26,45,2626,2231,50,126,2,175,1,3,38,2.06,0.08,6.66,0.04,0.99,1.71,4.8,88.46
Boston,5,8,1266,241,22,6,14,0,8,1557,81.31021195,15.47848426,2585,2200,65,1,214,0,34,71,2585,2108,63,125,1,212,0,15,61,2.51,0.04,8.28,0,1.32,2.75,4.84,85.11
Boston,5,9,1722,282,21,9,13,0,11,2058,83.67346939,13.70262391,4112,3372,89,3,513,0,53,82,4112,3174,84,262,3,506,0,13,70,2.16,0.07,12.48,0,1.29,1.99,6.37,82
Boston,5,10,956,161,15,9,14,0,5,1160,82.4137931,13.87931034,6184,4078,207,15,1529,0,110,245,6184,3749,197,478,12,1517,0,21,210,3.35,0.24,24.73,0,1.78,3.96,7.73,65.94
Boston,5,11,778,114,11,1,11,0,5,920,84.56521739,12.39130435,1322,1222,11,0,68,0,7,14,1322,1179,11,51,0,67,0,2,12,0.83,0,5.14,0,0.53,1.06,3.86,92.44
Boston,6,1,4057,1016,72,19,29,0,30,5223,77.67566533,19.45242198,4089,3123,260,7,332,2,253,112,4089,2899,190,582,4,330,2,16,66,6.36,0.17,8.12,0.05,6.19,2.74,14.23,76.38
Boston,6,2,795,239,21,4,9,0,4,1072,74.16044776,22.29477612,1387,1089,85,1,102,0,90,20,1387,1055,66,143,1,97,0,11,14,6.13,0.07,7.35,0,6.49,1.44,10.31,78.51
Boston,6,3,1177,378,20,3,8,0,9,1595,73.79310345,23.69905956,1848,1711,22,10,78,1,8,18,1848,1686,19,38,7,78,1,3,16,1.19,0.54,4.22,0.05,0.43,0.97,2.06,92.59
Boston,6,4,1078,399,20,7,11,0,6,1521,70.87442472,26.23274162,1801,1666,14,4,77,0,12,28,1801,1646,14,40,2,77,0,2,20,0.78,0.22,4.28,0,0.67,1.55,2.22,92.5
Boston,6,5,1121,388,22,7,8,0,10,1556,72.0437018,24.93573265,1678,1617,8,2,31,1,11,8,1678,1598,7,28,1,31,1,5,7,0.48,0.12,1.85,0.06,0.66,0.48,1.67,96.36
Boston,6,6,820,411,21,3,7,0,4,1266,64.77093207,32.46445498,1503,1459,14,1,13,0,6,10,1503,1453,12,12,1,13,0,4,8,0.93,0.07,0.86,0,0.4,0.67,0.8,97.07
Boston,6,7,948,430,21,0,17,0,7,1423,66.61981729,30.21784961,1526,1491,7,1,12,2,3,10,1526,1477,7,20,1,12,1,0,8,0.46,0.07,0.79,0.13,0.2,0.66,1.31,97.71
Boston,6,8,823,419,19,4,7,0,5,1277,64.44792482,32.81127643,1545,1518,3,1,10,0,3,10,1545,1512,3,10,1,9,0,0,10,0.19,0.06,0.65,0,0.19,0.65,0.65,98.25
Boston,6,9,751,471,18,3,15,0,3,1261,59.55590801,37.35130849,1572,1543,17,2,1,0,4,5,1572,1530,15,18,2,1,0,1,5,1.08,0.13,0.06,0,0.25,0.32,1.15,98.16
Boston,7,1,731,383,12,1,8,0,9,1144,63.8986014,33.47902098,1363,1343,2,0,12,0,3,3,1363,1334,2,12,0,12,0,0,3,0.15,0,0.88,0,0.22,0.22,0.88,98.53
Boston,7,2,981,460,19,0,10,0,8,1478,66.37347767,31.12313938,1769,1733,9,0,16,1,1,9,1769,1719,9,15,0,16,1,0,9,0.51,0,0.9,0.06,0.06,0.51,0.85,97.96
Boston,7,3,1015,471,21,0,8,0,4,1519,66.8202765,31.00724161,2133,2048,15,2,32,0,18,18,2133,2019,15,48,2,31,0,2,16,0.7,0.09,1.5,0,0.84,0.84,2.25,96.02
Boston,7,4,933,359,18,4,4,0,2,1320,70.68181818,27.1969697,1829,1576,69,2,75,0,64,43,1829,1540,57,115,2,75,0,20,20,3.77,0.11,4.1,0,3.5,2.35,6.29,86.17
Boston,7,5,841,229,16,5,7,0,3,1101,76.38510445,20.79927339,1905,1407,177,5,157,2,107,50,1905,1338,138,229,3,154,2,17,24,9.29,0.26,8.24,0.1,5.62,2.62,12.02,73.86
Boston,7,6,763,259,21,0,7,0,3,1053,72.45963913,24.59639126,1586,1074,160,5,152,1,145,49,1586,992,130,289,1,150,1,6,17,10.09,0.32,9.58,0.06,9.14,3.09,18.22,67.72
Boston,7,7,613,149,3,2,0,0,0,767,79.92177314,19.42633638,1496,572,404,14,224,3,200,79,1496,363,312,561,6,224,2,5,23,27.01,0.94,14.97,0.2,13.37,5.28,37.5,38.24
Boston,7,8,815,228,11,9,8,0,4,1075,75.81395349,21.20930233,1487,1173,97,3,137,0,59,18,1487,1132,94,99,3,137,0,6,16,6.52,0.2,9.21,0,3.97,1.21,6.66,78.88
Boston,7,9,659,184,12,6,2,0,3,866,76.09699769,21.24711316,1551,993,159,11,221,1,128,38,1551,937,147,150,7,221,1,60,28,10.25,0.71,14.25,0.06,8.25,2.45,9.67,64.02
Boston,7,10,700,72,3,2,1,0,4,782,89.5140665,9.207161125,1847,325,584,6,47,2,686,197,1847,206,540,377,3,46,1,504,170,31.62,0.32,2.54,0.11,37.14,10.67,20.41,17.6
Boston,8,1,841,95,5,1,3,0,4,949,88.61959958,10.01053741,1484,598,376,3,176,4,265,62,1484,436,334,489,3,176,4,13,29,25.34,0.2,11.86,0.27,17.86,4.18,32.95,40.3
Boston,8,2,1436,148,16,3,4,0,18,1625,88.36923077,9.107692308,4588,2484,1212,19,598,1,189,85,4588,1889,1174,819,14,597,1,33,61,26.42,0.41,13.03,0.02,4.12,1.85,17.85,54.14
Boston,8,3,676,64,4,5,3,0,4,756,89.41798942,8.465608466,1269,266,715,10,52,0,169,57,1269,180,658,325,6,51,0,21,28,56.34,0.79,4.1,0,13.32,4.49,25.61,20.96
Boston,8,4,416,36,5,1,2,0,4,464,89.65517241,7.75862069,664,75,392,5,11,0,142,39,664,21,352,239,5,11,0,19,17,59.04,0.75,1.66,0,21.39,5.87,35.99,11.3
Boston,8,5,784,79,7,2,4,0,2,878,89.29384966,8.997722096,1638,124,659,8,40,4,613,190,1638,59,610,290,4,38,3,477,157,40.23,0.49,2.44,0.24,37.42,11.6,17.7,7.57
Boston,8,6,300,35,3,3,1,0,1,343,87.46355685,10.20408163,681,144,214,0,10,0,256,57,681,105,186,115,0,10,0,215,50,31.42,0,1.47,0,37.59,8.37,16.89,21.15
Boston,8,7,603,38,3,6,0,0,4,654,92.20183486,5.810397554,1084,183,635,11,10,0,156,89,1084,71,580,326,5,10,0,38,54,58.58,1.01,0.92,0,14.39,8.21,30.07,16.88
Boston,9,1,1129,140,9,5,8,0,8,1299,86.91301001,10.77752117,2092,1030,302,11,436,1,248,64,2092,748,247,633,3,435,0,4,22,14.44,0.53,20.84,0.05,11.85,3.06,30.26,49.24
Boston,9,2,1516,120,17,11,7,0,4,1675,90.50746269,7.164179104,2267,1548,353,4,209,0,93,60,2267,1426,334,249,2,209,0,4,43,15.57,0.18,9.22,0,4.1,2.65,10.98,68.28
Boston,9,3,1797,142,7,7,4,0,7,1964,91.49694501,7.230142566,3652,1396,1415,13,204,3,428,193,3652,1069,1228,1041,8,203,1,18,84,38.75,0.36,5.59,0.08,11.72,5.28,28.5,38.23
Boston,9,4,1133,107,5,6,1,0,4,1256,90.20700637,8.51910828,4580,2516,1102,31,402,0,354,175,4580,2235,981,834,16,401,0,23,90,24.06,0.68,8.78,0,7.73,3.82,18.21,54.93
Boston,9,5,1337,73,6,6,6,0,13,1441,92.78278973,5.06592644,2282,357,1491,29,51,0,211,143,2282,226,1380,507,14,50,0,22,83,65.34,1.27,2.23,0,9.25,6.27,22.22,15.64
Boston,10,1,608,58,1,4,1,0,1,673,90.34175334,8.618127786,888,264,261,11,138,0,172,42,888,159,232,333,9,138,0,0,17,29.39,1.24,15.54,0,19.37,4.73,37.5,29.73
Boston,10,2,548,66,3,3,4,0,2,626,87.5399361,10.54313099,2579,1462,331,9,581,1,126,69,2579,1354,290,298,4,581,1,9,42,12.83,0.35,22.53,0.04,4.89,2.68,11.55,56.69
Boston,10,3,522,60,6,3,2,0,5,598,87.2909699,10.03344482,2020,1403,193,12,256,3,83,70,2020,1306,166,228,6,256,3,5,50,9.55,0.59,12.67,0.15,4.11,3.47,11.29,69.46
Boston,10,4,995,207,7,8,4,0,5,1226,81.15823817,16.88417618,2606,1298,421,19,561,3,209,95,2606,1128,367,477,13,556,3,5,57,16.16,0.73,21.53,0.12,8.02,3.65,18.3,49.81
Boston,10,5,682,72,11,7,8,0,5,785,86.87898089,9.171974522,2078,1539,228,7,135,0,97,72,2078,1448,208,225,3,135,0,8,51,10.97,0.34,6.5,0,4.67,3.46,10.83,74.06
Boston,10,6,775,74,10,9,11,0,1,880,88.06818182,8.409090909,1706,606,564,12,133,0,285,106,1706,386,472,665,1,130,0,6,46,33.06,0.7,7.8,0,16.71,6.21,38.98,35.52
Boston,10,7,991,72,3,3,6,0,11,1086,91.25230203,6.629834254,1809,582,580,26,43,0,435,143,1809,234,457,1030,5,42,0,14,27,32.06,1.44,2.38,0,24.05,7.9,56.94,32.17
Boston,10,8,1303,106,8,15,11,0,12,1455,89.5532646,7.285223368,2779,1583,582,4,394,2,122,92,2779,1407,538,385,4,390,1,7,47,20.94,0.14,14.18,0.07,4.39,3.31,13.85,56.96
Boston,10,9,1509,79,17,11,9,0,2,1627,92.74738783,4.855562385,2265,1646,182,13,145,0,206,73,2265,1417,141,520,1,145,0,11,30,8.04,0.57,6.4,0,9.09,3.22,22.96,72.67
Boston,11,1,634,34,6,8,3,0,3,688,92.15116279,4.941860465,912,357,429,3,31,0,58,34,912,307,392,150,3,31,0,6,23,47.04,0.33,3.4,0,6.36,3.73,16.45,39.14
Boston,11,2,1021,59,0,3,5,0,6,1094,93.32723949,5.393053016,1651,230,1090,25,21,2,196,87,1651,113,1016,442,8,21,2,11,38,66.02,1.51,1.27,0.12,11.87,5.27,26.77,13.93
Boston,11,3,787,58,3,8,0,0,4,860,91.51162791,6.744186047,1385,196,891,9,13,1,195,80,1385,90,786,445,6,13,1,12,32,64.33,0.65,0.94,0.07,14.08,5.78,32.13,14.15
Boston,11,4,1252,73,7,18,10,0,9,1369,91.45361578,5.332359386,2245,736,813,37,44,0,457,158,2245,406,709,1027,12,41,0,10,40,36.21,1.65,1.96,0,20.36,7.04,45.75,32.78
Boston,11,5,1078,95,4,10,4,0,3,1194,90.28475712,7.956448911,1825,711,596,15,26,0,377,100,1825,440,505,803,7,26,0,11,33,32.66,0.82,1.42,0,20.66,5.48,44,38.96
Boston,11,6,907,45,9,12,2,0,3,978,92.7402863,4.601226994,1257,777,176,3,62,0,163,76,1257,646,127,399,1,61,0,7,16,14,0.24,4.93,0,12.97,6.05,31.74,61.81
Boston,11,7,1101,80,6,9,5,0,1,1202,91.59733777,6.655574043,1955,1096,464,12,51,0,255,77,1955,938,424,487,3,51,0,10,42,23.73,0.61,2.61,0,13.04,3.94,24.91,56.06
Boston,11,8,1536,78,14,11,8,0,10,1657,92.69764635,4.707302354,1733,1185,223,10,153,1,106,55,1733,1081,196,253,3,153,1,13,33,12.87,0.58,8.83,0.06,6.12,3.17,14.6,68.38
Boston,11,9,797,48,4,14,2,0,0,865,92.13872832,5.549132948,997,844,63,1,41,0,23,25,997,790,48,99,0,40,0,3,17,6.32,0.1,4.11,0,2.31,2.51,9.93,84.65
Boston,11,10,1024,40,8,8,2,0,7,1089,94.0312213,3.673094582,1462,1096,145,2,69,0,110,40,1462,998,122,238,1,68,0,13,22,9.92,0.14,4.72,0,7.52,2.74,16.28,74.97
Boston,12,1,1037,61,8,6,3,0,7,1122,92.42424242,5.436720143,1812,137,1380,11,33,0,166,85,1812,74,1328,307,10,32,0,12,49,76.16,0.61,1.82,0,9.16,4.69,16.94,7.56
Boston,12,2,1285,77,6,5,6,0,10,1389,92.51259899,5.543556515,2361,171,1767,17,17,1,288,100,2361,39,1664,529,9,17,1,45,57,74.84,0.72,0.72,0.04,12.2,4.24,22.41,7.24
Boston,12,3,529,33,2,3,1,0,0,568,93.13380282,5.809859155,794,55,604,4,24,1,75,31,794,20,564,151,1,24,1,11,22,76.07,0.5,3.02,0.13,9.45,3.9,19.02,6.93
Boston,12,4,718,54,2,5,1,0,7,787,91.23252859,6.861499365,1235,100,884,6,3,2,178,62,1235,47,826,274,5,3,2,30,48,71.58,0.49,0.24,0.16,14.41,5.02,22.19,8.1
Boston,12,5,481,24,0,0,2,0,5,512,93.9453125,4.6875,860,48,684,10,2,0,86,30,860,15,655,151,6,1,0,12,20,79.53,1.16,0.23,0,10,3.49,17.56,5.58
Boston,12,6,597,43,3,5,0,0,9,657,90.86757991,6.544901065,858,41,693,6,9,0,65,44,858,21,659,134,5,9,0,10,20,80.77,0.7,1.05,0,7.58,5.13,15.62,4.78
Boston,12,7,1300,97,8,5,11,0,9,1430,90.90909091,6.783216783,3079,386,2016,22,19,0,507,129,3079,186,1876,914,15,18,0,12,58,65.48,0.71,0.62,0,16.47,4.19,29.68,12.54
Boston,12,8,503,32,2,1,0,0,2,540,93.14814815,5.925925926,950,82,668,8,3,0,146,43,950,33,630,244,8,3,0,10,22,70.32,0.84,0.32,0,15.37,4.53,25.68,8.63
Boston,12,9,655,37,3,2,2,0,7,706,92.77620397,5.240793201,1116,95,802,7,15,1,134,62,1116,23,764,268,4,15,1,9,32,71.86,0.63,1.34,0.09,12.01,5.56,24.01,8.51
Boston,13,1,839,67,3,4,5,0,10,928,90.40948276,7.219827586,1573,134,955,11,12,0,345,116,1573,41,851,458,8,11,0,130,74,60.71,0.7,0.76,0,21.93,7.37,29.12,8.52
Boston,13,2,346,33,3,1,3,0,0,386,89.6373057,8.549222798,673,82,389,19,10,1,114,58,673,14,351,232,2,8,0,28,38,57.8,2.82,1.49,0.15,16.94,8.62,34.47,12.18
Boston,13,3,761,126,12,6,9,0,1,915,83.16939891,13.7704918,3145,1502,573,16,681,5,279,89,3145,1293,515,547,7,681,5,41,56,18.22,0.51,21.65,0.16,8.87,2.83,17.39,47.76
Boston,13,4,616,56,3,2,1,0,4,682,90.32258065,8.211143695,1261,188,717,8,10,0,238,100,1261,82,668,370,5,10,0,62,64,56.86,0.63,0.79,0,18.87,7.93,29.34,14.91
Boston,13,5,595,51,10,2,2,0,1,661,90.01512859,7.715582451,1352,334,529,5,11,2,346,125,1352,263,483,284,1,11,2,206,102,39.13,0.37,0.81,0.15,25.59,9.25,21.01,24.7
Boston,13,6,807,108,6,8,5,0,3,937,86.12593383,11.52614728,1615,587,458,7,125,3,334,101,1615,517,420,272,4,125,3,196,78,28.36,0.43,7.74,0.19,20.68,6.25,16.84,36.35
Boston,13,7,820,268,9,8,3,0,4,1112,73.74100719,24.10071942,1775,1010,199,1,431,0,79,55,1775,956,189,131,1,431,0,19,48,11.21,0.06,24.28,0,4.45,3.1,7.38,56.9
Boston,13,8,732,219,5,9,9,0,5,979,74.77017365,22.36976507,1511,770,187,3,368,4,113,66,1511,719,172,146,3,366,0,49,56,12.38,0.2,24.35,0.26,7.48,4.37,9.66,50.96
Boston,13,9,843,206,6,5,3,0,2,1065,79.15492958,19.342723,1683,742,249,7,429,5,185,66,1683,692,228,170,6,428,0,103,56,14.8,0.42,25.49,0.3,10.99,3.92,10.1,44.09
Boston,13,10,1027,360,18,10,9,0,7,1431,71.76799441,25.1572327,1946,1510,122,0,218,2,46,48,1946,1466,116,95,0,218,2,10,39,6.27,0,11.2,0.1,2.36,2.47,4.88,77.6
Boston,14,1,1361,109,8,5,4,0,11,1498,90.85447263,7.276368491,2866,279,1824,19,37,5,557,145,2866,48,1688,920,9,35,1,93,72,63.64,0.66,1.29,0.17,19.43,5.06,32.1,9.73
Boston,14,2,1479,104,3,5,4,0,10,1605,92.14953271,6.479750779,2695,142,2164,17,10,0,235,127,2695,42,2041,450,11,10,0,62,79,80.3,0.63,0.37,0,8.72,4.71,16.7,5.27
Boston,14,3,715,44,5,3,1,0,7,775,92.25806452,5.677419355,1549,75,1077,23,18,1,277,78,1549,20,987,459,17,18,1,11,36,69.53,1.48,1.16,0.06,17.88,5.04,29.63,4.84
Boston,14,4,829,59,5,5,5,0,0,903,91.80509413,6.533776301,1654,124,1230,10,15,0,203,72,1654,49,1146,353,8,15,0,39,44,74.37,0.6,0.91,0,12.27,4.35,21.34,7.5
Boston,14,5,702,23,2,1,2,0,2,732,95.90163934,3.142076503,1439,36,1278,5,11,1,70,38,1439,9,1231,155,2,11,1,2,28,88.81,0.35,0.76,0.07,4.86,2.64,10.77,2.5
Boston,14,6,649,50,3,5,3,0,0,710,91.4084507,7.042253521,1174,75,947,4,6,1,89,52,1174,41,878,211,2,6,0,11,25,80.66,0.34,0.51,0.09,7.58,4.43,17.97,6.39
