City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Johnson/ Weld,Stein/ Baraka,Mcmullin/ Johnson,Kotlikoff/ Leamer,Feegbeh/ O'Brien,Moorehead/ Lilly,Schoenke/ Mitchel,All Others,No Preference,Blanks,Total Votes Cast,Clinton Percentage,Trump Percentage,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage
Boston,5,2,1389,153,53,28,0,0,0,0,0,25,0,19,1667,83.32333533,9.178164367,4207,3131,194,8,606,2,130,136,4207,2904,178,401,5,601,2,11,105,4.6,0.2,14.4,0,3.1,3.2,9.5,74.4
Boston,5,3,1077,191,59,9,0,0,0,0,0,44,0,15,1395,77.20430108,13.69175627,1873,1744,20,0,92,0,8,9,1873,1695,17,58,0,92,0,3,8,1.1,0,4.9,0,0.4,0.5,3.1,93.1
Boston,5,4,1371,174,75,7,0,0,0,0,0,48,0,9,1684,81.41330166,10.33254157,2702,2405,70,2,153,1,29,42,2702,2324,68,106,2,152,1,12,37,2.6,0.1,5.7,0,1.1,1.6,3.9,89
Boston,5,5,449,87,23,4,3,0,0,0,0,13,0,14,593,75.71669477,14.67116358,677,636,4,1,21,0,1,14,677,624,4,17,1,21,0,1,9,0.6,0.1,3.1,0,0.1,2.1,2.5,93.9
Boston,5,6,1020,227,53,14,0,0,0,0,0,46,0,20,1380,73.91304348,16.44927536,2212,1965,77,3,114,0,21,32,2212,1896,65,104,3,114,0,4,26,3.5,0.1,5.2,0,0.9,1.4,4.7,88.8
Boston,5,7,1296,268,76,27,0,0,0,0,0,40,0,15,1722,75.26132404,15.56329849,2626,2323,54,2,175,1,26,45,2626,2231,50,126,2,175,1,3,38,2.1,0.1,6.7,0,1,1.7,4.8,88.5
Boston,5,8,1136,209,71,17,2,0,0,0,0,38,0,21,1494,76.03748327,13.9892905,2585,2200,65,1,214,0,34,71,2585,2108,63,125,1,212,0,15,61,2.5,0,8.3,0,1.3,2.7,4.8,85.1
Boston,5,9,1572,243,94,21,5,0,0,0,0,48,0,28,2011,78.17006464,12.08354053,4112,3372,89,3,513,0,53,82,4112,3174,84,262,3,506,0,13,70,2.2,0.1,12.5,0,1.3,2,6.4,82
Boston,5,10,1025,175,30,21,0,0,0,0,0,35,0,14,1300,78.84615385,13.46153846,6184,4078,207,15,1529,0,110,245,6184,3749,197,478,12,1517,0,21,210,3.3,0.2,24.7,0,1.8,4,7.7,65.9
Boston,5,11,723,120,33,8,1,0,0,0,0,16,0,10,911,79.36333699,13.17233809,1322,1222,11,0,68,0,7,14,1322,1179,11,51,0,67,0,2,12,0.8,0,5.1,0,0.5,1.1,3.9,92.4
Boston,6,1,2669,668,131,21,1,0,0,0,0,66,0,37,3593,74.28332869,18.5917061,4089,3123,260,7,332,2,253,112,4089,2899,190,582,4,330,2,16,66,6.4,0.2,8.1,0,6.2,2.7,14.2,76.4
Boston,6,2,706,203,40,9,0,0,0,0,0,22,0,9,989,71.38523761,20.52578362,1387,1089,85,1,102,0,90,20,1387,1055,66,143,1,97,0,11,14,6.1,0.1,7.4,0,6.5,1.4,10.3,78.5
Boston,6,3,950,330,63,8,0,0,0,0,0,35,0,14,1400,67.85714286,23.57142857,1848,1711,22,10,78,1,8,18,1848,1686,19,38,7,78,1,3,16,1.2,0.5,4.2,0.1,0.4,1,2.1,92.6
Boston,6,4,880,358,70,17,0,0,0,0,0,35,0,25,1385,63.53790614,25.84837545,1801,1666,14,4,77,0,12,28,1801,1646,14,40,2,77,0,2,20,0.8,0.2,4.3,0,0.7,1.6,2.2,92.5
Boston,6,5,805,360,59,16,0,0,0,0,0,40,0,16,1296,62.11419753,27.77777778,1678,1617,8,2,31,1,11,8,1678,1598,7,28,1,31,1,5,7,0.5,0.1,1.8,0.1,0.7,0.5,1.7,96.4
Boston,6,6,683,367,57,12,0,0,0,0,0,33,0,23,1175,58.12765957,31.23404255,1503,1459,14,1,13,0,6,10,1503,1453,12,12,1,13,0,4,8,0.9,0.1,0.9,0,0.4,0.7,0.8,97.1
Boston,6,7,742,411,66,7,0,0,0,0,0,26,0,25,1277,58.10493344,32.18480814,1526,1491,7,1,12,2,3,10,1526,1477,7,20,1,12,1,0,8,0.5,0.1,0.8,0.1,0.2,0.7,1.3,97.7
Boston,6,8,693,370,64,8,0,0,0,0,0,28,0,18,1181,58.67908552,31.32938188,1545,1518,3,1,10,0,3,10,1545,1512,3,10,1,9,0,0,10,0.2,0.1,0.6,0,0.2,0.6,0.6,98.3
Boston,6,9,588,439,43,5,4,0,0,0,0,18,0,18,1115,52.73542601,39.37219731,1572,1543,17,2,1,0,4,5,1572,1530,15,18,2,1,0,1,5,1.1,0.1,0.1,0,0.3,0.3,1.1,98.2
Boston,7,1,605,367,42,8,2,0,0,0,0,25,0,16,1065,56.80751174,34.4600939,1363,1343,2,0,12,0,3,3,1363,1334,2,12,0,12,0,0,3,0.1,0,0.9,0,0.2,0.2,0.9,98.5
Boston,7,2,799,429,64,13,5,0,0,0,0,26,0,16,1352,59.09763314,31.73076923,1769,1733,9,0,16,1,1,9,1769,1719,9,15,0,16,1,0,9,0.5,0,0.9,0.1,0.1,0.5,0.8,98
Boston,7,3,886,475,69,8,0,0,0,0,0,37,0,21,1496,59.22459893,31.7513369,2133,2048,15,2,32,0,18,18,2133,2019,15,48,2,31,0,2,16,0.7,0.1,1.5,0,0.8,0.8,2.3,96
Boston,7,4,826,333,50,16,0,0,0,0,0,22,0,14,1261,65.5035686,26.40761301,1829,1576,69,2,75,0,64,43,1829,1540,57,115,2,75,0,20,20,3.8,0.1,4.1,0,3.5,2.4,6.3,86.2
Boston,7,5,749,231,56,16,0,0,0,0,0,18,0,11,1081,69.28769658,21.36910268,1905,1407,177,5,157,2,107,50,1905,1338,138,229,3,154,2,17,24,9.3,0.3,8.2,0.1,5.6,2.6,12,73.9
Boston,7,6,696,202,21,8,0,0,0,0,0,21,0,11,959,72.57559958,21.06360792,1586,1074,160,5,152,1,145,49,1586,992,130,289,1,150,1,6,17,10.1,0.3,9.6,0.1,9.1,3.1,18.2,67.7
Boston,7,7,580,98,7,12,0,0,0,0,0,11,0,4,712,81.46067416,13.76404494,1496,572,404,14,224,3,200,79,1496,363,312,561,6,224,2,5,23,27,0.9,15,0.2,13.4,5.3,37.5,38.2
Boston,7,8,632,167,29,13,0,0,0,0,0,14,0,8,863,73.23290846,19.35110081,1487,1173,97,3,137,0,59,18,1487,1132,94,99,3,137,0,6,16,6.5,0.2,9.2,0,4,1.2,6.7,78.9
Boston,7,9,618,187,25,15,0,0,0,0,0,18,0,10,873,70.79037801,21.42038946,1551,993,159,11,221,1,128,38,1551,937,147,150,7,221,1,60,28,10.3,0.7,14.2,0.1,8.3,2.5,9.7,64
Boston,7,10,835,48,12,12,0,0,0,0,0,7,0,2,916,91.15720524,5.240174672,1847,325,584,6,47,2,686,197,1847,206,540,377,3,46,1,504,170,31.6,0.3,2.5,0.1,37.1,10.7,20.4,17.6
Boston,8,1,706,57,12,8,0,0,0,0,0,5,0,3,791,89.25410872,7.206068268,1484,598,376,3,176,4,265,62,1484,436,334,489,3,176,4,13,29,25.3,0.2,11.9,0.3,17.9,4.2,33,40.3
Boston,8,2,1396,136,23,23,0,0,0,0,0,22,0,12,1612,86.60049628,8.436724566,4588,2484,1212,19,598,1,189,85,4588,1889,1174,819,14,597,1,33,61,26.4,0.4,13,0,4.1,1.9,17.9,54.1
Boston,8,3,724,26,11,8,0,0,0,0,0,6,0,6,781,92.70166453,3.329065301,1269,266,715,10,52,0,169,57,1269,180,658,325,6,51,0,21,28,56.3,0.8,4.1,0,13.3,4.5,25.6,21
Boston,8,4,404,9,1,4,0,0,0,0,0,5,0,4,427,94.61358314,2.107728337,664,75,392,5,11,0,142,39,664,21,352,239,5,11,0,19,17,59,0.8,1.7,0,21.4,5.9,36,11.3
Boston,8,5,760,35,6,10,0,0,0,0,0,8,0,2,821,92.57003654,4.263093788,1638,124,659,8,40,4,613,190,1638,59,610,290,4,38,3,477,157,40.2,0.5,2.4,0.2,37.4,11.6,17.7,7.6
Boston,8,6,271,27,7,2,0,0,0,0,0,3,0,4,314,86.30573248,8.598726115,681,144,214,0,10,0,256,57,681,105,186,115,0,10,0,215,50,31.4,0,1.5,0,37.6,8.4,16.9,21.1
Boston,8,7,541,27,4,4,0,0,0,0,0,5,0,7,588,92.00680272,4.591836735,1084,183,635,11,10,0,156,89,1084,71,580,326,5,10,0,38,54,58.6,1,0.9,0,14.4,8.2,30.1,16.9
Boston,9,1,1158,97,24,14,0,0,0,0,0,12,0,14,1319,87.79378317,7.354056103,2092,1030,302,11,436,1,248,64,2092,748,247,633,3,435,0,4,22,14.4,0.5,20.8,0,11.9,3.1,30.3,49.2
Boston,9,2,1129,94,33,15,0,0,0,0,0,26,0,12,1309,86.24904507,7.18105424,2267,1548,353,4,209,0,93,60,2267,1426,334,249,2,209,0,4,43,15.6,0.2,9.2,0,4.1,2.6,11,68.3
Boston,9,3,1914,69,29,17,0,0,0,0,0,15,0,15,2059,92.95774648,3.351141331,3652,1396,1415,13,204,3,428,193,3652,1069,1228,1041,8,203,1,18,84,38.7,0.4,5.6,0.1,11.7,5.3,28.5,38.2
Boston,9,4,1177,57,18,15,0,0,0,0,0,6,0,10,1283,91.7381138,4.442712393,4580,2516,1102,31,402,0,354,175,4580,2235,981,834,16,401,0,23,90,24.1,0.7,8.8,0,7.7,3.8,18.2,54.9
Boston,9,5,1330,34,11,17,0,0,0,0,0,13,0,10,1415,93.99293286,2.402826855,2282,357,1491,29,51,0,211,143,2282,226,1380,507,14,50,0,22,83,65.3,1.3,2.2,0,9.2,6.3,22.2,15.6
Boston,10,1,616,37,8,8,0,0,0,0,0,7,0,6,682,90.32258065,5.425219941,888,264,261,11,138,0,172,42,888,159,232,333,9,138,0,0,17,29.4,1.2,15.5,0,19.4,4.7,37.5,29.7
Boston,10,2,557,55,12,14,6,0,0,0,0,13,0,4,661,84.26626324,8.320726172,2579,1462,331,9,581,1,126,69,2579,1354,290,298,4,581,1,9,42,12.8,0.3,22.5,0,4.9,2.7,11.6,56.7
Boston,10,3,553,58,19,14,0,0,0,0,0,8,0,11,663,83.40874811,8.74811463,2020,1403,193,12,256,3,83,70,2020,1306,166,228,6,256,3,5,50,9.6,0.6,12.7,0.1,4.1,3.5,11.3,69.5
Boston,10,4,977,154,21,19,0,0,0,1,0,8,0,10,1190,82.10084034,12.94117647,2606,1298,421,19,561,3,209,95,2606,1128,367,477,13,556,3,5,57,16.2,0.7,21.5,0.1,8,3.6,18.3,49.8
Boston,10,5,678,77,31,37,0,0,0,0,0,27,0,7,857,79.11318553,8.984830805,2078,1539,228,7,135,0,97,72,2078,1448,208,225,3,135,0,8,51,11,0.3,6.5,0,4.7,3.5,10.8,74.1
Boston,10,6,761,44,22,23,0,0,0,0,0,16,0,4,870,87.47126437,5.057471264,1706,606,564,12,133,0,285,106,1706,386,472,665,1,130,0,6,46,33.1,0.7,7.8,0,16.7,6.2,39,35.5
Boston,10,7,1082,34,11,14,0,0,0,0,0,8,0,7,1156,93.59861592,2.941176471,1809,582,580,26,43,0,435,143,1809,234,457,1030,5,42,0,14,27,32.1,1.4,2.4,0,24,7.9,56.9,32.2
Boston,10,8,1021,67,30,28,0,0,0,0,0,12,0,10,1168,87.41438356,5.73630137,2779,1583,582,4,394,2,122,92,2779,1407,538,385,4,390,1,7,47,20.9,0.1,14.2,0.1,4.4,3.3,13.9,57
Boston,10,9,1432,78,32,42,0,0,0,0,0,21,0,12,1617,88.55905999,4.823747681,2265,1646,182,13,145,0,206,73,2265,1417,141,520,1,145,0,11,30,8,0.6,6.4,0,9.1,3.2,23,72.7
Boston,11,1,560,19,12,19,0,0,0,0,0,6,0,11,627,89.31419458,3.03030303,912,357,429,3,31,0,58,34,912,307,392,150,3,31,0,6,23,47,0.3,3.4,0,6.4,3.7,16.4,39.1
Boston,11,2,1000,25,14,17,0,0,0,0,0,10,0,7,1073,93.19664492,2.329916123,1651,230,1090,25,21,2,196,87,1651,113,1016,442,8,21,2,11,38,66,1.5,1.3,0.1,11.9,5.3,26.8,13.9
Boston,11,3,768,27,8,5,0,0,0,0,0,4,0,8,820,93.65853659,3.292682927,1385,196,891,9,13,1,195,80,1385,90,786,445,6,13,1,12,32,64.3,0.6,0.9,0.1,14.1,5.8,32.1,14.2
Boston,11,4,1247,49,22,31,0,0,0,0,0,17,0,9,1375,90.69090909,3.563636364,2245,736,813,37,44,0,457,158,2245,406,709,1027,12,41,0,10,40,36.2,1.6,2,0,20.4,7,45.7,32.8
Boston,11,5,1000,48,12,23,0,0,0,0,0,9,0,7,1099,90.99181074,4.367606915,1825,711,596,15,26,0,377,100,1825,440,505,803,7,26,0,11,33,32.7,0.8,1.4,0,20.7,5.5,44,39
Boston,11,6,845,43,16,38,0,0,0,0,0,9,0,9,960,88.02083333,4.479166667,1257,777,176,3,62,0,163,76,1257,646,127,399,1,61,0,7,16,14,0.2,4.9,0,13,6,31.7,61.8
Boston,11,7,1113,49,14,33,0,0,0,0,0,11,0,9,1229,90.56143206,3.986981286,1955,1096,464,12,51,0,255,77,1955,938,424,487,3,51,0,10,42,23.7,0.6,2.6,0,13,3.9,24.9,56.1
Boston,11,8,1123,58,19,30,6,0,0,0,0,8,0,5,1249,89.91192954,4.643714972,1733,1185,223,10,153,1,106,55,1733,1081,196,253,3,153,1,13,33,12.9,0.6,8.8,0.1,6.1,3.2,14.6,68.4
Boston,11,9,762,45,11,16,0,0,0,0,0,12,0,19,865,88.09248555,5.202312139,997,844,63,1,41,0,23,25,997,790,48,99,0,40,0,3,17,6.3,0.1,4.1,0,2.3,2.5,9.9,84.7
Boston,11,10,956,27,15,31,0,0,0,0,0,10,0,8,1047,91.30850048,2.578796562,1462,1096,145,2,69,0,110,40,1462,998,122,238,1,68,0,13,22,9.9,0.1,4.7,0,7.5,2.7,16.3,75
Boston,12,1,1049,37,9,26,0,0,0,0,0,14,0,6,1141,91.93689746,3.2427695,1812,137,1380,11,33,0,166,85,1812,74,1328,307,10,32,0,12,49,76.2,0.6,1.8,0,9.2,4.7,16.9,7.6
Boston,12,2,1126,26,10,16,0,0,0,0,0,11,0,22,1211,92.98100743,2.146985962,2361,171,1767,17,17,1,288,100,2361,39,1664,529,9,17,1,45,57,74.8,0.7,0.7,0,12.2,4.2,22.4,7.2
Boston,12,3,599,18,7,18,0,0,0,0,0,7,0,10,659,90.8952959,2.731411229,794,55,604,4,24,1,75,31,794,20,564,151,1,24,1,11,22,76.1,0.5,3,0.1,9.4,3.9,19,6.9
Boston,12,4,658,29,7,17,0,0,0,0,0,4,0,6,721,91.26213592,4.022191401,1235,100,884,6,3,2,178,62,1235,47,826,274,5,3,2,30,48,71.6,0.5,0.2,0.2,14.4,5,22.2,8.1
Boston,12,5,470,10,2,4,0,0,0,0,0,2,0,1,489,96.11451943,2.044989775,860,48,684,10,2,0,86,30,860,15,655,151,6,1,0,12,20,79.5,1.2,0.2,0,10,3.5,17.6,5.6
Boston,12,6,544,22,3,7,0,0,0,0,0,4,0,7,587,92.6746167,3.747870528,858,41,693,6,9,0,65,44,858,21,659,134,5,9,0,10,20,80.8,0.7,1,0,7.6,5.1,15.6,4.8
Boston,12,7,1491,42,8,18,0,0,0,0,0,7,0,15,1581,94.30740038,2.65654649,3079,386,2016,22,19,0,507,129,3079,186,1876,914,15,18,0,12,58,65.5,0.7,0.6,0,16.5,4.2,29.7,12.5
Boston,12,8,457,16,3,3,0,0,0,0,0,6,0,6,491,93.07535642,3.258655804,950,82,668,8,3,0,146,43,950,33,630,244,8,3,0,10,22,70.3,0.8,0.3,0,15.4,4.5,25.7,8.6
Boston,12,9,620,20,3,15,0,0,0,0,0,5,0,1,664,93.37349398,3.012048193,1116,95,802,7,15,1,134,62,1116,23,764,268,4,15,1,9,32,71.9,0.6,1.3,0.1,12,5.6,24,8.5
Boston,13,1,876,33,7,11,0,0,0,0,0,7,0,8,942,92.99363057,3.503184713,1573,134,955,11,12,0,345,116,1573,41,851,458,8,11,0,130,74,60.7,0.7,0.8,0,21.9,7.4,29.1,8.5
Boston,13,2,329,12,2,4,0,0,0,0,0,3,0,6,356,92.41573034,3.370786517,673,82,389,19,10,1,114,58,673,14,351,232,2,8,0,28,38,57.8,2.8,1.5,0.1,16.9,8.6,34.5,12.2
Boston,13,3,679,69,24,15,0,0,0,0,0,18,0,8,813,83.51783518,8.487084871,3145,1502,573,16,681,5,279,89,3145,1293,515,547,7,681,5,41,56,18.2,0.5,21.7,0.2,8.9,2.8,17.4,47.8
Boston,13,4,610,26,2,13,0,0,0,0,0,4,0,3,658,92.70516717,3.951367781,1261,188,717,8,10,0,238,100,1261,82,668,370,5,10,0,62,64,56.9,0.6,0.8,0,18.9,7.9,29.3,14.9
Boston,13,5,611,39,7,12,0,0,0,0,0,10,0,7,686,89.06705539,5.685131195,1352,334,529,5,11,2,346,125,1352,263,483,284,1,11,2,206,102,39.1,0.4,0.8,0.1,25.6,9.2,21,24.7
Boston,13,6,801,75,18,8,0,0,0,0,0,16,0,3,921,86.97068404,8.143322476,1615,587,458,7,125,3,334,101,1615,517,420,272,4,125,3,196,78,28.4,0.4,7.7,0.2,20.7,6.3,16.8,36.3
