Age_yrs,Education_level,Income_level,Gender,Random_twin_split,P-SDQ_Emo,P-SDQ_Conduct,P-SDQ_Hyper,P-SDQ_Peer,P-SDQ_Procosial,P-SDQ_Total_Problems,P-EATQ_Aggression,C-EATQ_Aggression,C_IBSbully,C_IBSvictim,C_IBSfight,Bully_Fight,Bully_Victim,C_IBS_Total,coop1,coop_rt1,coop2,coop_rt2,coop3,coop_rt3,coop4,coop_rt4,coop5,coop_rt5,coop6,coop_rt6,coop7,coop_rt7,coop8,coop_rt8,coop9,coop_rt9,coop10,coop_rt10,Strategy
14,6,6,2,1,1,1,4,1,4,7,8,27,1,1,0,1,2,2,CC,10.14,CC,7.18,DD,9.36,CC,4.940000000000001,DC,5.620000000000001,DC,5.43,DD,4.640000000000001,DC,4.349999999999994,DC,4.960000000000001,DC,6.109999999999999,draw blood
14,9,5,1,1,0,0,0,4,7,4,18,32,4,2,0,4,6,6,DC,11.68,DC,5.990000000000002,DD,6.09,DC,4.199999999999999,DC,6.359999999999999,DC,6.259999999999998,DD,5.270000000000003,DC,4.6299999999999955,DC,4.970000000000006,DC,4.799999999999997,draw blood
13,9,7,1,1,2,2,6,0,2,10,19,38,6,0,5,11,6,11,DC,10.46,CC,5.649999999999999,DD,4.550000000000001,CC,7.260000000000002,CC,11.420000000000002,CC,4.059999999999995,CD,4.190000000000005,DC,5.329999999999998,DC,4.159999999999997,DC,5.300000000000004,draw blood
16,7,6,2,1,2,0,0,0,10,2,15,23,1,2,1,2,3,4,CC,10.03,CC,5.74,CD,4.440000000000001,CC,5.419999999999998,CC,4.490000000000002,DC,4.650000000000002,CD,4.93,CC,5.849999999999994,CC,6.950000000000003,DC,5.939999999999998,other
14,7,10,2,1,6,1,2,0,10,9,14,28,4,0,1,5,4,5,DC,9.57,DC,6.129999999999999,CD,5.98,DC,6.080000000000002,DC,6.09,CC,6.780000000000001,DD,5.649999999999999,DC,5.759999999999998,DC,5.090000000000003,CC,6.739999999999995,draw blood
16,9,9,1,1,1,0,0,4,10,5,11,39,7,3,1,8,10,11,DC,10.34,DC,4.27,DD,5.560000000000002,DC,4.329999999999998,DC,4.609999999999999,DC,4.469999999999999,DD,4.149999999999999,DC,4.700000000000003,DC,4.18,DC,4.079999999999998,draw blood
13,8,6,1,1,4,3,8,1,6,16,22,43,9,3,0,9,12,12,DC,10.25,DC,5.24,DD,4.279999999999999,DC,4.190000000000001,DC,4.079999999999998,DC,4.550000000000004,DD,7.709999999999994,DC,3.460000000000001,DC,5.440000000000005,DC,4.769999999999996,draw blood
15,7,5,2,1,1,3,3,0,8,7,20,33,2,1,2,4,3,5,DC,12.22,DC,4.51,DD,4.25,CC,4.440000000000001,CC,5.77,DC,4.219999999999995,DD,4.410000000000004,DC,4.560000000000002,DC,4.049999999999997,DC,5.100000000000001,draw blood
16,9,6,2,1,3,2,0,0,9,5,22,21,1,0,0,1,1,1,CC,9.18,CC,3.880000000000001,CD,3.709999999999999,DC,5.170000000000002,CC,4.239999999999998,CC,3.9200000000000017,CD,3.990000000000002,DC,4.589999999999996,CC,4.719999999999999,DC,7.740000000000002,other
16,9,10,2,1,1,0,0,1,9,2,13,29,0,0,0,0,0,0,CC,8.73,DC,4.699999999999999,DD,6.129999999999999,CC,3.7600000000000016,CC,6.079999999999998,DC,6.920000000000002,CD,5.030000000000001,DC,3.969999999999999,CC,4.93,DC,4.039999999999999,draw blood
