City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Johnson/ Weld,Stein/ Baraka,Mcmullin/ Johnson,Kotlikoff/ Leamer,Feegbeh/ O'Brien,Moorehead/ Lilly,Schoenke/ Mitchel,All Others,No Preference,Blanks,Total Votes Cast,,
Lynn,2,2,687.00,237.00,21.00,13.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,168.00,1148.00,,
Lynn,2,3,689.00,125.00,18.00,10.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,7.00,854.00,,
Lynn,2,4,653.00,172.00,34.00,11.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,6.00,893.00,,
Lynn,3,1,839.00,446.00,35.00,28.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,64.00,1431.00,,
Lynn,3,2,891.00,266.00,23.00,25.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,14.00,1248.00,,
Lynn,3,3,809.00,291.00,43.00,17.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,68.00,1245.00,,
Lynn,3,4,1003.00,298.00,45.00,26.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,14.00,1396.00,,
Lynn,4,1,564.00,86.00,12.00,6.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,14.00,691.00,,
Lynn,4,2,607.00,99.00,21.00,3.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,7.00,745.00,,
Lynn,4,3,782.00,202.00,22.00,8.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,7.00,1032.00,,
Lynn,4,4,900.00,313.00,26.00,21.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,13.00,1286.00,,
Lynn,5,1,762.00,336.00,37.00,10.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,20.00,1180.00,,
Lynn,5,2,522.00,91.00,15.00,7.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,6.00,646.00,,
Lynn,5,3,638.00,94.00,13.00,11.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,7.00,772.00,,
Lynn,5,4,938.00,306.00,27.00,18.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,51.00,1357.00,,
Lynn,6,1,667.00,206.00,30.00,12.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,34.00,962.00,,
Lynn,6,2,519.00,103.00,16.00,9.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,12.00,668.00,,
Lynn,6,3,659.00,150.00,13.00,6.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,147.00,982.00,,
Lynn,6,4,636.00,165.00,15.00,6.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,17.00,847.00,,
Lynn,7,1,1070.00,547.00,41.00,21.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,1713.00,,
Lynn,7,2,939.00,421.00,54.00,23.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,21.00,1481.00,,
Lynn,7,3,690.00,337.00,31.00,12.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,12.00,1092.00,,
Lynn,7,4,794.00,377.00,32.00,17.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,16.00,1266.00,,
Lynnfield,-,1,829.00,915.00,82.00,19.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00,1909.00,,
Lynnfield,-,2,888.00,932.00,64.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,1974.00,,
Lynnfield,-,3,721.00,903.00,61.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,1756.00,,
Lynnfield,-,4,800.00,1079.00,90.00,14.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,2054.00,,
Malden,1,1,884.00,213.00,36.00,20.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,21.00,1189.00,,
Malden,1,2,1025.00,357.00,43.00,27.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,17.00,1494.00,,
Malden,2,1,856.00,264.00,31.00,16.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,13.00,1198.00,,
Malden,2,2,908.00,458.00,41.00,15.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,23.00,1459.00,,
Malden,3,1,1182.00,358.00,48.00,26.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,21.00,1660.00,,
Malden,3,2,1269.00,462.00,68.00,35.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,23.00,1888.00,,
Malden,4,1,829.00,243.00,30.00,24.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,10.00,1158.00,,
Malden,4,2,694.00,186.00,22.00,17.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,12.00,950.00,,
Malden,5,1,1018.00,313.00,28.00,21.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,17.00,1430.00,,
Malden,5,2,1244.00,515.00,61.00,28.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,26.00,1902.00,,
Malden,6,1,1067.00,444.00,40.00,23.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,1608.00,,
Malden,6,2,987.00,401.00,48.00,18.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,22.00,1512.00,,
Malden,7,1,941.00,216.00,21.00,12.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,15.00,1219.00,,
Malden,7,2,972.00,295.00,24.00,20.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,12.00,1337.00,,
Malden,8,1,1034.00,457.00,57.00,17.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,17.00,1602.00,,
Malden,8,2,935.00,356.00,43.00,16.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,23.00,1389.00,,
Manchester-by-the-Sea,-,1,2249.00,954.00,227.00,34.00,6.00,0.00,0.00,0.00,0.00,74.00,0.00,79.00,3623.00,,
Mansfield,-,1,1142.00,952.00,112.00,22.00,6.00,0.00,0.00,0.00,0.00,16.00,0.00,67.00,2317.00,,
Mansfield,-,2,1142.00,903.00,124.00,23.00,6.00,0.00,0.00,0.00,0.00,63.00,0.00,27.00,2288.00,,
Mansfield,-,3,1239.00,961.00,116.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.00,2440.00,,
Mansfield,-,4,1168.00,848.00,110.00,19.00,0.00,0.00,0.00,0.00,0.00,69.00,0.00,28.00,2242.00,,
Mansfield,-,5,1056.00,702.00,112.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.00,1989.00,,
Mansfield,-,6,1132.00,707.00,123.00,26.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,56.00,2065.00,,
Marblehead,-,1,1420.00,614.00,105.00,17.00,4.00,0.00,0.00,0.00,0.00,34.00,0.00,44.00,2238.00,,
Marblehead,-,2,1440.00,629.00,125.00,24.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,57.00,2305.00,,
Marblehead,-,3,1235.00,623.00,97.00,21.00,6.00,0.00,0.00,0.00,0.00,37.00,0.00,33.00,2052.00,,
Marblehead,-,4,1376.00,674.00,120.00,16.00,8.00,0.00,0.00,0.00,0.00,46.00,0.00,48.00,2288.00,,
Marblehead,-,5,1322.00,608.00,92.00,17.00,4.00,0.00,0.00,0.00,0.00,29.00,0.00,40.00,2112.00,,
Marblehead,-,6,1318.00,611.00,126.00,22.00,4.00,0.00,0.00,0.00,0.00,47.00,0.00,35.00,2163.00,,
Marion,-,1,1861.00,1159.00,151.00,49.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,43.00,3323.00,,
Marlborough,1,1,761.00,352.00,40.00,8.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,51.00,1222.00,,
Marlborough,1,2,994.00,563.00,81.00,10.00,5.00,0.00,0.00,0.00,0.00,45.00,0.00,30.00,1728.00,,
Marlborough,2,1,813.00,492.00,87.00,19.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,23.00,1448.00,,
Marlborough,2,2,772.00,391.00,54.00,19.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,18.00,1268.00,,
Marlborough,3,1,589.00,309.00,71.00,13.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,14.00,1010.00,,
Marlborough,3,2,1004.00,562.00,72.00,25.00,1.00,0.00,0.00,0.00,0.00,26.00,0.00,34.00,1724.00,,
Marlborough,4,1,473.00,275.00,42.00,15.00,3.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,828.00,,
Marlborough,4,2,872.00,554.00,91.00,18.00,3.00,0.00,0.00,0.00,0.00,34.00,0.00,37.00,1609.00,,
Marlborough,5,1,598.00,266.00,45.00,9.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,18.00,951.00,,
Marlborough,5,2,822.00,457.00,86.00,22.00,3.00,0.00,0.00,0.00,0.00,17.00,0.00,29.00,1436.00,,
Marlborough,6,1,646.00,318.00,43.00,26.00,2.00,3.00,0.00,0.00,0.00,19.00,0.00,10.00,1067.00,,
Marlborough,6,2,865.00,608.00,91.00,13.00,4.00,0.00,0.00,0.00,0.00,30.00,0.00,24.00,1635.00,,
Marlborough,7,1,701.00,406.00,48.00,11.00,7.00,0.00,0.00,0.00,0.00,13.00,0.00,20.00,1206.00,,
Marlborough,7,2,667.00,406.00,67.00,17.00,4.00,0.00,0.00,0.00,0.00,24.00,0.00,19.00,1204.00,,
Marshfield,-,1,1083.00,1070.00,89.00,33.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00,27.00,2345.00,,
Marshfield,-,2,1034.00,1083.00,107.00,25.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,35.00,2329.00,,
Marshfield,-,3,1036.00,957.00,94.00,32.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,31.00,2195.00,,
Marshfield,-,4,1041.00,936.00,75.00,18.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,25.00,2102.00,,
Marshfield,-,5,921.00,933.00,96.00,29.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,31.00,2041.00,,
Marshfield,-,6,1118.00,1145.00,123.00,27.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,40.00,2498.00,,
Marshfield,-,7,1110.00,1091.00,113.00,17.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,39.00,2410.00,,
Mashpee,-,1,1128.00,824.00,73.00,26.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,48.00,2100.00,,
Mashpee,-,2,804.00,720.00,61.00,23.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,28.00,1648.00,,
Mashpee,-,3,710.00,640.00,65.00,27.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,32.00,1482.00,,
Mashpee,-,4,890.00,674.00,70.00,19.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,10.00,1678.00,,
Mashpee,-,5,916.00,981.00,78.00,24.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,38.00,2076.00,,
Mattapoisett,-,1,2125.00,1820.00,163.00,52.00,7.00,0.00,0.00,0.00,0.00,63.00,0.00,84.00,4314.00,,
Maynard,-,1,982.00,446.00,74.00,26.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,22.00,1580.00,,
Maynard,-,2,981.00,354.00,65.00,20.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,14.00,1468.00,,
Maynard,-,3,981.00,434.00,94.00,16.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,15.00,1564.00,,
Maynard,-,4,916.00,437.00,70.00,15.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,10.00,1478.00,,
Medfield,-,1,1130.00,603.00,88.00,22.00,6.00,0.00,0.00,0.00,0.00,59.00,0.00,53.00,1961.00,,
Medfield,-,2,1109.00,597.00,113.00,15.00,15.00,0.00,0.00,0.00,0.00,39.00,0.00,62.00,1950.00,,
Medfield,-,3,1141.00,581.00,128.00,11.00,9.00,0.00,0.00,0.00,0.00,41.00,0.00,85.00,1996.00,,
Medfield,-,4,1029.00,619.00,98.00,13.00,7.00,0.00,0.00,0.00,0.00,60.00,0.00,66.00,1892.00,,
Medford,1,1,1221.00,499.00,57.00,11.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,20.00,1836.00,,
Medford,1,2,1319.00,513.00,65.00,21.00,0.00,0.00,0.00,0.00,0.00,49.00,0.00,15.00,1982.00,,
Medford,2,1,1198.00,626.00,59.00,25.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,28.00,1973.00,,
Medford,2,2,1187.00,738.00,67.00,18.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,25.00,2075.00,,
Medford,3,1,1376.00,670.00,60.00,26.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,33.00,2201.00,,
Medford,3,2,1339.00,725.00,73.00,24.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,26.00,2224.00,,
Medford,4,1,1013.00,167.00,30.00,23.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,8.00,1260.00,,
Medford,4,2,1483.00,441.00,84.00,34.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,30.00,2105.00,,
Medford,5,1,1447.00,350.00,66.00,30.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,19.00,1954.00,,
Medford,5,2,1246.00,294.00,30.00,25.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,16.00,1643.00,,
Medford,6,1,1793.00,344.00,54.00,31.00,0.00,0.00,0.00,0.00,0.00,58.00,0.00,18.00,2298.00,,
Medford,6,2,1378.00,533.00,50.00,20.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,28.00,2043.00,,
Medford,7,1,891.00,274.00,28.00,12.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,21.00,1238.00,,
Medford,7,2,1122.00,426.00,46.00,18.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,15.00,1656.00,,
Medford,8,1,1457.00,574.00,63.00,35.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,21.00,2178.00,,
Medford,8,2,1220.00,497.00,65.00,25.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,18.00,1862.00,,
Medway,-,1,918.00,755.00,87.00,17.00,0.00,0.00,0.00,0.00,0.00,52.00,0.00,20.00,1849.00,,
Medway,-,2,1030.00,707.00,128.00,21.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00,24.00,1973.00,,
Medway,-,3,1046.00,727.00,117.00,11.00,0.00,0.00,0.00,0.00,0.00,49.00,0.00,29.00,1979.00,,
Medway,-,4,1015.00,759.00,126.00,18.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,31.00,1999.00,,
Melrose,1,1,836.00,304.00,65.00,7.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,27.00,1256.00,,
Melrose,1,2,806.00,282.00,59.00,7.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,18.00,1206.00,,
Melrose,2,1,760.00,422.00,56.00,18.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,28.00,1315.00,,
Melrose,2,2,745.00,339.00,35.00,14.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,1173.00,,
Melrose,3,1,811.00,310.00,42.00,11.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,22.00,1217.00,,
Melrose,3,2,714.00,327.00,46.00,12.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,18.00,1139.00,,
Melrose,4,1,762.00,304.00,40.00,16.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,17.00,1157.00,,
Melrose,4,2,719.00,516.00,63.00,10.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,28.00,1362.00,,
Melrose,5,1,812.00,297.00,39.00,17.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,15.00,1206.00,,
Melrose,5,2,759.00,299.00,42.00,9.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,10.00,1138.00,,
Melrose,6,1,759.00,275.00,39.00,6.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,11.00,1109.00,,
Melrose,6,2,730.00,416.00,52.00,13.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,19.00,1251.00,,
Melrose,7,1,715.00,369.00,54.00,18.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,13.00,1201.00,,
Melrose,7,2,759.00,372.00,46.00,14.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,1231.00,,
Mendon,-,1,1530.00,1694.00,214.00,30.00,10.00,0.00,0.00,0.00,0.00,35.00,0.00,71.00,3584.00,,
Merrimac,-,1,923.00,770.00,113.00,20.00,1.00,0.00,0.00,0.00,0.00,37.00,0.00,30.00,1894.00,,
Merrimac,-,2,972.00,852.00,113.00,37.00,6.00,3.00,0.00,0.00,0.00,33.00,0.00,25.00,2041.00,,
Methuen,-,1,994.00,821.00,56.00,21.00,4.00,0.00,0.00,0.00,0.00,33.00,0.00,29.00,1958.00,,
Methuen,-,2,935.00,192.00,29.00,5.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,6.00,1181.00,,
Methuen,-,3,937.00,773.00,67.00,17.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,34.00,1833.00,,
Methuen,-,4,961.00,778.00,58.00,26.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,38.00,1874.00,,
Methuen,-,5,977.00,600.00,50.00,17.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,25.00,1688.00,,
Methuen,-,6,1041.00,670.00,67.00,21.00,2.00,0.00,0.00,0.00,0.00,12.00,0.00,46.00,1859.00,,
Methuen,-,7,1004.00,996.00,84.00,19.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,33.00,2154.00,,
Methuen,-,8,1001.00,1336.00,94.00,29.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,44.00,2531.00,,
Methuen,-,9,884.00,1086.00,55.00,29.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,26.00,2106.00,,
Methuen,-,10,1066.00,741.00,78.00,12.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,30.00,1946.00,,
Methuen,-,11,991.00,1241.00,91.00,28.00,1.00,0.00,0.00,0.00,0.00,30.00,0.00,52.00,2434.00,,
Methuen,-,12,871.00,1001.00,82.00,12.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,31.00,2020.00,,
Middleborough,-,1,1049.00,1417.00,108.00,24.00,1.00,0.00,0.00,0.00,0.00,41.00,0.00,52.00,2692.00,,
Middleborough,-,2,767.00,857.00,110.00,28.00,5.00,0.00,0.00,0.00,0.00,24.00,0.00,29.00,1820.00,,
Middleborough,-,3,860.00,1236.00,106.00,34.00,6.00,0.00,0.00,0.00,0.00,26.00,0.00,27.00,2295.00,,
Middleborough,-,4,692.00,818.00,109.00,32.00,10.00,0.00,0.00,0.00,0.00,25.00,0.00,22.00,1708.00,,
Middleborough,-,5,783.00,1243.00,130.00,26.00,2.00,0.00,0.00,0.00,0.00,12.00,0.00,51.00,2247.00,,
Middleborough,-,6,686.00,1012.00,113.00,20.00,6.00,0.00,0.00,0.00,0.00,20.00,0.00,36.00,1893.00,,
Middlefield,-,1,155.00,115.00,16.00,10.00,1.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,307.00,,
Middleton,-,1,1069.00,1315.00,97.00,19.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,49.00,2586.00,,
Middleton,-,2,1090.00,1348.00,95.00,14.00,0.00,0.00,0.00,0.00,0.00,51.00,0.00,27.00,2625.00,,
Milford,-,1,611.00,432.00,47.00,20.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,29.00,1160.00,,
Milford,-,2,908.00,600.00,76.00,25.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,29.00,1662.00,,
Milford,-,3,849.00,671.00,62.00,20.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,30.00,1646.00,,
Milford,-,4,778.00,465.00,61.00,21.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,18.00,1365.00,,
Milford,-,5,1131.00,887.00,87.00,18.00,0.00,0.00,0.00,0.00,0.00,46.00,0.00,38.00,2207.00,,
Milford,-,6,960.00,648.00,70.00,21.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,29.00,1754.00,,
Milford,-,7,1074.00,811.00,102.00,14.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,31.00,2068.00,,
Milford,-,8,1059.00,723.00,96.00,20.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,28.00,1964.00,,
Millbury,-,1,749.00,815.00,95.00,21.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,37.00,1738.00,,
Millbury,-,2,888.00,1042.00,89.00,19.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,32.00,2090.00,,
Millbury,-,3,782.00,832.00,114.00,28.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,26.00,1799.00,,
Millbury,-,4,743.00,756.00,96.00,15.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,27.00,1661.00,,
Millis,-,1,864.00,636.00,88.00,20.00,1.00,0.00,0.00,0.00,0.00,33.00,0.00,35.00,1677.00,,
Millis,-,2,882.00,615.00,115.00,16.00,4.00,0.00,0.00,0.00,0.00,31.00,0.00,23.00,1686.00,,
Millis,-,3,874.00,639.00,106.00,22.00,6.00,0.00,0.00,0.00,0.00,16.00,0.00,24.00,1687.00,,
Millville,-,1,624.00,874.00,103.00,28.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,38.00,1672.00,,
Milton,-,1,1303.00,211.00,47.00,20.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,10.00,1608.00,,
Milton,-,2,1376.00,235.00,64.00,13.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,33.00,1762.00,,
Milton,-,3,1230.00,446.00,86.00,10.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,26.00,1836.00,,
Milton,-,4,1224.00,349.00,46.00,24.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,27.00,1704.00,,
Milton,-,5,897.00,330.00,59.00,4.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,35.00,1355.00,,
Milton,-,6,1009.00,636.00,68.00,25.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,27.00,1803.00,,
Milton,-,7,907.00,556.00,76.00,19.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,32.00,1615.00,,
Milton,-,8,966.00,637.00,60.00,10.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00,29.00,1745.00,,
Milton,-,9,873.00,697.00,65.00,18.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,35.00,1722.00,,
Milton,-,10,967.00,189.00,24.00,6.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,11.00,1212.00,,
Monroe,-,1,25.00,26.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,59.00,,
Monson,-,A,625.00,784.00,76.00,28.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,21.00,1559.00,,
Monson,-,B,622.00,736.00,85.00,39.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,18.00,1531.00,,
Monson,-,C,675.00,739.00,84.00,41.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,23.00,1590.00,,
Montague,-,1,729.00,182.00,31.00,31.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,22.00,1000.00,,
Montague,-,2,418.00,206.00,50.00,56.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,11.00,748.00,,
Montague,-,3,411.00,218.00,38.00,12.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,19.00,712.00,,
Montague,-,4,490.00,208.00,37.00,24.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,22.00,787.00,,
Montague,-,5,388.00,91.00,27.00,27.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,553.00,,
Montague,-,6,422.00,190.00,30.00,31.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,6.00,691.00,,
Monterey,-,1,417.00,88.00,20.00,12.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,11.00,554.00,,
Montgomery,-,1,199.00,281.00,32.00,12.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,4.00,530.00,,
Mount Washington,-,1,76.00,19.00,5.00,4.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,107.00,,
Nahant,-,1,1347.00,864.00,87.00,23.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,29.00,2378.00,,
Nantucket,-,1,4146.00,1892.00,260.00,108.00,0.00,0.00,0.00,0.00,0.00,102.00,0.00,75.00,6583.00,,
Natick,-,1,974.00,260.00,61.00,20.00,6.00,1.00,0.00,0.00,0.00,24.00,0.00,38.00,1384.00,,
Natick,-,2,1459.00,525.00,92.00,26.00,7.00,0.00,0.00,0.00,0.00,41.00,0.00,25.00,2175.00,,
Natick,-,3,1324.00,556.00,100.00,12.00,9.00,0.00,0.00,0.00,0.00,22.00,0.00,27.00,2050.00,,
Natick,-,4,1229.00,441.00,92.00,27.00,5.00,0.00,0.00,0.00,0.00,45.00,0.00,13.00,1852.00,,
Natick,-,5,1258.00,581.00,87.00,19.00,8.00,0.00,0.00,0.00,0.00,33.00,0.00,32.00,2018.00,,
Natick,-,6,1246.00,532.00,59.00,24.00,7.00,0.00,0.00,0.00,0.00,40.00,0.00,26.00,1934.00,,
Natick,-,7,1478.00,457.00,63.00,23.00,4.00,0.00,0.00,0.00,0.00,43.00,0.00,25.00,2093.00,,
Natick,-,8,1407.00,497.00,107.00,32.00,12.00,0.00,0.00,0.00,0.00,38.00,0.00,20.00,2113.00,,
Natick,-,9,1403.00,446.00,84.00,21.00,6.00,0.00,0.00,0.00,0.00,50.00,0.00,25.00,2035.00,,
Natick,-,10,1642.00,575.00,108.00,18.00,9.00,0.00,0.00,0.00,0.00,56.00,0.00,35.00,2443.00,,
Needham,-,A,1086.00,443.00,44.00,14.00,4.00,0.00,0.00,0.00,0.00,40.00,0.00,25.00,1656.00,,
Needham,-,B,1224.00,462.00,85.00,12.00,6.00,0.00,0.00,0.00,0.00,31.00,0.00,31.00,1851.00,,
Needham,-,C,1281.00,369.00,83.00,15.00,2.00,0.00,0.00,0.00,0.00,49.00,0.00,26.00,1825.00,,
Needham,-,D,1268.00,415.00,59.00,17.00,0.00,0.00,0.00,0.00,0.00,52.00,0.00,25.00,1836.00,,
Needham,-,E,1277.00,420.00,110.00,14.00,7.00,0.00,0.00,0.00,0.00,40.00,0.00,27.00,1895.00,,
Needham,-,F,1312.00,376.00,67.00,23.00,4.00,0.00,0.00,0.00,0.00,33.00,0.00,27.00,1842.00,,
Needham,-,G,1336.00,369.00,86.00,11.00,5.00,0.00,0.00,0.00,0.00,59.00,0.00,37.00,1903.00,,
Needham,-,H,1285.00,445.00,68.00,17.00,3.00,0.00,0.00,0.00,0.00,40.00,0.00,25.00,1883.00,,
Needham,-,I,1396.00,312.00,71.00,12.00,3.00,0.00,0.00,0.00,0.00,50.00,0.00,34.00,1878.00,,
Needham,-,J,1332.00,408.00,73.00,15.00,4.00,0.00,0.00,0.00,0.00,38.00,0.00,33.00,1903.00,,
New Ashford,-,1,101.00,39.00,14.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,161.00,,
New Bedford,1,A,610.00,476.00,46.00,23.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,21.00,1196.00,,
New Bedford,1,B,624.00,493.00,30.00,10.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,23.00,1193.00,,
New Bedford,1,C,656.00,470.00,41.00,15.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,11.00,1209.00,,
