City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Johnson/ Weld,Stein/ Baraka,Mcmullin/ Johnson,Kotlikoff/ Leamer,Feegbeh/ O'Brien,Moorehead/ Lilly,Schoenke/ Mitchel,All Others,No Preference,Blanks,Total Votes Cast,,
Arlington,-,10,1129.00,192.00,30.00,23.00,2.00,0.00,0.00,0.00,0.00,31.00,0.00,17.00,1424.00,,
Arlington,-,11,1007.00,306.00,28.00,20.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,17.00,1408.00,,
Arlington,-,12,1122.00,229.00,38.00,20.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,19.00,1455.00,,
Arlington,-,13,846.00,375.00,49.00,8.00,1.00,0.00,0.00,0.00,0.00,16.00,0.00,31.00,1326.00,,
Arlington,-,14,930.00,201.00,28.00,16.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,38.00,1217.00,,
Arlington,-,15,1000.00,271.00,46.00,19.00,3.00,0.00,0.00,0.00,0.00,16.00,0.00,39.00,1394.00,,
Arlington,-,16,924.00,199.00,45.00,14.00,1.00,0.00,0.00,0.00,0.00,10.00,0.00,20.00,1213.00,,
Arlington,-,17,908.00,193.00,35.00,18.00,11.00,0.00,0.00,0.00,0.00,39.00,0.00,17.00,1221.00,,
Arlington,-,18,958.00,323.00,49.00,16.00,3.00,0.00,0.00,0.00,0.00,26.00,0.00,29.00,1404.00,,
Arlington,-,19,1003.00,268.00,34.00,16.00,2.00,0.00,0.00,0.00,0.00,26.00,0.00,7.00,1356.00,,
Arlington,-,20,1014.00,225.00,21.00,17.00,2.00,0.00,0.00,0.00,0.00,23.00,0.00,13.00,1315.00,,
Arlington,-,21,999.00,159.00,37.00,33.00,1.00,0.00,0.00,0.00,0.00,29.00,0.00,19.00,1277.00,,
Ashburnham,-,1,1439.00,1522.00,247.00,66.00,3.00,0.00,0.00,0.00,0.00,75.00,0.00,47.00,3399.00,,
Ashby,-,1,722.00,974.00,129.00,45.00,1.00,0.00,0.00,0.00,0.00,20.00,0.00,42.00,1933.00,,
Ashfield,-,1,836.00,184.00,52.00,44.00,2.00,0.00,0.00,12.00,0.00,2.00,0.00,23.00,1155.00,,
Ashland,-,1,1121.00,536.00,84.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,1847.00,,
Ashland,-,2,1166.00,588.00,95.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.00,1941.00,,
Ashland,-,3,1139.00,565.00,87.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,1870.00,,
Ashland,-,4,1147.00,576.00,91.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,1877.00,,
Ashland,-,5,1111.00,503.00,100.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,1791.00,,
Athol,-,1,733.00,856.00,126.00,42.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,32.00,1837.00,,
Athol,-,2,608.00,781.00,103.00,45.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00,25.00,1625.00,,
Athol,-,3,735.00,698.00,99.00,29.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,9.00,1594.00,,
Attleboro,1,A,761.00,761.00,78.00,23.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,1.00,1638.00,,
Attleboro,1,B,779.00,758.00,69.00,21.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,20.00,1666.00,,
Attleboro,2,A,894.00,774.00,98.00,18.00,0.00,0.00,0.00,0.00,0.00,47.00,0.00,23.00,1854.00,,
Attleboro,2,B,949.00,861.00,91.00,32.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,21.00,1988.00,,
