City/Town,Ward,Pct,Baker and Polito,Gonzalez and Palfrey,All Others,Blanks,Total Votes Cast
Barnstable,-,1,1595.00,513.00,0.00,61.00,2169.00
Barnstable,-,2,1435.00,413.00,5.00,55.00,1908.00
Barnstable,-,3,913.00,400.00,2.00,34.00,1349.00
Barnstable,-,4,1314.00,404.00,8.00,52.00,1778.00
Barnstable,-,5,1621.00,358.00,2.00,49.00,2030.00
Barnstable,-,6,1453.00,391.00,5.00,53.00,1902.00
Barnstable,-,7,1643.00,483.00,5.00,54.00,2185.00
Barnstable,-,8,806.00,380.00,2.00,31.00,1219.00
Barnstable,-,9,481.00,273.00,2.00,24.00,780.00
Barnstable,-,10,1263.00,365.00,3.00,47.00,1678.00
Barnstable,-,11,1555.00,436.00,3.00,72.00,2066.00
Barnstable,-,12,1433.00,414.00,6.00,54.00,1907.00
Barnstable,-,13,912.00,363.00,4.00,32.00,1311.00
Barre,-,1,851.00,320.00,6.00,29.00,1206.00
Barre,-,2,821.00,213.00,6.00,29.00,1069.00
Becket,-,1,425.00,356.00,3.00,21.00,805.00
Bedford,-,1,1262.00,581.00,7.00,41.00,1891.00
Bedford,-,2,1096.00,514.00,12.00,53.00,1675.00
Bedford,-,3,1163.00,562.00,4.00,36.00,1765.00
Bedford,-,4,1055.00,486.00,7.00,47.00,1595.00
Belchertown,-,A,1128.00,606.00,1.00,33.00,1768.00
Belchertown,-,B,1187.00,484.00,1.00,51.00,1723.00
Belchertown,-,C,1343.00,438.00,5.00,69.00,1855.00
Belchertown,-,D,1008.00,721.00,3.00,36.00,1768.00
Bellingham,-,1,1027.00,318.00,6.00,40.00,1391.00
Bellingham,-,2,1191.00,298.00,5.00,49.00,1543.00
Bellingham,-,3,1119.00,323.00,5.00,27.00,1474.00
Bellingham,-,4,997.00,236.00,15.00,28.00,1276.00
Bellingham,-,4A,136.00,27.00,0.00,4.00,167.00
Bellingham,-,5,1087.00,260.00,2.00,36.00,1385.00
Belmont,-,1,897.00,706.00,6.00,46.00,1655.00
Belmont,-,2,1129.00,561.00,4.00,40.00,1734.00
Belmont,-,3,921.00,612.00,6.00,39.00,1578.00
Belmont,-,4,725.00,639.00,1.00,31.00,1396.00
Belmont,-,5,817.00,685.00,1.00,49.00,1552.00
Belmont,-,6,875.00,764.00,7.00,34.00,1680.00
Belmont,-,7,766.00,794.00,2.00,46.00,1608.00
Belmont,-,8,1087.00,638.00,4.00,59.00,1788.00
Berkley,-,1,1183.00,357.00,13.00,64.00,1617.00
Berkley,-,2,959.00,276.00,1.00,37.00,1273.00
Berlin,-,1,1259.00,457.00,6.00,38.00,1760.00
Bernardston,-,1,687.00,347.00,2.00,16.00,1052.00
Beverly,1,1,1044.00,356.00,3.00,49.00,1452.00
Beverly,1,2,1195.00,397.00,2.00,55.00,1649.00
Beverly,2,1,835.00,608.00,1.00,46.00,1490.00
Beverly,2,2,988.00,659.00,1.00,52.00,1700.00
Beverly,3,1,764.00,454.00,2.00,25.00,1245.00
Beverly,3,2,976.00,415.00,0.00,43.00,1434.00
Beverly,4,1,735.00,294.00,1.00,36.00,1066.00
Beverly,4,2,1280.00,663.00,1.00,50.00,1994.00
Beverly,5,1,1179.00,385.00,1.00,52.00,1617.00
Beverly,5,2,1209.00,384.00,0.00,48.00,1641.00
Beverly,6,1,1303.00,458.00,2.00,42.00,1805.00
Beverly,6,2,1427.00,385.00,2.00,66.00,1880.00
Billerica,-,1,1189.00,419.00,10.00,56.00,1674.00
Billerica,-,2,1310.00,401.00,6.00,41.00,1758.00
Billerica,-,3,1187.00,409.00,9.00,46.00,1651.00
Billerica,-,4,1072.00,288.00,5.00,49.00,1414.00
Billerica,-,5,1376.00,322.00,16.00,91.00,1805.00
Billerica,-,6,1102.00,352.00,6.00,50.00,1510.00
Billerica,-,7,1109.00,414.00,9.00,53.00,1585.00
Billerica,-,8,1320.00,389.00,10.00,79.00,1798.00
Billerica,-,9,1187.00,349.00,10.00,73.00,1619.00
Billerica,-,10,1310.00,334.00,15.00,66.00,1725.00
Billerica,-,11,1148.00,335.00,5.00,47.00,1535.00
Blackstone,-,1,831.00,230.00,1.00,23.00,1085.00
Blackstone,-,2,988.00,268.00,2.00,30.00,1288.00
Blackstone,-,3,948.00,242.00,4.00,30.00,1224.00
Blandford,-,1,470.00,106.00,0.00,28.00,604.00
Bolton,-,1,2058.00,796.00,23.00,75.00,2952.00
Boston,1,1,430.00,421.00,1.00,16.00,868.00
Boston,1,2,248.00,324.00,0.00,9.00,581.00
Boston,1,3,605.00,715.00,4.00,25.00,1349.00
Boston,1,4,237.00,278.00,4.00,15.00,534.00
Boston,1,5,334.00,330.00,4.00,18.00,686.00
Boston,1,6,262.00,302.00,2.00,16.00,582.00
Boston,1,7,255.00,316.00,4.00,16.00,591.00
Boston,1,8,355.00,405.00,5.00,14.00,779.00
Boston,1,9,273.00,301.00,6.00,14.00,594.00
Boston,1,10,170.00,179.00,0.00,21.00,370.00
Boston,1,11,505.00,313.00,1.00,32.00,851.00
Boston,1,12,530.00,275.00,4.00,17.00,826.00
Boston,1,13,559.00,403.00,4.00,30.00,996.00
Boston,1,14,262.00,169.00,5.00,14.00,450.00
Boston,1,15,1.00,1.00,0.00,0.00,2.00
Boston,2,1,1021.00,384.00,8.00,45.00,1458.00
Boston,2,2,970.00,603.00,5.00,47.00,1625.00
Boston,2,3,729.00,298.00,0.00,20.00,1047.00
Boston,2,4,570.00,300.00,3.00,28.00,901.00
Boston,2,5,767.00,323.00,3.00,23.00,1116.00
Boston,2,6,871.00,374.00,3.00,34.00,1282.00
Boston,2,7,675.00,381.00,3.00,20.00,1079.00
Boston,3,1,1340.00,557.00,5.00,45.00,1947.00
Boston,3,2,618.00,334.00,3.00,16.00,971.00
Boston,3,3,709.00,384.00,4.00,16.00,1113.00
Boston,3,4,756.00,496.00,2.00,27.00,1281.00
Boston,3,5,1093.00,839.00,3.00,37.00,1972.00
Boston,3,6,1627.00,988.00,10.00,48.00,2673.00
Boston,3,7,1321.00,1032.00,3.00,26.00,2382.00
Boston,3,8,1533.00,1410.00,6.00,61.00,3010.00
Boston,4,1,694.00,546.00,1.00,26.00,1267.00
Boston,4,2,1062.00,726.00,2.00,38.00,1828.00
Boston,4,3,473.00,363.00,0.00,17.00,853.00
Boston,4,4,622.00,525.00,1.00,19.00,1167.00
Boston,4,5,386.00,445.00,0.00,21.00,852.00
Boston,4,6,308.00,391.00,2.00,20.00,721.00
Boston,4,7,272.00,397.00,1.00,9.00,679.00
Boston,4,8,265.00,453.00,3.00,16.00,737.00
Boston,4,9,126.00,259.00,0.00,4.00,389.00
Boston,4,10,109.00,218.00,1.00,6.00,334.00
Boston,5,1,1378.00,1055.00,2.00,33.00,2468.00
Boston,5,2,369.00,530.00,1.00,16.00,916.00
Boston,5,2A,246.00,313.00,2.00,7.00,568.00
Boston,5,3,715.00,408.00,5.00,21.00,1149.00
Boston,5,4,735.00,655.00,3.00,17.00,1410.00
Boston,5,5,348.00,133.00,1.00,9.00,491.00
Boston,5,6,768.00,390.00,2.00,13.00,1173.00
Boston,5,7,881.00,497.00,1.00,21.00,1400.00
Boston,5,8,751.00,494.00,0.00,21.00,1266.00
Boston,5,9,957.00,683.00,2.00,27.00,1669.00
Boston,5,10,430.00,494.00,1.00,23.00,948.00
Boston,5,11,523.00,251.00,7.00,15.00,796.00
Boston,6,1,1964.00,1284.00,12.00,45.00,3305.00
Boston,6,2,503.00,288.00,2.00,22.00,815.00
Boston,6,3,736.00,375.00,6.00,23.00,1140.00
Boston,6,4,766.00,345.00,6.00,24.00,1141.00
Boston,6,5,694.00,344.00,5.00,37.00,1080.00
Boston,6,6,673.00,224.00,6.00,47.00,950.00
Boston,6,7,795.00,256.00,3.00,23.00,1077.00
Boston,6,8,677.00,257.00,5.00,25.00,964.00
Boston,6,9,651.00,197.00,9.00,43.00,900.00
Boston,7,1,649.00,200.00,0.00,34.00,883.00
Boston,7,2,787.00,282.00,11.00,30.00,1110.00
Boston,7,3,875.00,347.00,3.00,34.00,1259.00
Boston,7,4,600.00,321.00,2.00,42.00,965.00
Boston,7,5,580.00,321.00,2.00,17.00,920.00
Boston,7,6,431.00,337.00,0.00,16.00,784.00
Boston,7,7,225.00,252.00,1.00,16.00,494.00
Boston,7,8,386.00,282.00,2.00,22.00,692.00
Boston,7,9,342.00,315.00,4.00,13.00,674.00
Boston,7,10,208.00,340.00,2.00,7.00,557.00
Boston,8,1,294.00,386.00,3.00,10.00,693.00
Boston,8,2,596.00,762.00,7.00,23.00,1388.00
Boston,8,3,185.00,341.00,6.00,17.00,549.00
Boston,8,4,106.00,204.00,2.00,7.00,319.00
Boston,8,5,231.00,389.00,0.00,12.00,632.00
Boston,8,6,95.00,126.00,0.00,7.00,228.00
Boston,8,7,148.00,268.00,0.00,5.00,421.00
Boston,9,1,503.00,527.00,1.00,25.00,1056.00
Boston,9,2,651.00,704.00,3.00,23.00,1381.00
Boston,9,3,496.00,971.00,5.00,24.00,1496.00
Boston,9,4,317.00,507.00,1.00,23.00,848.00
Boston,9,5,345.00,634.00,4.00,43.00,1026.00
Boston,10,1,206.00,270.00,1.00,15.00,492.00
Boston,10,2,160.00,268.00,2.00,10.00,440.00
Boston,10,3,154.00,306.00,0.00,20.00,480.00
Boston,10,4,376.00,482.00,0.00,27.00,885.00
Boston,10,5,190.00,417.00,3.00,17.00,627.00
Boston,10,6,182.00,473.00,0.00,14.00,669.00
Boston,10,7,251.00,633.00,2.00,17.00,903.00
Boston,10,8,364.00,786.00,3.00,18.00,1171.00
Boston,10,9,430.00,895.00,4.00,11.00,1340.00
Boston,11,1,174.00,340.00,4.00,7.00,525.00
Boston,11,2,243.00,505.00,0.00,150.00,898.00
Boston,11,3,184.00,418.00,0.00,18.00,620.00
Boston,11,4,330.00,759.00,5.00,29.00,1123.00
Boston,11,5,267.00,590.00,2.00,21.00,880.00
Boston,11,6,219.00,583.00,1.00,20.00,823.00
Boston,11,7,288.00,734.00,2.00,18.00,1042.00
Boston,11,8,342.00,925.00,1.00,19.00,1287.00
Boston,11,9,212.00,549.00,0.00,11.00,772.00
Boston,11,10,218.00,703.00,5.00,26.00,952.00
Boston,12,1,280.00,534.00,4.00,29.00,847.00
Boston,12,2,331.00,607.00,0.00,26.00,964.00
Boston,12,3,169.00,306.00,0.00,7.00,482.00
Boston,12,4,184.00,327.00,0.00,11.00,522.00
Boston,12,5,130.00,220.00,1.00,9.00,360.00
Boston,12,6,148.00,297.00,0.00,18.00,463.00
Boston,12,7,308.00,570.00,1.00,20.00,899.00
Boston,12,8,126.00,236.00,4.00,14.00,380.00
Boston,12,9,167.00,310.00,2.00,17.00,496.00
Boston,13,1,218.00,387.00,3.00,19.00,627.00
Boston,13,2,83.00,152.00,2.00,7.00,244.00
Boston,13,3,240.00,383.00,0.00,15.00,638.00
Boston,13,4,186.00,275.00,0.00,8.00,469.00
Boston,13,5,211.00,309.00,1.00,14.00,535.00
Boston,13,6,335.00,400.00,4.00,15.00,754.00
Boston,13,7,433.00,410.00,7.00,15.00,865.00
Boston,13,8,340.00,350.00,6.00,16.00,712.00
Boston,13,9,371.00,376.00,3.00,25.00,775.00
Boston,13,10,652.00,479.00,2.00,35.00,1168.00
Boston,14,1,342.00,616.00,4.00,28.00,990.00
Boston,14,2,367.00,688.00,0.00,32.00,1087.00
Boston,14,3,190.00,309.00,0.00,12.00,511.00
Boston,14,4,226.00,351.00,1.00,11.00,589.00
Boston,14,5,175.00,257.00,0.00,18.00,450.00
Boston,14,6,178.00,289.00,0.00,11.00,478.00
Boston,14,7,180.00,290.00,0.00,12.00,482.00
Boston,14,8,230.00,358.00,0.00,23.00,611.00
Boston,14,9,159.00,314.00,1.00,16.00,490.00
Boston,14,10,202.00,348.00,2.00,23.00,575.00
Boston,14,11,186.00,335.00,0.00,19.00,540.00
Boston,14,12,119.00,201.00,0.00,14.00,334.00
Boston,14,13,181.00,306.00,2.00,13.00,502.00
Boston,14,14,196.00,371.00,1.00,21.00,589.00
Boston,15,1,255.00,378.00,0.00,24.00,657.00
Boston,15,2,153.00,254.00,4.00,11.00,422.00
Boston,15,3,102.00,174.00,2.00,13.00,291.00
Boston,15,4,302.00,554.00,4.00,31.00,891.00
Boston,15,5,177.00,350.00,0.00,16.00,543.00
Boston,15,6,231.00,134.00,3.00,12.00,380.00
Boston,15,7,170.00,295.00,2.00,23.00,490.00
Boston,15,8,214.00,217.00,1.00,15.00,447.00
Boston,15,9,190.00,271.00,2.00,21.00,484.00
Boston,16,1,244.00,264.00,0.00,15.00,523.00
Boston,16,2,287.00,219.00,4.00,16.00,526.00
Boston,16,3,312.00,417.00,2.00,23.00,754.00
Boston,16,4,323.00,329.00,0.00,17.00,669.00
Boston,16,5,442.00,333.00,2.00,21.00,798.00
Boston,16,6,427.00,504.00,0.00,22.00,953.00
Boston,16,7,536.00,250.00,4.00,33.00,823.00
Boston,16,8,541.00,365.00,3.00,29.00,938.00
Boston,16,9,704.00,253.00,6.00,41.00,1004.00
Boston,16,10,509.00,244.00,4.00,23.00,780.00
Boston,16,11,572.00,350.00,2.00,35.00,959.00
Boston,16,12,663.00,163.00,2.00,35.00,863.00
Boston,17,1,220.00,287.00,1.00,13.00,521.00
Boston,17,2,156.00,255.00,2.00,10.00,423.00
Boston,17,3,345.00,557.00,2.00,25.00,929.00
Boston,17,4,503.00,543.00,3.00,25.00,1074.00
Boston,17,5,147.00,238.00,2.00,10.00,397.00
Boston,17,6,257.00,423.00,3.00,16.00,699.00
Boston,17,7,139.00,222.00,2.00,8.00,371.00
Boston,17,8,240.00,395.00,2.00,13.00,650.00
Boston,17,9,219.00,365.00,1.00,11.00,596.00
Boston,17,10,297.00,446.00,5.00,18.00,766.00
Boston,17,11,80.00,225.00,2.00,4.00,311.00
Boston,17,12,239.00,316.00,0.00,17.00,572.00
Boston,17,13,403.00,390.00,4.00,24.00,821.00
Boston,17,14,348.00,455.00,3.00,17.00,823.00
Boston,18,1,432.00,629.00,0.00,13.00,1074.00
Boston,18,2,298.00,423.00,2.00,16.00,739.00
Boston,18,3,350.00,508.00,0.00,15.00,873.00
Boston,18,4,363.00,474.00,1.00,18.00,856.00
Boston,18,5,396.00,526.00,3.00,33.00,958.00
Boston,18,6,499.00,686.00,0.00,27.00,1212.00
Boston,18,7,379.00,476.00,1.00,18.00,874.00
Boston,18,8,571.00,830.00,3.00,43.00,1447.00
Boston,18,9,429.00,529.00,2.00,20.00,980.00
Boston,18,10,590.00,825.00,4.00,31.00,1450.00
Boston,18,11,338.00,431.00,0.00,10.00,779.00
Boston,18,12,496.00,431.00,8.00,31.00,966.00
Boston,18,13,219.00,303.00,0.00,20.00,542.00
Boston,18,14,200.00,312.00,1.00,13.00,526.00
Boston,18,15,311.00,503.00,0.00,25.00,839.00
Boston,18,16,671.00,391.00,3.00,44.00,1109.00
Boston,18,17,446.00,444.00,7.00,15.00,912.00
Boston,18,18,540.00,575.00,1.00,46.00,1162.00
Boston,18,19,739.00,741.00,3.00,29.00,1512.00
Boston,18,20,802.00,511.00,3.00,47.00,1363.00
Boston,18,21,413.00,566.00,3.00,18.00,1000.00
Boston,18,22,615.00,474.00,2.00,34.00,1125.00
Boston,18,23,299.00,448.00,0.00,16.00,763.00
Boston,19,1,238.00,781.00,2.00,12.00,1033.00
Boston,19,2,623.00,533.00,3.00,26.00,1185.00
Boston,19,3,345.00,495.00,0.00,10.00,850.00
Boston,19,4,310.00,879.00,2.00,22.00,1213.00
Boston,19,5,304.00,631.00,4.00,20.00,959.00
Boston,19,6,414.00,895.00,1.00,18.00,1328.00
Boston,19,7,359.00,857.00,3.00,24.00,1243.00
Boston,19,8,240.00,413.00,1.00,11.00,665.00
Boston,19,9,198.00,450.00,1.00,5.00,654.00
Boston,19,10,441.00,657.00,2.00,24.00,1124.00
Boston,19,11,273.00,597.00,0.00,26.00,896.00
Boston,19,12,328.00,500.00,4.00,15.00,847.00
Boston,19,13,262.00,414.00,1.00,10.00,687.00
Boston,20,1,495.00,484.00,7.00,33.00,1019.00
Boston,20,2,450.00,580.00,0.00,15.00,1045.00
Boston,20,3,638.00,391.00,4.00,32.00,1065.00
Boston,20,4,349.00,580.00,1.00,27.00,957.00
Boston,20,5,642.00,339.00,6.00,34.00,1021.00
Boston,20,6,749.00,425.00,8.00,37.00,1219.00
Boston,20,7,433.00,342.00,2.00,23.00,800.00
Boston,20,8,391.00,448.00,2.00,9.00,850.00
Boston,20,9,410.00,451.00,7.00,27.00,895.00
Boston,20,10,844.00,415.00,3.00,50.00,1312.00
Boston,20,11,355.00,247.00,7.00,17.00,626.00
Boston,20,12,488.00,224.00,7.00,25.00,744.00
Boston,20,13,481.00,239.00,2.00,22.00,744.00
Boston,20,14,465.00,223.00,10.00,28.00,726.00
Boston,20,15,749.00,396.00,6.00,40.00,1191.00
Boston,20,16,800.00,403.00,4.00,54.00,1261.00
Boston,20,17,932.00,437.00,9.00,69.00,1447.00
Boston,20,18,398.00,290.00,3.00,27.00,718.00
Boston,20,19,486.00,213.00,4.00,36.00,739.00
Boston,20,20,722.00,468.00,10.00,33.00,1233.00
Boston,21,1,415.00,590.00,3.00,14.00,1022.00
Boston,21,2,98.00,207.00,0.00,6.00,311.00
Boston,21,3,206.00,446.00,2.00,12.00,666.00
Boston,21,4,149.00,440.00,1.00,11.00,601.00
Boston,21,5,309.00,627.00,0.00,11.00,947.00
Boston,21,6,268.00,376.00,4.00,11.00,659.00
Boston,21,7,243.00,520.00,4.00,15.00,782.00
Boston,21,8,311.00,730.00,1.00,11.00,1053.00
Boston,21,9,341.00,611.00,3.00,16.00,971.00
Boston,21,10,330.00,537.00,2.00,14.00,883.00
Boston,21,11,374.00,634.00,3.00,10.00,1021.00
Boston,21,12,375.00,567.00,6.00,20.00,968.00
Boston,21,13,621.00,550.00,3.00,22.00,1196.00
Boston,21,14,265.00,405.00,2.00,10.00,682.00
Boston,21,15,270.00,513.00,2.00,12.00,797.00
Boston,21,16,457.00,478.00,3.00,11.00,949.00
Boston,22,1,406.00,632.00,4.00,21.00,1063.00
Boston,22,2,485.00,846.00,4.00,29.00,1364.00
Boston,22,3,515.00,615.00,2.00,16.00,1148.00
Boston,22,4,398.00,435.00,2.00,15.00,850.00
Boston,22,5,268.00,343.00,0.00,18.00,629.00
Boston,22,6,261.00,418.00,2.00,20.00,701.00
Boston,22,7,455.00,556.00,2.00,22.00,1035.00
Boston,22,8,389.00,292.00,4.00,32.00,717.00
Boston,22,9,403.00,405.00,2.00,16.00,826.00
Boston,22,10,433.00,516.00,9.00,13.00,971.00
Boston,22,11,325.00,312.00,3.00,24.00,664.00
Boston,22,12,286.00,330.00,1.00,22.00,639.00
Boston,22,13,337.00,288.00,2.00,23.00,650.00
Bourne,-,1,1029.00,244.00,5.00,49.00,1327.00
Bourne,-,2,1226.00,337.00,6.00,53.00,1622.00
Bourne,-,3,679.00,175.00,1.00,24.00,879.00
Bourne,-,4,1240.00,317.00,0.00,56.00,1613.00
Bourne,-,5,1110.00,357.00,4.00,40.00,1511.00
Bourne,-,6,811.00,251.00,8.00,35.00,1105.00
Bourne,-,7,996.00,264.00,6.00,49.00,1315.00
Boxborough,-,1,1758.00,917.00,0.00,76.00,2751.00
Boxford,-,1,1095.00,278.00,8.00,36.00,1417.00
Boxford,-,2,1207.00,327.00,11.00,52.00,1597.00
Boxford,-,3,1132.00,264.00,8.00,52.00,1456.00
Boylston,-,1,1923.00,497.00,0.00,73.00,2493.00
Braintree,-,1A,1037.00,295.00,5.00,62.00,1399.00
Braintree,-,1B,907.00,352.00,4.00,51.00,1314.00
Braintree,-,2A,1144.00,373.00,7.00,55.00,1579.00
Braintree,-,2B,1098.00,319.00,6.00,68.00,1491.00
Braintree,-,3A,806.00,351.00,3.00,48.00,1208.00
Braintree,-,3B,943.00,341.00,7.00,39.00,1330.00
Braintree,-,4A,838.00,329.00,6.00,57.00,1230.00
Braintree,-,4B,825.00,358.00,7.00,45.00,1235.00
Braintree,-,5A,971.00,372.00,11.00,62.00,1416.00
Braintree,-,5B,1144.00,389.00,6.00,60.00,1599.00
Braintree,-,6A,1226.00,347.00,15.00,71.00,1659.00
Braintree,-,6B,1155.00,363.00,7.00,62.00,1587.00
Brewster,-,1,1376.00,625.00,5.00,47.00,2053.00
Brewster,-,2,1405.00,541.00,5.00,48.00,1999.00
Brewster,-,3,1386.00,516.00,5.00,44.00,1951.00
Bridgewater,-,1,1670.00,414.00,7.00,81.00,2172.00
Bridgewater,-,2,1351.00,385.00,14.00,72.00,1822.00
Bridgewater,-,3,1740.00,377.00,7.00,72.00,2196.00
Bridgewater,-,4,718.00,192.00,2.00,32.00,944.00
Bridgewater,-,5,393.00,165.00,2.00,31.00,591.00
Bridgewater,-,6,869.00,375.00,1.00,30.00,1275.00
Bridgewater,-,7,1151.00,387.00,7.00,71.00,1616.00
Brimfield,-,1,1369.00,383.00,10.00,50.00,1812.00
Brockton,1,A,327.00,408.00,0.00,14.00,749.00
Brockton,1,B,621.00,480.00,2.00,37.00,1140.00
Brockton,1,C,569.00,385.00,0.00,20.00,974.00
Brockton,1,D,975.00,465.00,2.00,47.00,1489.00
Brockton,2,A,158.00,392.00,0.00,26.00,576.00
