City/Town,Ward,Pct,Republican,Democratic,Falchuk/ Jennings,Lively/ Saunders,Mccormick/ Post,All Others,Blanks,Total Votes Cast
Amherst,-,6,173.00,872.00,38.00,10.00,3.00,2.00,12.00,1110.00
Amherst,-,7,160.00,755.00,42.00,8.00,3.00,3.00,25.00,996.00
Amherst,-,8,229.00,1078.00,43.00,6.00,10.00,2.00,24.00,1392.00
Amherst,-,9,92.00,695.00,40.00,9.00,6.00,1.00,19.00,862.00
Amherst,-,10,78.00,337.00,18.00,6.00,5.00,2.00,9.00,455.00
Andover,-,1,580.00,560.00,16.00,6.00,7.00,0.00,9.00,1178.00
Andover,-,2,933.00,603.00,33.00,6.00,6.00,0.00,10.00,1591.00
Andover,-,3,788.00,663.00,29.00,9.00,9.00,0.00,9.00,1507.00
Andover,-,4,901.00,474.00,30.00,8.00,4.00,1.00,11.00,1429.00
Andover,-,5,940.00,510.00,30.00,7.00,6.00,0.00,12.00,1505.00
Andover,-,6,924.00,453.00,32.00,9.00,9.00,0.00,12.00,1439.00
Andover,-,7,737.00,427.00,22.00,5.00,5.00,0.00,9.00,1205.00
Andover,-,7A,190.00,121.00,12.00,3.00,2.00,0.00,4.00,332.00
Andover,-,8,958.00,550.00,29.00,7.00,2.00,0.00,5.00,1551.00
Andover,-,9,903.00,507.00,37.00,1.00,7.00,1.00,9.00,1465.00
Andover,-,9A,8.00,1.00,0.00,0.00,0.00,0.00,0.00,9.00
Aquinnah,-,1,40.00,147.00,6.00,3.00,3.00,0.00,1.00,200.00
Arlington,-,1,172.00,474.00,34.00,5.00,3.00,0.00,12.00,700.00
Arlington,-,2,321.00,610.00,29.00,9.00,12.00,3.00,13.00,997.00
Arlington,-,3,206.00,627.00,26.00,0.00,3.00,2.00,13.00,877.00
Arlington,-,4,225.00,584.00,29.00,6.00,5.00,1.00,11.00,861.00
Arlington,-,5,257.00,507.00,29.00,6.00,6.00,1.00,9.00,815.00
Arlington,-,6,215.00,585.00,34.00,2.00,3.00,0.00,9.00,848.00
Arlington,-,7,225.00,527.00,18.00,2.00,7.00,0.00,9.00,788.00
Arlington,-,8,264.00,745.00,35.00,9.00,2.00,0.00,19.00,1074.00
Arlington,-,9,292.00,573.00,21.00,10.00,6.00,2.00,10.00,914.00
Arlington,-,10,284.00,714.00,30.00,2.00,5.00,0.00,9.00,1044.00
Arlington,-,11,383.00,619.00,32.00,3.00,6.00,1.00,8.00,1052.00
Arlington,-,12,392.00,770.00,28.00,5.00,2.00,0.00,7.00,1204.00
Arlington,-,13,525.00,458.00,31.00,4.00,6.00,1.00,12.00,1037.00
Arlington,-,14,266.00,596.00,22.00,5.00,2.00,0.00,3.00,894.00
Arlington,-,15,335.00,603.00,32.00,6.00,5.00,1.00,8.00,990.00
Arlington,-,16,337.00,600.00,18.00,5.00,6.00,0.00,13.00,979.00
Arlington,-,17,210.00,461.00,44.00,4.00,2.00,0.00,7.00,728.00
Arlington,-,18,467.00,525.00,33.00,2.00,4.00,0.00,12.00,1043.00
Arlington,-,19,340.00,669.00,31.00,8.00,6.00,0.00,13.00,1067.00
Arlington,-,20,273.00,609.00,29.00,5.00,6.00,1.00,13.00,936.00
Arlington,-,21,254.00,579.00,37.00,6.00,6.00,0.00,11.00,893.00
Ashburnham,-,1,1205.00,831.00,87.00,31.00,21.00,1.00,18.00,2194.00
Ashby,-,1,754.00,443.00,68.00,19.00,10.00,0.00,10.00,1304.00
Ashfield,-,1,200.00,587.00,47.00,2.00,6.00,1.00,24.00,867.00
Ashland,-,1,544.00,483.00,28.00,8.00,7.00,0.00,13.00,1083.00
Ashland,-,2,692.00,480.00,33.00,4.00,7.00,0.00,8.00,1224.00
Ashland,-,3,608.00,477.00,27.00,5.00,1.00,0.00,9.00,1127.00
Ashland,-,4,545.00,566.00,42.00,9.00,3.00,0.00,9.00,1174.00
Ashland,-,5,565.00,517.00,22.00,4.00,3.00,3.00,14.00,1128.00
Athol,-,1,693.00,430.00,64.00,22.00,9.00,0.00,27.00,1245.00
Athol,-,2,607.00,325.00,50.00,24.00,8.00,0.00,15.00,1029.00
Athol,-,3,584.00,411.00,47.00,24.00,12.00,0.00,21.00,1099.00
Attleboro,1,A,510.00,369.00,25.00,23.00,9.00,0.00,11.00,947.00
Attleboro,1,B,579.00,398.00,17.00,11.00,11.00,1.00,13.00,1030.00
Attleboro,2,A,669.00,480.00,22.00,14.00,8.00,1.00,13.00,1207.00
Attleboro,2,B,659.00,447.00,13.00,20.00,5.00,0.00,12.00,1156.00
Attleboro,3,A,542.00,434.00,37.00,9.00,12.00,0.00,7.00,1041.00
Attleboro,3,B,649.00,468.00,29.00,9.00,17.00,0.00,13.00,1185.00
Attleboro,4,A,400.00,334.00,29.00,6.00,11.00,0.00,0.00,780.00
Attleboro,4,B,819.00,540.00,31.00,11.00,13.00,0.00,24.00,1438.00
Attleboro,5,A,203.00,287.00,18.00,3.00,4.00,0.00,4.00,519.00
Attleboro,5,B,514.00,406.00,21.00,15.00,11.00,1.00,6.00,974.00
Attleboro,6,A,493.00,378.00,24.00,15.00,8.00,1.00,14.00,933.00
Attleboro,6,B,615.00,412.00,23.00,17.00,14.00,0.00,4.00,1085.00
Auburn,-,1,814.00,476.00,34.00,7.00,12.00,0.00,10.00,1353.00
Auburn,-,2,776.00,442.00,41.00,13.00,9.00,2.00,11.00,1294.00
Auburn,-,3,810.00,484.00,42.00,13.00,10.00,1.00,16.00,1376.00
Auburn,-,4,670.00,444.00,27.00,14.00,12.00,0.00,17.00,1184.00
Auburn,-,5,673.00,404.00,30.00,9.00,12.00,0.00,9.00,1137.00
Avon,-,1,909.00,712.00,39.00,11.00,19.00,0.00,10.00,1700.00
Ayer,-,1,658.00,483.00,62.00,13.00,11.00,1.00,10.00,1238.00
Ayer,-,2,675.00,487.00,44.00,19.00,12.00,0.00,15.00,1252.00
Barnstable,-,1,1082.00,738.00,36.00,9.00,21.00,2.00,10.00,1898.00
Barnstable,-,2,929.00,608.00,33.00,11.00,19.00,1.00,11.00,1612.00
Barnstable,-,3,560.00,503.00,35.00,8.00,5.00,1.00,9.00,1121.00
Barnstable,-,4,887.00,568.00,25.00,8.00,10.00,1.00,5.00,1504.00
Barnstable,-,5,1220.00,551.00,22.00,8.00,8.00,0.00,5.00,1814.00
Barnstable,-,6,864.00,640.00,56.00,13.00,11.00,0.00,12.00,1596.00
Barnstable,-,7,1072.00,683.00,45.00,8.00,11.00,0.00,9.00,1828.00
Barnstable,-,8,440.00,460.00,41.00,11.00,8.00,0.00,9.00,969.00
Barnstable,-,9,242.00,283.00,24.00,11.00,5.00,1.00,4.00,570.00
Barnstable,-,10,795.00,470.00,38.00,11.00,10.00,1.00,12.00,1337.00
Barnstable,-,11,1079.00,647.00,43.00,7.00,14.00,1.00,14.00,1805.00
Barnstable,-,12,917.00,564.00,45.00,11.00,14.00,0.00,11.00,1562.00
Barnstable,-,13,583.00,507.00,35.00,9.00,10.00,0.00,12.00,1156.00
Barre,-,1,587.00,380.00,34.00,9.00,7.00,2.00,16.00,1035.00
Barre,-,2,568.00,278.00,42.00,8.00,9.00,3.00,14.00,922.00
Becket,-,1,191.00,354.00,17.00,15.00,9.00,0.00,7.00,593.00
Bedford,-,1,750.00,712.00,41.00,8.00,11.00,0.00,14.00,1536.00
Bedford,-,2,672.00,583.00,40.00,16.00,6.00,0.00,11.00,1328.00
Bedford,-,3,700.00,732.00,30.00,6.00,7.00,0.00,12.00,1487.00
Bedford,-,4,642.00,606.00,39.00,5.00,11.00,0.00,10.00,1313.00
Belchertown,-,A,574.00,548.00,104.00,15.00,11.00,0.00,13.00,1265.00
Belchertown,-,B,655.00,491.00,91.00,22.00,15.00,0.00,20.00,1294.00
Belchertown,-,C,746.00,502.00,122.00,27.00,8.00,1.00,29.00,1435.00
Belchertown,-,D,465.00,668.00,102.00,23.00,9.00,1.00,13.00,1281.00
Bellingham,-,1,654.00,380.00,30.00,5.00,4.00,1.00,16.00,1090.00
Bellingham,-,2,726.00,491.00,42.00,7.00,21.00,1.00,20.00,1308.00
Bellingham,-,3,643.00,457.00,46.00,8.00,8.00,0.00,16.00,1178.00
Bellingham,-,4,576.00,328.00,34.00,7.00,8.00,0.00,5.00,958.00
Bellingham,-,4A,88.00,35.00,1.00,1.00,1.00,0.00,1.00,127.00
Bellingham,-,5,581.00,347.00,37.00,14.00,11.00,1.00,10.00,1001.00
Belmont,-,1,544.00,748.00,35.00,3.00,4.00,2.00,12.00,1348.00
Belmont,-,2,775.00,614.00,16.00,4.00,4.00,1.00,11.00,1425.00
Belmont,-,3,501.00,701.00,31.00,4.00,8.00,0.00,16.00,1261.00
Belmont,-,4,358.00,637.00,29.00,7.00,10.00,1.00,12.00,1054.00
Belmont,-,5,482.00,709.00,30.00,2.00,4.00,2.00,8.00,1237.00
Belmont,-,6,491.00,839.00,29.00,5.00,4.00,2.00,10.00,1380.00
Belmont,-,7,440.00,694.00,23.00,7.00,10.00,2.00,13.00,1189.00
Belmont,-,8,712.00,681.00,31.00,5.00,5.00,1.00,16.00,1451.00
Berkley,-,1,695.00,365.00,37.00,18.00,12.00,0.00,20.00,1147.00
Berkley,-,2,569.00,355.00,30.00,14.00,9.00,0.00,9.00,986.00
Berlin,-,1,758.00,548.00,51.00,20.00,15.00,0.00,19.00,1411.00
Bernardston,-,1,312.00,391.00,76.00,13.00,3.00,1.00,12.00,808.00
Beverly,1,1,601.00,468.00,36.00,6.00,9.00,0.00,14.00,1134.00
Beverly,1,2,680.00,596.00,52.00,14.00,12.00,0.00,22.00,1376.00
Beverly,2,1,395.00,491.00,43.00,21.00,4.00,0.00,17.00,971.00
Beverly,2,2,521.00,601.00,49.00,16.00,12.00,1.00,17.00,1217.00
Beverly,3,1,342.00,384.00,23.00,7.00,7.00,1.00,14.00,778.00
Beverly,3,2,553.00,511.00,38.00,16.00,6.00,0.00,14.00,1138.00
Beverly,4,1,472.00,361.00,13.00,6.00,6.00,0.00,8.00,866.00
Beverly,4,2,721.00,828.00,44.00,13.00,9.00,1.00,19.00,1635.00
Beverly,5,1,718.00,556.00,28.00,10.00,6.00,0.00,22.00,1340.00
Beverly,5,2,713.00,533.00,28.00,9.00,5.00,1.00,22.00,1311.00
Beverly,6,1,843.00,571.00,42.00,7.00,3.00,0.00,12.00,1478.00
Beverly,6,2,979.00,494.00,35.00,9.00,9.00,0.00,24.00,1550.00
Billerica,-,1,665.00,514.00,53.00,16.00,17.00,0.00,16.00,1281.00
Billerica,-,2,748.00,538.00,52.00,15.00,17.00,0.00,10.00,1380.00
Billerica,-,3,735.00,531.00,30.00,8.00,11.00,1.00,8.00,1324.00
Billerica,-,4,653.00,413.00,36.00,15.00,5.00,0.00,11.00,1133.00
Billerica,-,5,912.00,509.00,50.00,8.00,14.00,0.00,13.00,1506.00
Billerica,-,6,663.00,381.00,44.00,8.00,13.00,2.00,9.00,1120.00
Billerica,-,7,695.00,435.00,34.00,13.00,9.00,1.00,11.00,1198.00
Billerica,-,8,870.00,515.00,33.00,10.00,11.00,0.00,13.00,1452.00
Billerica,-,9,781.00,409.00,40.00,17.00,13.00,0.00,13.00,1273.00
Billerica,-,10,820.00,474.00,47.00,8.00,12.00,0.00,16.00,1377.00
Billerica,-,11,706.00,402.00,43.00,14.00,8.00,3.00,14.00,1190.00
Blackstone,-,1,499.00,317.00,33.00,10.00,16.00,0.00,17.00,892.00
Blackstone,-,2,567.00,374.00,42.00,15.00,8.00,0.00,10.00,1016.00
Blackstone,-,3,621.00,320.00,33.00,10.00,12.00,0.00,9.00,1005.00
Blandford,-,1,293.00,152.00,51.00,10.00,4.00,0.00,5.00,515.00
Bolton,-,1,1278.00,877.00,82.00,22.00,15.00,2.00,18.00,2294.00
Boston,1,1,192.00,357.00,24.00,0.00,7.00,2.00,13.00,595.00
Boston,1,2,126.00,225.00,18.00,4.00,2.00,0.00,15.00,390.00
Boston,1,3,213.00,553.00,30.00,5.00,5.00,4.00,25.00,835.00
Boston,1,4,84.00,159.00,14.00,2.00,7.00,1.00,9.00,276.00
Boston,1,5,150.00,250.00,11.00,2.00,4.00,3.00,14.00,434.00
Boston,1,6,113.00,220.00,17.00,5.00,3.00,2.00,8.00,368.00
Boston,1,7,125.00,253.00,21.00,4.00,9.00,2.00,12.00,426.00
Boston,1,8,198.00,348.00,17.00,0.00,5.00,0.00,26.00,594.00
Boston,1,9,114.00,234.00,23.00,0.00,4.00,1.00,10.00,386.00
Boston,1,10,75.00,155.00,10.00,3.00,3.00,0.00,7.00,253.00
Boston,1,11,324.00,323.00,24.00,7.00,8.00,3.00,11.00,700.00
Boston,1,12,366.00,275.00,23.00,6.00,5.00,0.00,12.00,687.00
Boston,1,13,345.00,412.00,18.00,7.00,6.00,2.00,13.00,803.00
Boston,1,14,195.00,195.00,8.00,1.00,4.00,0.00,9.00,412.00
Boston,1,15,0.00,3.00,0.00,0.00,0.00,0.00,0.00,3.00
Boston,2,1,558.00,530.00,26.00,3.00,6.00,1.00,14.00,1138.00
Boston,2,2,499.00,616.00,24.00,7.00,4.00,2.00,18.00,1170.00
Boston,2,3,457.00,420.00,14.00,1.00,3.00,1.00,17.00,913.00
Boston,2,4,292.00,377.00,15.00,0.00,3.00,0.00,12.00,699.00
Boston,2,5,449.00,400.00,16.00,2.00,3.00,1.00,8.00,879.00
Boston,2,6,513.00,519.00,27.00,2.00,10.00,0.00,17.00,1088.00
Boston,2,7,363.00,371.00,13.00,1.00,4.00,0.00,5.00,757.00
Boston,3,1,822.00,666.00,38.00,5.00,10.00,1.00,21.00,1563.00
Boston,3,2,375.00,290.00,24.00,1.00,5.00,1.00,6.00,702.00
Boston,3,3,290.00,256.00,14.00,1.00,4.00,0.00,10.00,575.00
Boston,3,4,349.00,323.00,23.00,0.00,2.00,2.00,11.00,710.00
Boston,3,5,493.00,655.00,35.00,4.00,7.00,2.00,9.00,1205.00
Boston,3,6,723.00,710.00,49.00,5.00,10.00,2.00,9.00,1508.00
Boston,3,7,533.00,1036.00,46.00,1.00,8.00,4.00,7.00,1635.00
Boston,3,8,596.00,873.00,28.00,3.00,5.00,0.00,24.00,1529.00
Boston,4,1,335.00,628.00,23.00,2.00,5.00,0.00,4.00,997.00
Boston,4,2,527.00,686.00,29.00,3.00,4.00,0.00,10.00,1259.00
Boston,4,3,211.00,410.00,22.00,2.00,5.00,1.00,10.00,661.00
Boston,4,4,267.00,559.00,19.00,2.00,2.00,3.00,8.00,860.00
Boston,4,5,191.00,420.00,20.00,5.00,2.00,1.00,8.00,647.00
Boston,4,6,137.00,290.00,24.00,3.00,2.00,2.00,10.00,468.00
Boston,4,7,112.00,305.00,16.00,2.00,1.00,0.00,5.00,441.00
Boston,4,8,102.00,282.00,25.00,2.00,2.00,0.00,9.00,422.00
Boston,4,9,31.00,176.00,14.00,0.00,0.00,1.00,10.00,232.00
Boston,4,10,22.00,100.00,6.00,0.00,1.00,0.00,1.00,130.00
Boston,5,1,591.00,1115.00,38.00,3.00,2.00,1.00,13.00,1763.00
Boston,5,2,105.00,261.00,15.00,1.00,0.00,1.00,7.00,390.00
Boston,5,2A,95.00,188.00,11.00,1.00,2.00,0.00,6.00,303.00
Boston,5,3,455.00,436.00,19.00,1.00,2.00,3.00,4.00,920.00
Boston,5,4,371.00,500.00,18.00,3.00,5.00,2.00,6.00,905.00
Boston,5,5,185.00,160.00,11.00,0.00,1.00,0.00,3.00,360.00
Boston,5,6,467.00,340.00,15.00,1.00,4.00,3.00,4.00,834.00
Boston,5,7,545.00,470.00,28.00,1.00,11.00,1.00,4.00,1060.00
Boston,5,8,412.00,397.00,15.00,0.00,4.00,2.00,6.00,836.00
Boston,5,9,445.00,552.00,25.00,5.00,6.00,0.00,2.00,1035.00
Boston,5,10,193.00,359.00,20.00,10.00,4.00,0.00,10.00,596.00
Boston,5,11,281.00,304.00,8.00,1.00,8.00,0.00,2.00,604.00
Boston,6,1,539.00,816.00,42.00,5.00,4.00,2.00,7.00,1415.00
Boston,6,2,233.00,237.00,13.00,0.00,4.00,1.00,8.00,496.00
Boston,6,3,337.00,295.00,24.00,1.00,5.00,0.00,6.00,668.00
Boston,6,4,415.00,280.00,13.00,3.00,2.00,0.00,10.00,723.00
Boston,6,5,387.00,304.00,14.00,3.00,5.00,1.00,6.00,720.00
Boston,6,6,460.00,276.00,15.00,6.00,9.00,0.00,17.00,783.00
Boston,6,7,409.00,265.00,18.00,1.00,3.00,0.00,10.00,706.00
Boston,6,8,415.00,259.00,13.00,3.00,3.00,1.00,9.00,703.00
Boston,6,9,433.00,266.00,8.00,2.00,3.00,1.00,13.00,726.00
Boston,7,1,391.00,257.00,15.00,2.00,3.00,0.00,3.00,671.00
Boston,7,2,459.00,276.00,30.00,2.00,3.00,1.00,8.00,779.00
Boston,7,3,511.00,348.00,26.00,3.00,10.00,1.00,12.00,911.00
Boston,7,4,370.00,267.00,22.00,5.00,2.00,1.00,12.00,679.00
Boston,7,5,250.00,232.00,15.00,3.00,2.00,0.00,7.00,509.00
Boston,7,6,150.00,274.00,14.00,3.00,2.00,0.00,9.00,452.00
Boston,7,7,79.00,322.00,10.00,5.00,5.00,0.00,5.00,426.00
Boston,7,8,166.00,255.00,25.00,3.00,5.00,0.00,9.00,463.00
Boston,7,9,160.00,272.00,15.00,4.00,2.00,0.00,3.00,456.00
Boston,7,10,61.00,342.00,6.00,1.00,2.00,0.00,6.00,418.00
Boston,8,1,68.00,334.00,8.00,0.00,0.00,0.00,5.00,415.00
Boston,8,2,195.00,595.00,9.00,0.00,1.00,0.00,7.00,807.00
Boston,8,3,27.00,338.00,9.00,2.00,1.00,2.00,5.00,384.00
Boston,8,4,13.00,194.00,4.00,1.00,2.00,0.00,6.00,220.00
Boston,8,5,37.00,407.00,5.00,6.00,4.00,4.00,13.00,476.00
Boston,8,6,24.00,126.00,2.00,0.00,1.00,1.00,9.00,163.00
Boston,8,7,37.00,289.00,10.00,3.00,1.00,0.00,7.00,347.00
Boston,9,1,127.00,544.00,16.00,4.00,2.00,0.00,13.00,706.00
Boston,9,2,218.00,612.00,18.00,4.00,8.00,1.00,9.00,870.00
Boston,9,3,112.00,854.00,32.00,3.00,7.00,1.00,17.00,1026.00
Boston,9,4,61.00,510.00,8.00,4.00,4.00,2.00,9.00,598.00
Boston,9,5,61.00,696.00,17.00,5.00,2.00,0.00,8.00,789.00
Boston,10,1,54.00,277.00,9.00,1.00,2.00,0.00,7.00,350.00
Boston,10,2,53.00,245.00,11.00,3.00,1.00,2.00,2.00,317.00
Boston,10,3,52.00,233.00,10.00,0.00,4.00,0.00,4.00,303.00
Boston,10,4,140.00,402.00,19.00,6.00,5.00,1.00,15.00,588.00
Boston,10,5,70.00,291.00,26.00,2.00,3.00,0.00,5.00,397.00
Boston,10,6,56.00,330.00,15.00,2.00,3.00,2.00,4.00,412.00
Boston,10,7,49.00,500.00,12.00,3.00,4.00,1.00,13.00,582.00
Boston,10,8,125.00,535.00,34.00,4.00,6.00,0.00,18.00,722.00
Boston,10,9,153.00,722.00,32.00,4.00,2.00,1.00,13.00,927.00
Boston,11,1,35.00,310.00,21.00,2.00,2.00,0.00,8.00,378.00
Boston,11,2,53.00,508.00,14.00,1.00,1.00,1.00,10.00,588.00
Boston,11,3,37.00,399.00,6.00,3.00,2.00,2.00,6.00,455.00
Boston,11,4,69.00,626.00,28.00,9.00,5.00,1.00,18.00,756.00
Boston,11,5,58.00,574.00,11.00,0.00,2.00,0.00,10.00,655.00
Boston,11,6,64.00,480.00,27.00,2.00,5.00,1.00,4.00,583.00
Boston,11,7,84.00,644.00,39.00,3.00,1.00,2.00,9.00,782.00
Boston,11,8,95.00,601.00,36.00,6.00,3.00,1.00,14.00,756.00
Boston,11,9,85.00,465.00,15.00,1.00,1.00,3.00,10.00,580.00
Boston,11,10,69.00,544.00,28.00,2.00,3.00,1.00,3.00,650.00
Boston,12,1,38.00,529.00,20.00,3.00,4.00,1.00,20.00,615.00
Boston,12,2,50.00,701.00,13.00,2.00,2.00,0.00,10.00,778.00
Boston,12,3,41.00,337.00,15.00,5.00,1.00,3.00,2.00,404.00
Boston,12,4,19.00,333.00,7.00,1.00,3.00,0.00,9.00,372.00
Boston,12,5,9.00,320.00,5.00,2.00,0.00,1.00,6.00,343.00
Boston,12,6,22.00,290.00,6.00,1.00,0.00,1.00,5.00,325.00
Boston,12,7,43.00,785.00,12.00,1.00,4.00,1.00,16.00,862.00
Boston,12,8,15.00,219.00,2.00,2.00,2.00,0.00,4.00,244.00
Boston,12,9,28.00,338.00,14.00,2.00,2.00,1.00,6.00,391.00
Boston,13,1,42.00,436.00,9.00,0.00,2.00,1.00,16.00,506.00
Boston,13,2,17.00,172.00,5.00,4.00,1.00,0.00,7.00,206.00
Boston,13,3,68.00,291.00,11.00,4.00,6.00,0.00,16.00,396.00
Boston,13,4,41.00,296.00,9.00,1.00,1.00,2.00,6.00,356.00
Boston,13,5,48.00,281.00,12.00,2.00,4.00,0.00,9.00,356.00
Boston,13,6,127.00,400.00,10.00,6.00,7.00,1.00,12.00,563.00
Boston,13,7,191.00,342.00,13.00,2.00,8.00,1.00,13.00,570.00
Boston,13,8,147.00,306.00,8.00,4.00,1.00,1.00,8.00,475.00
Boston,13,9,145.00,399.00,16.00,2.00,3.00,0.00,12.00,577.00
Boston,13,10,361.00,553.00,37.00,5.00,8.00,3.00,11.00,978.00
Boston,14,1,47.00,675.00,14.00,2.00,2.00,1.00,7.00,748.00
Boston,14,2,53.00,752.00,16.00,3.00,2.00,0.00,11.00,837.00
Boston,14,3,16.00,383.00,6.00,1.00,4.00,0.00,7.00,417.00
Boston,14,4,28.00,436.00,7.00,1.00,1.00,0.00,4.00,477.00
Boston,14,5,21.00,339.00,4.00,2.00,0.00,0.00,6.00,372.00
Boston,14,6,30.00,330.00,6.00,6.00,1.00,1.00,15.00,389.00
Boston,14,7,34.00,327.00,6.00,4.00,1.00,1.00,7.00,380.00
Boston,14,8,37.00,434.00,5.00,2.00,1.00,0.00,9.00,488.00
Boston,14,9,27.00,381.00,5.00,0.00,2.00,1.00,9.00,425.00
Boston,14,10,37.00,404.00,12.00,4.00,0.00,0.00,14.00,471.00
Boston,14,11,17.00,316.00,5.00,0.00,2.00,1.00,1.00,342.00
Boston,14,12,15.00,258.00,9.00,5.00,1.00,0.00,9.00,297.00
Boston,14,13,21.00,374.00,11.00,1.00,0.00,0.00,8.00,415.00
Boston,14,14,28.00,407.00,15.00,1.00,1.00,1.00,11.00,464.00
Boston,15,1,44.00,411.00,6.00,4.00,2.00,0.00,13.00,480.00
Boston,15,2,19.00,326.00,2.00,3.00,1.00,0.00,7.00,358.00
Boston,15,3,23.00,187.00,5.00,2.00,1.00,0.00,6.00,224.00
Boston,15,4,105.00,524.00,10.00,3.00,4.00,0.00,23.00,669.00
Boston,15,5,34.00,352.00,4.00,5.00,0.00,0.00,5.00,400.00
Boston,15,6,118.00,174.00,10.00,1.00,1.00,0.00,12.00,316.00
Boston,15,7,26.00,302.00,11.00,4.00,2.00,1.00,9.00,355.00
Boston,15,8,84.00,236.00,11.00,2.00,6.00,0.00,9.00,348.00
Boston,15,9,96.00,296.00,10.00,5.00,3.00,1.00,14.00,425.00
Boston,16,1,117.00,272.00,18.00,1.00,2.00,0.00,4.00,414.00
Boston,16,2,176.00,200.00,12.00,1.00,3.00,1.00,9.00,402.00
Boston,16,3,124.00,426.00,15.00,1.00,4.00,0.00,10.00,580.00
Boston,16,4,133.00,374.00,11.00,1.00,2.00,0.00,3.00,524.00
Boston,16,5,211.00,363.00,17.00,1.00,5.00,0.00,8.00,605.00
Boston,16,6,175.00,532.00,27.00,1.00,5.00,0.00,15.00,755.00
Boston,16,7,323.00,370.00,10.00,5.00,6.00,2.00,10.00,726.00
Boston,16,8,281.00,407.00,21.00,5.00,1.00,4.00,8.00,727.00
Boston,16,9,469.00,356.00,19.00,2.00,3.00,0.00,18.00,867.00
Boston,16,10,302.00,348.00,17.00,4.00,3.00,0.00,9.00,683.00
Boston,16,11,316.00,428.00,34.00,3.00,1.00,0.00,14.00,796.00
Boston,16,12,438.00,355.00,19.00,0.00,4.00,2.00,12.00,830.00
Boston,17,1,22.00,358.00,10.00,0.00,1.00,0.00,9.00,400.00
Boston,17,2,36.00,265.00,5.00,3.00,3.00,2.00,6.00,320.00
Boston,17,3,88.00,607.00,13.00,5.00,2.00,0.00,7.00,722.00
