Unnamed: 0,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
37783,2020-02-12 17:20:04.090652+00:00,b'\x8d\x9aLe',78.23789767711155,17.466,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
38802,2020-02-13 01:19:23.772150+00:00,b'\xadLy\xea',64.85002362251528,16.866,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
39129,2020-02-13 01:20:06.927298+00:00,b'\xadLy\xea',49.699341314108985,14.176,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
39183,2020-02-13 01:15:06.263028+00:00,b'\xadLy\xea',26.72878338936312,44.468,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
39262,2020-02-13 01:18:00.663543+00:00,b'\xadLy\xea',2.2656274446352707,14.653,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
41288,2020-02-16 13:04:08.388053+00:00,b'\xadL(I',59.0286974285896,8.219,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
44833,2020-02-20 01:06:36.048656+00:00,b'G\xae\xd1z',87.15791452540736,16.958,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
49935,2020-02-26 17:14:57.249350+00:00,b'G\xaebr',142.187978934848,14.005,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
50123,2020-02-26 17:14:28.606007+00:00,b'G\xaebr',127.92145433858433,14.392,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
52233,2020-02-29 17:18:35.141473+00:00,b'G\xae\xd1#',45.04784082234585,11.024,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
