City/Town,Ward,Pct,Ayanna S. Pressley,Michael E. Capuano,All Others,Blanks,Total Votes Cast,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage
Boston,4,7,128,104,0,5,237,4109,2808,291,10,745,2,114,139,4109,2631,276,329,6,742,2,12,111,7.082015089,0.2433682161,18.1309321,0.04867364322,2.774397664,3.382818204,8.00681431,68.33779508
Boston,4,8,126,99,0,14,239,4521,3301,284,8,701,2,111,114,4521,3106,266,331,6,696,1,20,95,6.281796063,0.1769520018,15.50541916,0.04423800044,2.455209025,2.521566025,7.321389073,73.01481973
Boston,4,9,67,28,1,1,97,4347,3085,411,13,450,3,223,162,4347,2822,368,573,6,447,3,9,119,9.454796411,0.2990568208,10.35196687,0.06901311249,5.129974695,3.726708075,13.18150449,70.96848401
Boston,4,10,56,17,0,1,74,5545,4247,359,6,601,5,155,172,5545,4098,328,350,3,592,4,19,151,6.474301172,0.1082055906,10.83859333,0.09017132552,2.795311091,3.101893598,6.311992786,76.5915239
Boston,5,1,601,409,2,39,"1,051",6467,4012,300,8,1921,1,103,122,6467,3858,277,288,7,1920,1,18,98,4.638936137,0.1237049637,29.7046544,0.01546312046,1.592701407,1.886500696,4.453378692,62.03803928
Boston,5,2,297,191,0,14,502,4207,3131,194,8,606,2,130,136,4207,2904,178,401,5,601,2,11,105,4.611362016,0.1901592584,14.40456382,0.04753981459,3.090087949,3.232707392,9.531732826,74.42357975
Boston,5,6,150,168,0,8,326,2212,1965,77,3,114,0,21,32,2212,1896,65,104,3,114,0,4,26,3.481012658,0.1356238698,5.153707052,0,0.9493670886,1.446654611,4.701627486,88.83363472
Boston,5,7,182,211,1,7,401,2626,2323,54,2,175,1,26,45,2626,2231,50,126,2,175,1,3,38,2.056359482,0.0761614623,6.664127951,0.03808073115,0.9900990099,1.713632902,4.798172125,88.46153846
Boston,5,8,197,184,0,7,388,2585,2200,65,1,214,0,34,71,2585,2108,63,125,1,212,0,15,61,2.51450677,0.03868471954,8.278529981,0,1.315280464,2.746615087,4.835589942,85.10638298
Boston,5,9,227,209,0,7,443,4112,3372,89,3,513,0,53,82,4112,3174,84,262,3,506,0,13,70,2.164396887,0.07295719844,12.47568093,0,1.288910506,1.994163424,6.371595331,82.00389105
Boston,5,10,133,117,0,11,261,6184,4078,207,15,1529,0,110,245,6184,3749,197,478,12,1517,0,21,210,3.347347995,0.2425614489,24.72509702,0,1.778783959,3.961836999,7.729624838,65.94437257
Boston,7,10,170,80,1,58,309,1847,325,584,6,47,2,686,197,1847,206,540,377,3,46,1,504,170,31.61884136,0.3248511099,2.544667028,0.1082837033,37.14131023,10.66594478,20.41147807,17.59610179
Boston,8,1,184,115,1,18,318,1484,598,376,3,176,4,265,62,1484,436,334,489,3,176,4,13,29,25.33692722,0.2021563342,11.85983827,0.269541779,17.85714286,4.177897574,32.95148248,40.29649596
Boston,8,2,295,196,2,18,511,4588,2484,1212,19,598,1,189,85,4588,1889,1174,819,14,597,1,33,61,26.41673932,0.4141238012,13.03400174,0.02179598954,4.119442023,1.852659111,17.85091543,54.14123801
Boston,8,3,156,55,0,10,221,1269,266,715,10,52,0,169,57,1269,180,658,325,6,51,0,21,28,56.34357762,0.7880220646,4.097714736,0,13.31757289,4.491725768,25.6107171,20.96138692
Boston,8,4,119,25,0,9,153,664,75,392,5,11,0,142,39,664,21,352,239,5,11,0,19,17,59.03614458,0.7530120482,1.656626506,0,21.38554217,5.873493976,35.9939759,11.29518072
Boston,8,5,203,87,3,68,361,1638,124,659,8,40,4,613,190,1638,59,610,290,4,38,3,477,157,40.23199023,0.4884004884,2.442002442,0.2442002442,37.42368742,11.5995116,17.7045177,7.57020757
Boston,8,6,70,30,0,27,127,681,144,214,0,10,0,256,57,681,105,186,115,0,10,0,215,50,31.42437592,0,1.468428781,0,37.5917768,8.370044053,16.88693098,21.14537445
Boston,8,7,124,39,0,8,171,1084,183,635,11,10,0,156,89,1084,71,580,326,5,10,0,38,54,58.57933579,1.014760148,0.9225092251,0,14.39114391,8.210332103,30.07380074,16.88191882
Boston,9,1,286,175,1,44,506,2092,1030,302,11,436,1,248,64,2092,748,247,633,3,435,0,4,22,14.43594646,0.5258126195,20.84130019,0.04780114723,11.85468451,3.059273423,30.2581262,49.23518164
Boston,9,2,353,185,0,28,566,2267,1548,353,4,209,0,93,60,2267,1426,334,249,2,209,0,4,43,15.57123952,0.1764446405,9.219232466,0,4.102337891,2.646669607,10.98367887,68.28407587
Boston,9,3,487,208,1,57,753,3652,1396,1415,13,204,3,428,193,3652,1069,1228,1041,8,203,1,18,84,38.74589266,0.3559693319,5.585980285,0.08214676889,11.7196057,5.284775465,28.50492881,38.22562979
Boston,9,4,192,109,4,10,315,4580,2516,1102,31,402,0,354,175,4580,2235,981,834,16,401,0,23,90,24.06113537,0.6768558952,8.777292576,0,7.729257642,3.820960699,18.20960699,54.93449782
Boston,9,5,422,110,1,20,553,2282,357,1491,29,51,0,211,143,2282,226,1380,507,14,50,0,22,83,65.33742331,1.270815074,2.234881683,0,9.246275197,6.266432954,22.2173532,15.64417178
Boston,10,1,140,137,0,42,319,888,264,261,11,138,0,172,42,888,159,232,333,9,138,0,0,17,29.39189189,1.238738739,15.54054054,0,19.36936937,4.72972973,37.5,29.72972973
Boston,10,2,95,85,0,9,189,2579,1462,331,9,581,1,126,69,2579,1354,290,298,4,581,1,9,42,12.83443195,0.3489724699,22.52811167,0.03877471888,4.885614579,2.675455603,11.55486623,56.68863901
Boston,10,3,102,78,0,9,189,2020,1403,193,12,256,3,83,70,2020,1306,166,228,6,256,3,5,50,9.554455446,0.5940594059,12.67326733,0.1485148515,4.108910891,3.465346535,11.28712871,69.45544554
Boston,10,4,215,124,2,106,447,2606,1298,421,19,561,3,209,95,2606,1128,367,477,13,556,3,5,57,16.15502686,0.7290867229,21.52724482,0.1151189563,8.019953952,3.645433615,18.30391404,49.80813507
Boston,10,5,185,96,1,5,287,2078,1539,228,7,135,0,97,72,2078,1448,208,225,3,135,0,8,51,10.97208855,0.3368623677,6.496631376,0,4.667949952,3.464870067,10.82771896,74.06159769
Boston,10,6,222,84,0,41,347,1706,606,564,12,133,0,285,106,1706,386,472,665,1,130,0,6,46,33.05978898,0.7033997655,7.796014068,0,16.70574443,6.213364596,38.98007034,35.52168816
Boston,10,7,352,97,2,71,522,1809,582,580,26,43,0,435,143,1809,234,457,1030,5,42,0,14,27,32.06191266,1.437258154,2.37700387,0,24.04643449,7.904919845,56.93753455,32.17247098
Boston,10,8,372,171,0,24,567,2779,1583,582,4,394,2,122,92,2779,1407,538,385,4,390,1,7,47,20.94278517,0.1439366679,14.17776178,0.07196833393,4.39006837,3.310543361,13.85390428,56.96293631
Boston,10,9,428,259,1,18,706,2265,1646,182,13,145,0,206,73,2265,1417,141,520,1,145,0,11,30,8.035320088,0.5739514349,6.401766004,0,9.094922737,3.222958057,22.9580574,72.67108168
Boston,11,1,194,66,0,7,267,912,357,429,3,31,0,58,34,912,307,392,150,3,31,0,6,23,47.03947368,0.3289473684,3.399122807,0,6.359649123,3.728070175,16.44736842,39.14473684
Boston,11,2,338,74,0,15,427,1651,230,1090,25,21,2,196,87,1651,113,1016,442,8,21,2,11,38,66.02059358,1.514233798,1.27195639,0.1211387038,11.87159297,5.269533616,26.77165354,13.93095094
Boston,11,3,225,36,1,2,264,1385,196,891,9,13,1,195,80,1385,90,786,445,6,13,1,12,32,64.33212996,0.6498194946,0.9386281588,0.07220216606,14.07942238,5.776173285,32.1299639,14.15162455
Boston,11,4,459,113,1,18,591,2245,736,813,37,44,0,457,158,2245,406,709,1027,12,41,0,10,40,36.21380846,1.648106904,1.959910913,0,20.35634744,7.037861915,45.74610245,32.78396437
Boston,11,5,317,116,0,22,455,1825,711,596,15,26,0,377,100,1825,440,505,803,7,26,0,11,33,32.65753425,0.8219178082,1.424657534,0,20.65753425,5.479452055,44,38.95890411
Boston,11,6,334,112,1,6,453,1257,777,176,3,62,0,163,76,1257,646,127,399,1,61,0,7,16,14.00159109,0.2386634845,4.932378679,0,12.96738266,6.046141607,31.74224344,61.81384248
Boston,11,7,421,154,1,9,585,1955,1096,464,12,51,0,255,77,1955,938,424,487,3,51,0,10,42,23.73401535,0.6138107417,2.608695652,0,13.04347826,3.938618926,24.91048593,56.06138107
Boston,11,8,485,160,0,7,652,1733,1185,223,10,153,1,106,55,1733,1081,196,253,3,153,1,13,33,12.8678592,0.577034045,8.828620889,0.0577034045,6.116560877,3.173687248,14.59896134,68.37853433
Boston,12,1,369,75,1,8,453,1812,137,1380,11,33,0,166,85,1812,74,1328,307,10,32,0,12,49,76.1589404,0.6070640177,1.821192053,0,9.161147903,4.690949227,16.94260486,7.560706402
Boston,12,2,396,94,0,13,503,2361,171,1767,17,17,1,288,100,2361,39,1664,529,9,17,1,45,57,74.841169,0.7200338839,0.7200338839,0.04235493435,12.19822109,4.235493435,22.40576027,7.242693774
Boston,12,3,156,46,1,8,211,794,55,604,4,24,1,75,31,794,20,564,151,1,24,1,11,22,76.07052897,0.5037783375,3.022670025,0.1259445844,9.445843829,3.904282116,19.01763224,6.926952141
Boston,12,4,204,46,1,4,255,1235,100,884,6,3,2,178,62,1235,47,826,274,5,3,2,30,48,71.57894737,0.4858299595,0.2429149798,0.1619433198,14.41295547,5.020242915,22.18623482,8.097165992
Boston,12,5,156,46,0,12,214,860,48,684,10,2,0,86,30,860,15,655,151,6,1,0,12,20,79.53488372,1.162790698,0.2325581395,0,10,3.488372093,17.55813953,5.581395349
Boston,12,6,216,40,0,12,268,858,41,693,6,9,0,65,44,858,21,659,134,5,9,0,10,20,80.76923077,0.6993006993,1.048951049,0,7.575757576,5.128205128,15.61771562,4.778554779
Boston,12,7,388,117,3,26,534,3079,386,2016,22,19,0,507,129,3079,186,1876,914,15,18,0,12,58,65.47580383,0.7145177006,0.6170834687,0,16.46638519,4.189671971,29.68496265,12.53653784
Boston,12,8,119,37,0,10,166,950,82,668,8,3,0,146,43,950,33,630,244,8,3,0,10,22,70.31578947,0.8421052632,0.3157894737,0,15.36842105,4.526315789,25.68421053,8.631578947
Boston,12,9,172,52,0,7,231,1116,95,802,7,15,1,134,62,1116,23,764,268,4,15,1,9,32,71.86379928,0.6272401434,1.344086022,0.08960573477,12.00716846,5.555555556,24.01433692,8.512544803
Boston,13,1,234,76,1,37,348,1573,134,955,11,12,0,345,116,1573,41,851,458,8,11,0,130,74,60.71201526,0.6993006993,0.7628734901,0,21.93261284,7.374443738,29.11633821,8.518753973
Boston,13,2,74,16,0,5,95,673,82,389,19,10,1,114,58,673,14,351,232,2,8,0,28,38,57.80089153,2.823179792,1.485884101,0.1485884101,16.93907875,8.618127786,34.47251114,12.18424963
Boston,13,4,162,44,2,11,219,1261,188,717,8,10,0,238,100,1261,82,668,370,5,10,0,62,64,56.85963521,0.6344171293,0.7930214116,0,18.8739096,7.930214116,29.34179223,14.90880254
Boston,13,5,164,86,3,45,298,1352,334,529,5,11,2,346,125,1352,263,483,284,1,11,2,206,102,39.12721893,0.3698224852,0.8136094675,0.1479289941,25.59171598,9.24556213,21.00591716,24.70414201
Boston,13,6,181,126,1,20,328,1615,587,458,7,125,3,334,101,1615,517,420,272,4,125,3,196,78,28.35913313,0.4334365325,7.73993808,0.1857585139,20.68111455,6.253869969,16.84210526,36.34674923
Boston,13,8,156,114,0,10,280,1511,770,187,3,368,4,113,66,1511,719,172,146,3,366,0,49,56,12.37590999,0.1985440106,24.35473197,0.2647253475,7.478491066,4.367968233,9.662475182,50.95962938
Boston,13,9,172,115,0,13,300,1683,742,249,7,429,5,185,66,1683,692,228,170,6,428,0,103,56,14.79500891,0.4159239453,25.49019608,0.2970885324,10.9922757,3.921568627,10.1010101,44.08793821
Boston,14,1,325,91,1,27,444,2866,279,1824,19,37,5,557,145,2866,48,1688,920,9,35,1,93,72,63.64270761,0.6629448709,1.290997906,0.1744591766,19.43475227,5.05931612,32.10048849,9.734822052
Boston,14,2,357,75,3,20,455,2695,142,2164,17,10,0,235,127,2695,42,2041,450,11,10,0,62,79,80.29684601,0.6307977737,0.3710575139,0,8.719851577,4.712430427,16.69758813,5.269016698
Boston,14,3,170,55,2,8,235,1549,75,1077,23,18,1,277,78,1549,20,987,459,17,18,1,11,36,69.52872821,1.484828922,1.162040026,0.06455777921,17.88250484,5.035506779,29.63202066,4.841833441
Boston,14,4,198,45,0,8,251,1654,124,1230,10,15,0,203,72,1654,49,1146,353,8,15,0,39,44,74.36517533,0.6045949214,0.9068923821,0,12.2732769,4.353083434,21.34220073,7.496977025
Boston,14,5,149,49,1,7,206,1439,36,1278,5,11,1,70,38,1439,9,1231,155,2,11,1,2,28,88.81167477,0.3474635163,0.7644197359,0.06949270327,4.864489229,2.640722724,10.77136901,2.501737318
Boston,14,6,146,53,0,4,203,1174,75,947,4,6,1,89,52,1174,41,878,211,2,6,0,11,25,80.66439523,0.3407155026,0.5110732538,0.08517887564,7.580919932,4.429301533,17.97274276,6.388415673
Boston,14,7,161,35,1,4,201,1388,94,1085,7,10,0,126,66,1388,20,1016,286,7,7,0,11,41,78.17002882,0.5043227666,0.7204610951,0,9.077809798,4.755043228,20.60518732,6.772334294
Boston,14,8,252,52,1,9,314,1494,147,1206,2,12,1,84,42,1494,93,1162,190,2,11,0,5,31,80.72289157,0.1338688086,0.8032128514,0.06693440428,5.62248996,2.81124498,12.71753681,9.83935743
Boston,14,9,148,50,0,11,209,1384,102,931,12,17,0,242,80,1384,13,844,459,5,17,0,19,27,67.26878613,0.8670520231,1.228323699,0,17.48554913,5.780346821,33.16473988,7.369942197
Boston,14,10,191,66,4,9,270,1937,205,1254,12,17,3,350,96,1937,26,1131,661,9,16,3,36,55,64.73928756,0.6195147135,0.8776458441,0.1548786784,18.06917914,4.956117708,34.12493547,10.58337636
Boston,14,11,199,40,0,12,251,1307,42,1065,3,10,0,121,66,1307,20,992,224,2,10,0,20,39,81.48431523,0.2295332823,0.7651109411,0,9.257842387,5.049732211,17.13848508,3.213465953
Boston,14,12,114,36,1,3,154,809,28,680,1,9,0,74,17,809,3,646,121,1,9,0,25,4,84.05438813,0.1236093943,1.112484549,0,9.147095179,2.101359703,14.95673671,3.461063041
Boston,14,13,191,45,1,4,241,1206,38,1024,6,11,0,73,54,1206,18,973,149,1,11,0,17,37,84.90878939,0.4975124378,0.912106136,0,6.053067993,4.47761194,12.35489221,3.150912106
Boston,14,14,199,55,0,11,265,1350,10,1203,3,5,0,86,43,1350,5,1127,179,2,5,0,3,29,89.11111111,0.2222222222,0.3703703704,0,6.37037037,3.185185185,13.25925926,0.7407407407
Boston,15,1,215,88,2,27,332,1938,266,969,9,44,0,507,143,1938,130,874,554,7,44,0,223,106,50,0.4643962848,2.270381837,0,26.16099071,7.37874097,28.58617131,13.7254902
Boston,15,2,148,38,0,22,208,1270,74,787,5,8,0,297,99,1270,34,749,206,3,8,0,176,94,61.96850394,0.3937007874,0.6299212598,0,23.38582677,7.795275591,16.22047244,5.826771654
Boston,15,3,78,42,0,10,130,875,75,418,3,31,0,260,88,875,56,383,164,3,28,0,163,78,47.77142857,0.3428571429,3.542857143,0,29.71428571,10.05714286,18.74285714,8.571428571
Boston,15,4,223,103,1,67,394,2477,366,912,2,389,1,562,245,2477,262,855,397,2,389,0,366,206,36.81873234,0.08074283407,15.70448123,0.04037141704,22.68873637,9.890997174,16.02745256,14.77593864
Boston,15,5,182,64,2,17,265,1661,214,964,13,92,0,261,117,1661,72,878,422,7,92,0,115,75,58.03732691,0.7826610476,5.538832029,0,15.71342565,7.043949428,25.4063817,12.88380494
Boston,15,6,74,58,1,11,144,1038,329,154,1,459,0,57,38,1038,313,144,75,1,459,0,11,35,14.83622351,0.09633911368,44.21965318,0,5.49132948,3.66088632,7.225433526,31.6955684
Boston,15,7,169,60,1,25,255,1305,165,660,3,22,0,329,126,1305,126,608,222,1,21,0,228,99,50.57471264,0.2298850575,1.685823755,0,25.21072797,9.655172414,17.01149425,12.64367816
Boston,15,8,114,51,0,15,180,1319,208,562,6,302,2,169,70,1319,133,531,236,6,300,2,56,55,42.60803639,0.4548900682,22.89613343,0.1516300227,12.81273692,5.307050796,17.89234268,15.76952237
Boston,15,9,124,62,1,15,202,1362,266,472,5,353,1,200,65,1362,239,457,181,3,351,0,90,41,34.65491924,0.3671071953,25.91776799,0.07342143906,14.68428781,4.772393539,13.28928047,19.53010279
Boston,16,1,118,54,1,4,177,1581,388,444,5,566,0,125,53,1581,327,419,192,4,561,0,35,43,28.08349146,0.3162555345,35.8001265,0,7.906388362,3.352308665,12.14421252,24.54142948
Boston,16,3,245,74,0,10,329,1745,341,736,5,475,0,109,79,1745,313,709,122,2,475,0,58,66,42.17765043,0.2865329513,27.22063037,0,6.246418338,4.52722063,6.991404011,19.54154728
Boston,16,4,167,73,3,6,249,2177,685,688,9,481,0,211,103,2177,624,657,210,5,477,0,120,84,31.60312356,0.4134129536,22.09462563,0,9.692237023,4.73128158,9.646302251,31.46531925
Boston,16,6,288,112,0,13,413,2277,580,881,4,577,1,146,88,2277,502,816,260,3,577,1,57,61,38.69126043,0.1756697409,25.34036012,0.04391743522,6.411945542,3.8647343,11.41853316,25.47211243
Boston,16,8,214,221,0,15,450,1548,922,358,7,162,0,42,57,1548,901,331,93,7,161,0,10,45,23.12661499,0.4521963824,10.46511628,0,2.713178295,3.682170543,6.007751938,59.56072351
Boston,16,11,205,225,4,29,463,1575,1084,283,5,140,0,33,30,1575,1049,272,78,5,135,0,14,22,17.96825397,0.3174603175,8.888888889,0,2.095238095,1.904761905,4.952380952,68.82539683
Boston,17,1,198,51,0,13,262,1313,132,961,16,4,0,132,68,1313,44,927,243,4,4,0,32,59,73.19116527,1.218583397,0.3046458492,0,10.05331302,5.178979436,18.50723534,10.05331302
Boston,17,2,153,43,0,8,204,983,85,617,6,93,2,124,56,983,55,563,176,1,91,0,51,46,62.76703967,0.6103763988,9.460834181,0.2034587996,12.61444557,5.696846389,17.90437436,8.646998983
Boston,17,3,347,107,1,13,468,1996,338,1383,2,40,3,151,79,1996,267,1330,273,1,40,0,35,50,69.28857715,0.1002004008,2.004008016,0.1503006012,7.565130261,3.957915832,13.67735471,16.93386774
Boston,17,4,382,132,0,11,525,2105,514,1236,10,160,0,102,83,2105,492,1190,145,10,158,0,45,65,58.71733967,0.4750593824,7.600950119,0,4.845605701,3.942992874,6.888361045,24.41805226
Boston,17,5,157,14,0,2,173,981,48,777,9,17,1,86,43,981,20,718,189,3,17,1,6,27,79.20489297,0.9174311927,1.732925586,0.1019367992,8.76656473,4.383282365,19.26605505,4.892966361
Boston,17,6,282,91,2,9,384,1526,386,790,10,130,1,137,72,1526,329,745,220,8,130,0,36,58,51.76933159,0.6553079948,8.519003932,0.06553079948,8.977719528,4.718217562,14.41677588,25.2948886
Boston,17,7,140,21,0,3,164,803,44,684,4,10,0,28,33,803,40,660,59,3,10,0,12,19,85.18057285,0.498132005,1.245330012,0,3.486924035,4.109589041,7.347447073,5.479452055
Boston,17,8,230,50,0,12,292,1261,100,1002,9,10,0,91,49,1261,59,958,191,2,10,0,14,27,79.46074544,0.7137192704,0.7930214116,0,7.216494845,3.885804917,15.14670896,7.930214116
Boston,17,9,246,98,0,6,350,1032,430,463,3,55,0,49,32,1032,387,444,97,3,55,0,18,28,44.86434109,0.2906976744,5.329457364,0,4.748062016,3.100775194,9.399224806,41.66666667
Boston,17,10,277,60,1,6,344,1842,111,1537,5,13,0,116,60,1842,68,1471,197,4,13,0,37,52,83.44191097,0.2714440825,0.7057546145,0,6.297502714,3.25732899,10.69489685,6.026058632
Boston,17,11,121,34,0,0,155,708,103,486,1,41,0,54,23,708,86,468,66,1,41,0,31,15,68.6440678,0.1412429379,5.790960452,0,7.627118644,3.248587571,9.322033898,14.5480226
Boston,17,12,183,77,1,7,268,1011,132,750,2,45,0,45,37,1011,120,729,76,2,42,0,16,26,74.18397626,0.1978239367,4.451038576,0,4.451038576,3.659742829,7.517309594,13.05637982
Boston,17,13,260,152,1,13,426,1535,840,458,2,121,0,52,62,1535,812,440,96,2,120,0,14,51,29.83713355,0.1302931596,7.882736156,0,3.38762215,4.039087948,6.254071661,54.72312704
Boston,17,14,325,124,3,16,468,1412,429,821,0,70,3,45,44,1412,397,792,106,0,70,0,17,30,58.14447592,0,4.957507082,0.2124645892,3.186968839,3.116147309,7.507082153,30.38243626
Boston,18,1,381,143,0,14,538,2382,221,1849,20,28,0,174,90,2382,166,1748,358,9,28,0,22,51,77.62384551,0.8396305626,1.175482788,0,7.304785894,3.778337531,15.02938707,9.277917716
