Town,AverageMaxDown,AverageMaxUp,Non-Hispanic,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian and Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian/Other Pacific Islander,Non-Hispanic Some Other Races,Non-Hispanic Two or More Races,Hispanic/Latino
SOUTHBRIDGE TOWN,233.84,9.28,68.25,63.4,2.74,0.16,0.28,0.0,0.15,1.52,31.75
SOUTHFIELD,272.48,118.16,99.15,97.6,0.12,0.0,1.33,0.0,0.1,0.0,0.85
SPENCER,219.98,8.8,95.35,85.17,1.89,0.0,7.15,0.0,0.0,1.14,4.65
SPRINGFIELD,188.51,7.4,57.34,34.41,17.93,0.19,2.09,0.02,0.26,2.44,42.66
STONEHAM,358.17,119.76,95.94,89.01,2.5,0.0,3.16,0.0,0.54,0.73,4.06
STURBRIDGE,245.59,9.74,97.66,94.98,0.82,0.13,0.93,0.0,0.0,0.8,2.34
SWAMPSCOTT,327.41,144.78,96.95,92.95,0.83,0.0,0.71,0.0,0.0,2.46,3.05
TANTON,288.28,126.79,92.97,79.58,7.21,0.02,1.71,0.0,2.3,2.14,7.03
THE PINEHILLS,231.79,106.46,99.98,97.26,1.0,0.0,1.72,0.0,0.0,0.0,0.02
TOPSFIELD,287.6,122.15,98.47,95.66,0.14,0.0,2.38,0.0,0.0,0.29,1.53
TOWNSEND,186.96,7.38,96.68,92.66,0.19,0.0,1.32,0.0,1.38,1.15,3.32
UPTON,248.23,25.16,95.56,81.48,6.27,0.0,3.14,0.0,0.0,4.67,4.44
VINEYARD HAVEN,166.53,7.18,98.78,86.38,9.43,0.0,0.0,0.0,2.0,0.97,1.22
WAKEFIELD,363.47,123.65,95.89,90.98,1.42,0.0,2.06,0.0,0.14,1.28,4.11
WALPOLE,304.24,135.55,93.8,83.14,3.38,0.15,4.82,0.0,0.47,1.84,6.2
WALTHAM,353.34,109.31,86.1,65.85,7.41,0.19,10.6,0.0,0.19,1.86,13.9
WARE,185.35,7.29,94.09,89.67,0.91,0.0,0.55,0.0,0.0,2.96,5.91
WAREHAM CENTER,307.6,141.42,96.05,82.76,2.84,0.0,0.84,0.0,2.84,6.76,3.95
WARREN,193.2,7.63,98.71,95.87,0.02,0.0,2.82,0.0,0.0,0.0,1.29
WATERTOWN TOWN,303.4,25.34,90.01,77.27,1.79,0.04,8.46,0.0,0.84,1.61,9.99
WEBSTER,240.44,9.54,91.17,85.77,3.35,0.0,0.86,0.0,0.34,0.86,8.83
WELLESLEY,322.43,141.99,95.12,77.31,2.43,0.14,11.95,0.06,0.34,2.89,4.88
WEST BROOKFIELD,234.68,9.35,98.65,95.74,0.16,0.0,1.32,0.0,0.74,0.69,1.35
WEST CONCORD,178.2,35.74,91.72,81.41,4.23,0.0,3.52,0.0,0.0,2.56,8.28
WEST SPRINGFIELD TOWN,164.32,6.58,89.12,77.28,2.75,0.24,4.84,0.0,1.66,2.35,10.88
WEST WAREHAM,255.36,116.24,93.95,78.54,1.9,0.0,1.04,0.0,7.86,4.61,6.05
WESTBOROUGH,322.75,128.66,93.88,83.69,0.43,0.6,8.33,0.0,0.25,0.58,6.12
WESTFIELD,248.45,99.07,91.42,85.8,1.36,0.09,3.04,0.0,0.02,1.12,8.58
WEYMOUTH TOWN,195.76,8.51,97.01,84.48,4.78,0.08,5.5,0.0,0.42,1.74,2.99
WHITINSVILLE,249.78,11.19,94.74,88.44,1.95,0.19,1.37,0.0,0.0,2.8,5.26
WILBRAHAM,237.11,9.43,94.88,89.42,2.64,0.0,1.22,0.0,0.0,1.6,5.12
WILLIAMSTOWN,224.45,10.38,92.78,78.38,4.46,0.7,6.16,0.0,0.0,3.09,7.22
WILMINGTON,316.45,141.53,98.37,88.67,3.63,0.0,4.81,0.0,0.07,1.2,1.63
WINCHENDON,143.58,5.82,97.02,93.09,0.83,0.0,1.0,0.0,0.0,2.09,2.98
WINCHESTER,328.73,146.88,98.0,82.48,0.29,0.0,12.12,0.0,0.97,2.14,2.0
WINTHROP TOWN,212.94,8.2,91.27,87.89,1.2,0.0,0.61,0.0,0.2,1.37,8.73
WOBURN,357.69,117.77,94.81,76.5,6.7,0.0,8.17,0.0,1.69,1.75,5.19
WORCESTER,228.06,9.11,80.93,58.02,12.09,0.2,8.04,0.03,0.4,2.16,19.07
