objectid,name,address,address2,municipal,state,zipcode,recordtype,data_year,source,market_id,ebt,coupons,latitude,longitude,prim_type,shape
13,Cumberland Farms Food Store,65 Main St, ,Andover,MA,01810,Unverified,2016,ReferenceUSA,0, , ,42.65496700,-71.13988200,Convenience Stores,2400000001000000010004006A6900000C0000000100000099DAF0EEB215B5B9F9CAA711
14,Cumberland Farms Food Store,651 Washington St, ,Attleboro,MA,02703,Unverified,2016,ReferenceUSA,0, , ,41.91000300,-71.36379500,Convenience Stores,2400000001000000010004006A6900000C00000001000000BCB186C1B1158DAFA6B5A111
15,Cumberland Farms Food Store,20 Main St, ,Topsfield,MA,01983,Unverified,2016,ReferenceUSA,0, , ,42.63887600,-70.95093300,Convenience Stores,2400000001000000010004006A6900000C000000010000009BE1DE82B41581ADD8BAA711
16,Cumberland Farms Inc, , ,Framingham,MA,01702,Unverified,2016,ReferenceUSA,0, , ,42.28695900,-71.42237900,Convenience Stores,2400000001000000010004006A6900000C000000010000009FD0AA92B115AFD0C4C4A411
17,Cumberland Farms Inc,124 Wilson Ave, ,Spencer,MA,01562,Unverified,2016,ReferenceUSA,0, , ,42.20282000,-71.94859700,Convenience Stores,2400000001000000010004006A6900000C00000001000000B5E7FCF3AD15BBCFA7ECA311
18,7-Eleven,352 Main St, ,Falmouth,MA,02540,Unverified,2016,ReferenceUSA,0, , ,41.55223300,-70.61266400,Convenience Stores,2400000001000000010004006A6900000C00000001000000AE94A597B61582DFF6BD9E11
19,1 Quik Stop,206 N Main St, ,Whitinsville,MA,01588,Verified,2016,ReferenceUSA,0, , ,42.11682800,-71.68353300,Convenience Stores,2400000001000000010004006A6900000C00000001000000B0ECC4C4AF15ABAAB990A311
20,106 Mini Mart,2107 Plymouth St # A, ,East Bridgewater,MA,02333,Verified,2016,ReferenceUSA,0, , ,42.02919400,-70.94153400,Convenience Stores,2400000001000000010004006A6900000C00000001000000AB92A98EB41581C2F4B4A211
21,123 Convenience Inc,102 Belmont St, ,Rockland,MA,02370,Unverified,2016,ReferenceUSA,0, , ,42.13127600,-70.91978500,Convenience Stores,2400000001000000010004006A6900000C00000001000000ADBAE19EB4159ED293A1A311
22,129 Quickstop,12 Vernon St, ,Wakefield,MA,01880,Unverified,2016,ReferenceUSA,0, , ,42.50329500,-71.06696600,Convenience Stores,2400000001000000010004006A6900000C00000001000000BEB0DBA8B315BE84C5AAA611
23,24 Seven,655 Warren St, ,Dorchester,MA,02121,Unverified,2016,ReferenceUSA,0, , ,42.30981300,-71.08288300,Convenience Stores,2400000001000000010004006A6900000C00000001000000B4DE9E9DB31597C6C2DDA411
24,24 Seven Convenience Store,655 Warren St, ,Dorchester,MA,02121,Unverified,2016,ReferenceUSA,0, , ,42.30981300,-71.08288300,Convenience Stores,2400000001000000010004006A6900000C00000001000000B4DE9E9DB31597C6C2DDA411
25,3 A Convenient,276 Cambridge St, ,Burlington,MA,01803,Unverified,2016,ReferenceUSA,0, , ,42.51463900,-71.20394500,Convenience Stores,2400000001000000010004006A6900000C0000000100000085D2A6BDB215B9BC8CB6A611
26,3 J Market,88 Auburn St, ,Lawrence,MA,01841,Unverified,2016,ReferenceUSA,0, , ,42.71154300,-71.17044800,Convenience Stores,2400000001000000010004006A6900000C0000000100000088D5DFD6B21590F7E486A811
27,3 Phase Elevator Corp,41 Brooks Dr # 3a, ,Braintree,MA,02184,Unverified,2016,ReferenceUSA,0, , ,42.21101800,-71.03845700,Convenience Stores,2400000001000000010004006A6900000C0000000100000088A0DEC0B315B4A386F5A311
28,3-In-1 Superette Inc,203 Elliot St, ,Newton,MA,02464,Verified,2016,ReferenceUSA,0, , ,42.31306600,-71.21753400,Convenience Stores,2400000001000000010004006A6900000C00000001000000A883AEB3B2159183C4E0A411
29,350 Food Mart,350 Broadway, ,Somerville,MA,02145,Verified,2016,ReferenceUSA,0, , ,42.39327100,-71.09522900,Convenience Stores,2400000001000000010004006A6900000C000000010000008CC38E93B315B0CFF0B5A511
611,Food Land,199 Adams St, ,Boston,MA,02122,Unverified,2016,ReferenceUSA,0, , ,42.30203900,-71.06015000,Convenience Stores,2400000001000000010004006A6900000C00000001000000AF8194AFB315B8FDAFD5A411
30,389 Moody Street Convenience,389 Moody St, ,Waltham,MA,02453,Unverified,2016,ReferenceUSA,0, , ,42.36944400,-71.23763900,Convenience Stores,2400000001000000010004006A6900000C00000001000000889EAFA3B215A8F0999CA511
31,4 M's Variety Inc,271 School St, ,Lowell,MA,01854,Verified,2016,ReferenceUSA,0, , ,42.64272300,-71.32581500,Convenience Stores,2400000001000000010004006A6900000C00000001000000A9E5C1DDB11585E9C2BDA711
32,4 Way Convenience,410 Center St, ,Randolph,MA,02368,Verified,2016,ReferenceUSA,0, , ,42.15506300,-71.02835100,Convenience Stores,2400000001000000010004006A6900000C0000000100000096EE82C9B315B499E9B9A311
33,44 Express Convenience Store,400 Winthrop St, ,Taunton,MA,02780,Verified,2016,ReferenceUSA,0, , ,41.88577300,-71.13478500,Convenience Stores,2400000001000000010004006A6900000C0000000100000082CFADF6B215A8BA959CA111
34,5 Yogi Convenience Store,6 Bridge Rd, ,Salisbury,MA,01952,Verified,2016,ReferenceUSA,0, , ,42.84303100,-70.86361000,Convenience Stores,2400000001000000010004006A6900000C00000001000000ACC1B6C5B415A286B993A911
35,660 Corp,543 Commonwealth Ave, ,Boston,MA,02215,Verified,2016,ReferenceUSA,0, , ,42.34904500,-71.09712200,Convenience Stores,2400000001000000010004006A6900000C00000001000000B3CCEC91B315978C8387A511
36,7 Day Convenience Store,668 Winthrop Ave, ,Revere,MA,02151,Verified,2016,ReferenceUSA,0, , ,42.39716700,-70.99138800,Convenience Stores,2400000001000000010004006A6900000C00000001000000A389D0E4B31588E4B8BAA511
37,7 Days Convenience Store,386 Columbia Rd # 8, ,Hanover,MA,02339,Unverified,2016,ReferenceUSA,0, , ,42.10971100,-70.81153000,Convenience Stores,2400000001000000010004006A6900000C000000010000009EABA6F4B415B28DF98AA311
38,7 Pantry,1699 Shawsheen St, ,Tewksbury,MA,01876,Unverified,2016,ReferenceUSA,0, , ,42.62155200,-71.18345500,Convenience Stores,2400000001000000010004006A6900000C00000001000000B6A0F8CCB215B085B5A7A711
39,7-Eleven,509 Cambridge St, ,Allston,MA,02134,Unverified,2016,ReferenceUSA,0, , ,42.35343200,-71.13848200,Convenience Stores,2400000001000000010004006A6900000C00000001000000AF99AAF1B21592A4C38BA511
40,7-Eleven,110 N Main St, ,Attleboro,MA,02703,Unverified,2016,ReferenceUSA,0, , ,41.94685900,-71.28812600,Convenience Stores,2400000001000000010004006A6900000C00000001000000BCB5E9FCB115B483BBDCA111
41,7-Eleven,1011 Route 28, ,Bass River,MA,02664,Unverified,2016,ReferenceUSA,0, , ,41.65756200,-70.20376800,Convenience Stores,2400000001000000010004006A6900000C00000001000000BED1F4DAB815ADE0D2B19F11
42,7-Eleven,826 Boston Rd, ,Billerica,MA,01821,Verified,2016,ReferenceUSA,0, , ,42.53150500,-71.22902500,Convenience Stores,2400000001000000010004006A6900000C00000001000000BDBDCBA9B215868AF3C7A611
43,7-Eleven,390 Washington St, ,Braintree,MA,02184,Verified,2016,ReferenceUSA,0, , ,42.21938600,-71.00319200,Convenience Stores,2400000001000000010004006A6900000C00000001000000A89BBADCB315AFEA88FEA311
44,7-Eleven,504 Washington St, ,Canton,MA,02021,Verified,2016,ReferenceUSA,0, , ,42.15187100,-71.14901500,Convenience Stores,2400000001000000010004006A6900000C0000000100000080B3F7E9B21592D8FDB5A311
45,7-Eleven,1149 Falmouth Rd, ,Centerville,MA,02632,Verified,2016,ReferenceUSA,0, , ,41.65830700,-70.32929300,Convenience Stores,2400000001000000010004006A6900000C0000000100000096C399F7B715B295FFB09F11
46,7-Eleven,280 Main St, ,Everett,MA,02149,Unverified,2016,ReferenceUSA,0, , ,42.41042100,-71.06287100,Convenience Stores,2400000001000000010004006A6900000C00000001000000A6E6B6ACB315AE8896C8A511
47,7-Eleven,543 Ferry St, ,Everett,MA,02149,Verified,2016,ReferenceUSA,0, , ,42.42001400,-71.05394800,Convenience Stores,2400000001000000010004006A6900000C00000001000000A3C9B0B3B3159EB8AFD2A511
48,7-Eleven,664 Union St, ,Franklin,MA,02038,Unverified,2016,ReferenceUSA,0, , ,42.06694900,-71.39829700,Convenience Stores,2400000001000000010004006A6900000C0000000100000091E0C6A5B115A7DDC0DBA211
49,7-Eleven,503 River St, ,Haverhill,MA,01832,Verified,2016,ReferenceUSA,0, , ,42.76531000,-71.10089500,Convenience Stores,2400000001000000010004006A6900000C00000001000000BFF4E88CB3159EDAFDBFA811
50,7-Eleven,687 S Main St, ,Haverhill,MA,01835,Verified,2016,ReferenceUSA,0, , ,42.75903800,-71.09715900,Convenience Stores,2400000001000000010004006A6900000C00000001000000AD9BE28FB315B0F8ACB9A811
51,7-Eleven,539 Pleasant St, ,Holyoke,MA,01040,Verified,2016,ReferenceUSA,0, , ,42.21132100,-72.62080900,Convenience Stores,2400000001000000010004006A6900000C00000001000000B6E6D8E2A9159EBA97FAA311
52,7-Eleven,494 Bridge St, ,Lowell,MA,01850,Unverified,2016,ReferenceUSA,0, , ,42.65180700,-71.30344400,Convenience Stores,2400000001000000010004006A6900000C000000010000008FC5FEEEB115B1BF97C7A711
53,7-Eleven,3 Lynnfield St, ,Lynn,MA,01904,Verified,2016,ReferenceUSA,0, , ,42.48555700,-70.96085700,Convenience Stores,2400000001000000010004006A6900000C000000010000009FD480FCB31594C99C98A611
54,7-Eleven,169 Salem St, ,Malden,MA,02148,Verified,2016,ReferenceUSA,0, , ,42.42942500,-71.06112900,Convenience Stores,2400000001000000010004006A6900000C000000010000009CC9D8ADB31599E0A7DCA511
55,7-Eleven,73 Storey Ave, ,Newburyport,MA,01950,Verified,2016,ReferenceUSA,0, , ,42.81965800,-70.90887600,Convenience Stores,2400000001000000010004006A6900000C00000001000000AFAFA7A2B415ACFEB6FAA811
56,7-Eleven,60 King St, ,Northampton,MA,01060,Unverified,2016,ReferenceUSA,0, , ,42.32061400,-72.63127200,Convenience Stores,2400000001000000010004006A6900000C00000001000000B1E1FEDBA915AF8087EEA411
57,7-Eleven,884 Washington St # A, ,Norwood,MA,02062,Unverified,2016,ReferenceUSA,0, , ,42.18595600,-71.20188600,Convenience Stores,2400000001000000010004006A6900000C00000001000000B58391C0B215ADE9F6D9A311
58,7-Eleven,24 Lake St, ,Peabody,MA,01960,Verified,2016,ReferenceUSA,0, , ,42.54694300,-71.00619500,Convenience Stores,2400000001000000010004006A6900000C0000000100000086AE8AD8B31588D084D9A611
59,7-Eleven,126 North St, ,Salem,MA,01970,Verified,2016,ReferenceUSA,0, , ,42.52741400,-70.90145900,Convenience Stores,2400000001000000010004006A6900000C00000001000000A8F9A1AAB415A7EEEFC4A611
60,7-Eleven Inc,66 Charles St, ,Boston,MA,02114,Unverified,2016,ReferenceUSA,0, , ,42.35757600,-71.07045000,Convenience Stores,2400000001000000010004006A6900000C00000001000000B0AEE1A6B3158BF49490A511
61,7-Eleven Inc,588 Main St, ,Lynnfield,MA,01940,Unverified,2016,ReferenceUSA,0, , ,42.53922400,-71.05011900,Convenience Stores,2400000001000000010004006A6900000C00000001000000B2FBDBB5B315A5CBD5D0A611
62,7-Eleven Inc,4 Colby St # 163, ,Medford,MA,02155,Unverified,2016,ReferenceUSA,0, , ,42.40351200,-71.11311200,Convenience Stores,2400000001000000010004006A6900000C00000001000000BCED8285B315A0EFD4C0A511
63,7-Eleven Inc,362 Granite Ave, ,Milton,MA,02186,Unverified,2016,ReferenceUSA,0, , ,42.25882000,-71.04156300,Convenience Stores,2400000001000000010004006A6900000C000000010000009AAA82BEB3158FF1D5A7A411
64,75 State St Lobby Shop,75 State St, ,Boston,MA,02109,Unverified,2016,ReferenceUSA,0, , ,42.35844900,-71.05508900,Convenience Stores,2400000001000000010004006A6900000C0000000100000092C0E9B2B3159C999391A511
65,777 Convenience Store,215 Trenton St, ,Boston,MA,02128,Verified,2016,ReferenceUSA,0, , ,42.38084600,-71.03107900,Convenience Stores,2400000001000000010004006A6900000C00000001000000A1A5C7C5B315B9F8FCA8A511
66,777 Convenience Store,269 Main St, ,Charlestown,MA,02129,Unverified,2016,ReferenceUSA,0, , ,42.37720900,-71.06660300,Convenience Stores,2400000001000000010004006A6900000C00000001000000B6D9D6A9B31583F4FCA4A511
67,99 Store,180 Liberty St, ,Lowell,MA,01851,Verified,2016,ReferenceUSA,0, , ,42.63332300,-71.32581000,Convenience Stores,2400000001000000010004006A6900000C000000010000008CF3C4DDB115A695C8B3A711
68,A & A Market Inc,2 Market Sq, ,Lynn,MA,01905,Unverified,2016,ReferenceUSA,0, , ,42.46247100,-70.96366100,Convenience Stores,2400000001000000010004006A6900000C00000001000000A1F8FAF9B315A7C0E0FFA511
69,A & J Grocery,252 High St, ,Clinton,MA,01510,Verified,2016,ReferenceUSA,0, , ,42.41964600,-71.68443700,Convenience Stores,2400000001000000010004006A6900000C00000001000000B1A6C2C4AF1590A59CD1A511
70,A & M Convenience,223 Maple St, ,Middleton,MA,01949,Unverified,2016,ReferenceUSA,0, , ,42.59557400,-70.99422900,Convenience Stores,2400000001000000010004006A6900000C00000001000000ACFD92E1B315ABEDCD8CA711
71,A & P Convenience Inc,315 Geneva Ave, ,Dorchester,MA,02122,Unverified,2016,ReferenceUSA,0, , ,42.30312500,-71.07106400,Convenience Stores,2400000001000000010004006A6900000C0000000100000092E1C8A6B31598D1BDD6A411
72,A & R Convenience Store,44 Margin St, ,Peabody,MA,01960,Verified,2016,ReferenceUSA,0, , ,42.53556500,-70.91715400,Convenience Stores,2400000001000000010004006A6900000C0000000100000097A7F49DB4159098B6CDA611
73,A & U Food & Fuel Inc,338 Quarry St, ,Fall River,MA,02723,Unverified,2016,ReferenceUSA,0, , ,41.69421000,-71.13945100,Convenience Stores,2400000001000000010004006A6900000C0000000100000080DCC2F3B2158BAC9FD19F11
74,A & V Fuels Inc,75 Main St, ,Fitchburg,MA,01420,Verified,2016,ReferenceUSA,0, , ,42.58196200,-71.79225100,Convenience Stores,2400000001000000010004006A6900000C00000001000000B888BEF0AE15B7EFB3FDA611
75,A A & Bf Corp,71 Exchange St, ,Lynn,MA,01901,Verified,2016,ReferenceUSA,0, , ,42.46336400,-70.94246200,Convenience Stores,2400000001000000010004006A6900000C00000001000000AEB8CA8AB415AB9EE780A611
76,A A Convenience LLC,11 Branch St, ,Quincy,MA,02169,Unverified,2016,ReferenceUSA,0, , ,42.23721800,-71.01506500,Convenience Stores,2400000001000000010004006A6900000C00000001000000A8EFFFD2B3158ADBF390A411
77,A A Food Market,1575 Purchase St, ,New Bedford,MA,02740,Verified,2016,ReferenceUSA,0, , ,41.64657500,-70.92813900,Convenience Stores,2400000001000000010004006A6900000C00000001000000BC87CF9BB415B8C1DA9F9F11
78,A Heavenly Trip Inc,933 Randolph Ave, ,Milton,MA,02186,Verified,2016,ReferenceUSA,0, , ,42.23495600,-71.07052400,Convenience Stores,2400000001000000010004006A6900000C0000000100000095D5ADA7B315B886A38EA411
79,A I M S Food Mart,270 Concord Ave, ,Cambridge,MA,02138,Unverified,2016,ReferenceUSA,0, , ,42.38334400,-71.13328600,Convenience Stores,2400000001000000010004006A6900000C0000000100000082A9A3F5B215B5A69DABA511
80,A Js Mini Market,137 Pulaski Blvd, ,Bellingham,MA,02019,Verified,2016,ReferenceUSA,0, , ,42.01984800,-71.49512800,Convenience Stores,2400000001000000010004006A6900000C0000000100000094CE90D9B01583BAC8A9A211
81,A M Convenience Hingham Inc,399 Adams St, ,Quincy,MA,02169,Unverified,2016,ReferenceUSA,0, , ,42.25324300,-71.02153500,Convenience Stores,2400000001000000010004006A6900000C000000010000008FE6E7CDB3159EE6ECA1A411
82,A M S Corp,73 W Main St, ,Spencer,MA,01562,Verified,2016,ReferenceUSA,0, , ,42.23235300,-72.01442500,Convenience Stores,2400000001000000010004006A6900000C00000001000000BDF1A8C0AD159BA8F18BA411
83,A Plus Food Mart Inc,584 Washington St, ,Attleboro,MA,02703,Unverified,2016,ReferenceUSA,0, , ,41.91229800,-71.36184500,Convenience Stores,2400000001000000010004006A6900000C00000001000000B7AFCBC2B1159FECDDB7A111
84,A S Food Mart,27 Greystone Park, ,Lynn,MA,01902,Unverified,2016,ReferenceUSA,0, , ,42.46553600,-70.92485800,Convenience Stores,2400000001000000010004006A6900000C0000000100000091E6AF98B415B7BD9983A611
85,A To Z Convenience,1011 Route 28, ,South Yarmouth,MA,02664,Verified,2016,ReferenceUSA,0, , ,41.65756200,-70.20376800,Convenience Stores,2400000001000000010004006A6900000C00000001000000BED1F4DAB815ADE0D2B19F11
86,A1 Mart,179 Elm St, ,Southbridge,MA,01550,Verified,2016,ReferenceUSA,0, , ,42.07031000,-72.03616800,Convenience Stores,2400000001000000010004006A6900000C000000010000009BFA8FAEAD15BAB6ACE0A211
87,A1 Mini Mart Inc,6a Boylston St, ,Worcester,MA,01605,Unverified,2016,ReferenceUSA,0, , ,42.29860300,-71.76675500,Convenience Stores,2400000001000000010004006A6900000C00000001000000BFEEC083AF1598E795D1A411
88,ABC Convenience Store,532 Boston St, ,Lynn,MA,01905,Unverified,2016,ReferenceUSA,0, , ,42.46440100,-70.97198200,Convenience Stores,2400000001000000010004006A6900000C000000010000009FF6B5F3B31580FEE081A611
89,ABC Magazine,146 Market St, ,Rockland,MA,02370,Unverified,2016,ReferenceUSA,0, , ,42.12236000,-70.91468000,Convenience Stores,2400000001000000010004006A6900000C0000000100000097FBECA2B415B7A7DE97A311
90,ABC Mini Market,41 Granite St, ,Worcester,MA,01604,Verified,2016,ReferenceUSA,0, , ,42.24672700,-71.78853800,Convenience Stores,2400000001000000010004006A6900000C0000000100000082BA98F2AE158294A39AA411
91,Abington Market,400 Brockton Ave, ,Abington,MA,02351,Unverified,2016,ReferenceUSA,0, , ,42.10063300,-70.95838100,Convenience Stores,2400000001000000010004006A6900000C0000000100000098D3C480B415BCADBF80A311
92,Acougue Brasil Convenient Str,192 Brighton Ave, ,Allston,MA,02134,Unverified,2016,ReferenceUSA,0, , ,42.35307400,-71.13426700,Convenience Stores,2400000001000000010004006A6900000C0000000100000089A8D2F4B2159AC6948BA511
93,Acton Convenience Inc,465 Great Rd, ,Acton,MA,01720,Verified,2016,ReferenceUSA,0, , ,42.51353100,-71.42488700,Convenience Stores,2400000001000000010004006A6900000C00000001000000BA829390B1159BFCC5B4A611
94,Ada's Tropical Inc,118 Norfolk St, ,Dorchester Ctr,MA,02124,Verified,2016,ReferenceUSA,0, , ,42.28806100,-71.07689900,Convenience Stores,2400000001000000010004006A6900000C0000000100000086CD87A2B315B599C0C6A411
95,Adam's Convenience Store,149 Hanover St, ,Boston,MA,02108,Unverified,2016,ReferenceUSA,0, , ,42.35797900,-71.06256400,Convenience Stores,2400000001000000010004006A6900000C000000010000009A90FAACB315A1CACF90A511
96,Adam's Convenience Store,295 Adams St, ,Dorchester,MA,02122,Verified,2016,ReferenceUSA,0, , ,42.29941600,-71.05833300,Convenience Stores,2400000001000000010004006A6900000C00000001000000ADDECCB0B315BFA3CDD2A411
97,Adams Market,365 Adams St, ,Dorchester,MA,02122,Verified,2016,ReferenceUSA,0, , ,42.29699000,-71.05666000,Convenience Stores,2400000001000000010004006A6900000C000000010000009EECF6B1B315BD9B85D0A411
98,Adel Mini Mart Inc,44 Weir St, ,Taunton,MA,02780,Unverified,2016,ReferenceUSA,0, , ,41.90067200,-71.09201900,Convenience Stores,2400000001000000010004006A6900000C00000001000000B0DD9098B315808F8DACA111
99,Aegean Market,182 Myrtle St, ,Lynn,MA,01905,Verified,2016,ReferenceUSA,0, , ,42.47061300,-70.97784500,Convenience Stores,2400000001000000010004006A6900000C00000001000000BC94E4EEB315A9D4A788A611
100,After Seven,1310 Commonwealth Ave, ,Allston,MA,02134,Unverified,2016,ReferenceUSA,0, , ,42.34846700,-71.13425000,Convenience Stores,2400000001000000010004006A6900000C00000001000000BFD9D6F4B21598F2A386A511
101,Agawam Mini Market,703 Main St, ,Agawam,MA,01001,Unverified,2016,ReferenceUSA,0, , ,42.06954700,-72.61513900,Convenience Stores,2400000001000000010004006A6900000C00000001000000A68099E5A9159084FBE3A211
102,Aggie's Place,69 Pearl St, ,Somerville,MA,02145,Verified,2016,ReferenceUSA,0, , ,42.38466400,-71.08393900,Convenience Stores,2400000001000000010004006A6900000C00000001000000A3F8829CB315B886E7ACA511
103,Aggy's Convenience,491 Cabot St, ,Beverly,MA,01915,Unverified,2016,ReferenceUSA,0, , ,42.56534400,-70.88559300,Convenience Stores,2400000001000000010004006A6900000C00000001000000A790B4B6B41580A492EDA611
104,Ahh Minimart Inc,135 Chestnut St # 10a, ,Foxboro,MA,02035,Unverified,2016,ReferenceUSA,0, , ,42.07135800,-71.23698400,Convenience Stores,2400000001000000010004006A6900000C0000000100000099E5EDA4B2158BB2B9E0A211
105,Ai Maidah,61 Central Sq, ,Chelmsford,MA,01824,Unverified,2016,ReferenceUSA,0, , ,42.59560600,-71.35214600,Convenience Stores,2400000001000000010004006A6900000C00000001000000BAEC80C9B115B8DEC88BA711
106,Airport Mini Mart,1406 Main St, ,Worcester,MA,01603,Unverified,2016,ReferenceUSA,0, , ,42.24100000,-71.85458700,Convenience Stores,2400000001000000010004006A6900000C00000001000000ACB797BEAE1594DCB394A411
107,Aj Variety,7 Bowdoin Park, ,Dorchester,MA,02122,Unverified,2016,ReferenceUSA,0, , ,42.30642200,-71.06774000,Convenience Stores,2400000001000000010004006A6900000C00000001000000BD8695A9B31585AEFED9A411
108,Aj Variety,7 Bowdoin St, ,Dorchester Ctr,MA,02124,Unverified,2016,ReferenceUSA,0, , ,42.29944100,-71.07321100,Convenience Stores,2400000001000000010004006A6900000C000000010000008595F3A4B315AA85C9D2A411
109,Ajay's Market,168 Walpole St, ,Norwood,MA,02062,Verified,2016,ReferenceUSA,0, , ,42.18715600,-71.20973600,Convenience Stores,2400000001000000010004006A6900000C00000001000000BDF3F8B9B21587E696DBA311
110,Ajb Beer & Wine,378 Union St, ,Ashland,MA,01721,Unverified,2016,ReferenceUSA,0, , ,42.25555900,-71.46573600,Convenience Stores,2400000001000000010004006A6900000C00000001000000B1A59FF0B0159DA1A0A3A411
111,Al-Ham D Inc,8 Green St # 10, ,Northampton,MA,01063,Unverified,2016,ReferenceUSA,0, , ,42.31669800,-72.63730400,Convenience Stores,2400000001000000010004006A6900000C00000001000000A5E398D7A9159493FCE9A411
112,Alam Sunny,59 Franklin St, ,Lynn,MA,01902,Verified,2016,ReferenceUSA,0, , ,42.47172900,-70.96159300,Convenience Stores,2400000001000000010004006A6900000C000000010000008DD1C2FBB3159990C989A611
113,Albaraka Convenient Store,325 Pleasant St, ,Worcester,MA,01609,Unverified,2016,ReferenceUSA,0, , ,42.27118200,-71.81257600,Convenience Stores,2400000001000000010004006A6900000C000000010000009780AFDFAE159BBE9FB4A411
114,Aldaway Convenience Co Inc,549 Sawyer St, ,New Bedford,MA,02746,Unverified,2016,ReferenceUSA,0, , ,41.65636400,-70.93908100,Convenience Stores,2400000001000000010004006A6900000C000000010000008ACEED92B415A0A582AA9F11
115,Alden Street Convenience Store,187 Alden St, ,Springfield,MA,01109,Unverified,2016,ReferenceUSA,0, , ,42.11438800,-72.54916500,Convenience Stores,2400000001000000010004006A6900000C000000010000008E8DEC99AA1590E6E592A311
116,Alise Inc,75 Dudley St, ,Cambridge,MA,02140,Unverified,2016,ReferenceUSA,0, , ,42.39582800,-71.13202800,Convenience Stores,2400000001000000010004006A6900000C00000001000000A1BC9AF6B215BFC8BAB8A511
117,All In 1,24 Olney St, ,Seekonk,MA,02771,Unverified,2016,ReferenceUSA,0, , ,41.81366500,-71.31872400,Convenience Stores,2400000001000000010004006A6900000C0000000100000099E4F6E4B115A39DA9CFA011
118,All In 1,301 Taunton Ave, ,Seekonk,MA,02771,Unverified,2016,ReferenceUSA,0, , ,41.82490100,-71.33404200,Convenience Stores,2400000001000000010004006A6900000C000000010000008B90E2D8B1158ABA99DBA011
119,All In One Shop,1144 Southampton Rd, ,Westfield,MA,01085,Unverified,2016,ReferenceUSA,0, , ,42.18325300,-72.72686100,Convenience Stores,2400000001000000010004006A6900000C000000010000008EABE18EA91585A3CDDDA311
120,All In One Variety,789 County St, ,New Bedford,MA,02740,Unverified,2016,ReferenceUSA,0, , ,41.64783000,-70.93184500,Convenience Stores,2400000001000000010004006A6900000C000000010000008687D598B415A69282A19F11
121,All Seasons Qwik Dry,91 Ash St, ,Townsend,MA,01469,Unverified,2016,ReferenceUSA,0, , ,42.63482600,-71.68397000,Convenience Stores,2400000001000000010004006A6900000C00000001000000B98CB0C5AF1589FC95B5A711
122,Allston Convenience Store,165 Allston St, ,Allston,MA,02134,Verified,2016,ReferenceUSA,0, , ,42.34778200,-71.13815700,Convenience Stores,2400000001000000010004006A6900000C00000001000000A891CEF1B2158EABC585A511
