name,type,address,zip,lat,lon
Wellesley Park,open space,Dorchester,,42.29619305,-71.06584371747316
McMorrow Playground,open space,Dorchester,,42.2957523,-71.05081302293854
Hemenway Playground,open space,Dorchester,,42.29146405,-71.05620130559399
Walsh Playground,open space,Dorchester,,42.27695575,-71.07069984026093
Dorchester Park,open space,Dorchester,,38.61528495,-76.93934272223044
Gallivan/Hallet Circle,open space,Dorchester,,42.283947,-71.046951
Toohig Playground,open space,Dorchester,,42.28426025,-71.04996696283442
Nightingale Garden,open space,Dorchester,,42.2947506,-71.0850343
10 Josephine Street Garden,open space,Dorchester,,42.30038162345755,-71.06573489770484
29 Josephine Street Garden,open space,Dorchester,,42.30034770799975,-71.06525687286869
Ripley Playground,open space,Dorchester,,42.2993766,-71.0760269694312
Garvey Playground,open space,Dorchester,,42.28805545,-71.04571990284325
Centervale Park,open space,Dorchester,,42.296352,-71.06344094647302
Geneva Cliffs I,open space,Dorchester,,42.30358085,-71.07298702555845
Bullard Street Garden,open space,Dorchester,,42.302283,-71.07344499999999
Barry Street Garden,open space,Dorchester,,42.307519,-71.06999300000001
Lydon Way Garden,open space,Dorchester,,42.2890049,-71.059938
Codman Square,open space,Dorchester,,42.29048045,-71.07095679192625
Hayes Park,open space,South End,,42.34376339999999,-71.07548870700293
Peters Park II,open space,South End,,42.3432636,-71.06741372863381
Peters Park I,open space,South End,,42.3432636,-71.06741372863381
Ringgold Park,open space,South End,,42.34325305,-71.0701131633081
Blackstone Square,open space,South End,,42.3396606,-71.07352379999998
Franklin Square,open space,South End,,42.33881495,-71.0725537393588
South End South Burying Ground,open space,South End,,42.337964,-71.07406836077053
Worcester Square,open space,South End,,42.33670115,-71.0747468097611
Carter Playground,open space,South End,,42.33894665,-71.0850656293694
Titus Sparrow Park,open space,South End,,42.34351935,-71.07961287420316
Waltham Square,open space,South End,,42.342256,-71.06953399999999
Harriet Tubman Square,open space,South End,,42.34345705,-71.07785066444248
Concord Square,open space,South End,,42.34133345,-71.07886056891941
Kendall & Lenox Streets Garden,open space,South End,,42.33747915,-71.08319675496632
Ramsay Park,open space,South End,,42.33452245,-71.08072255990723
Worcester Street Garden,open space,South End,,42.34065955,-71.07971088067755
Berkeley Street Garden,open space,South End,,42.3544154,-71.07460329999999
Warren & Clarendon Streets Garden,open space,South End,,42.3449534,-71.07262112734159
Dartmouth Green,open space,South End,,42.34463205,-71.07548215808531
Wellington Green,open space,South End,,42.3416908,-71.0819737
Braddock Park Garden,open space,South End,,42.3444205,-71.079307538871
Chester Square,open space,South End,,42.33845655,-71.07902534734791
Msgr. Reynolds Playground,open space,South End,,42.340435299999996,-71.07058713714434
Rutland Square,open space,South End,,42.341006400000005,-71.0773763
Hiscock Park,open space,South End,,42.34267305,-71.07815793235099
Billings Field,open space,West Roxbury,,42.28114715,-71.15609085550977
Leatherbee Woods,open space,West Roxbury,,42.3007326,-71.16394824274289
Mount Benedict Cemetery,open space,West Roxbury,,42.2971178,-71.1679292934082
Mount Lebanon Cemetery,open space,West Roxbury,,42.2895832,-71.1817313146218
Gethsemane Cemetery,open space,West Roxbury,,42.28815485,-71.17924491095648
Dana Road I,open space,West Roxbury,,42.265989000000005,-71.162192
Dana Road II,open space,West Roxbury,,42.265975,-71.161971
Draper Playground,open space,West Roxbury,,42.2602033,-71.16053992435234
Piemonte Park,open space,West Roxbury,,45.0436099,7.634261099999999
Centre Marsh,open space,West Roxbury,,52.9406549,0.0222217
Allandale Woods I,open space,West Roxbury,,42.29625789999999,-71.14097067013276
Allandale Woods III,open space,West Roxbury,,42.299163799999995,-71.13654293354789
Bellevue Hill Reservation,open space,West Roxbury,,42.276487200000005,-71.14394140000002
