OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength,PARK_ID,REGION
7829,Jackson Square,City of Boston,A97,1,Allston-Brighton,0.12031326,Opposite 63 Chestnut Hill Ave,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Viola Square,BPRD,0,0,5240.93896484375,277.79032157111,162,PARK_Maintenance_Region 4
7830,Reilly Playground,Commonwealth of Massachusetts,A97,3,Allston-Brighton,6.96695306, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,0,0,303485.872070312,2550.50594927031, ,INFO_Reallocation From Dept
7831,Boyden Park,Commonwealth of Massachusetts,A97,1,Allston-Brighton,0.48179081, ,Institutional District,"Malls, Squares & Plazas",DCR, ,X,X, , ,0,0,20987.1813964844,608.710018197829, ,INFO_Reallocation From Dept
7832,Evergreen Cemetery,City of Boston,Ch114S7/A97,4,Allston-Brighton,20.77215033,2060 Commonwealth Ave.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,904850.955322266,4005.02324136647,110,PARK_Cemetery Maintenance Request
7833,Hardiman Playground,City of Boston,A97,3,Allston-Brighton,1.47302947,Adair Road/Faneuil Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,64166.3051757812,1064.40425971775,143,PARK_Maintenance_Region 4
7834,St John's Seminary,Private, ,6,Allston-Brighton,59.97256943, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,2612451.57006836,7708.71505086377, ,INFO_Reallocation From Dept
7835,The Cenacles,Private,A97/CR,6,Allston-Brighton,15.33969764, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,BCC,Private,X,X, , ,0,0,668209.108642578,4949.19663121669, ,INFO_Reallocation From Dept
7836,Rogers Park,City of Boston,A97,3,Allston-Brighton,8.17116962,Adjacent to 91 Foster St,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Galvin Park, ,0,0,355942.476074219,2579.29301487423,267,PARK_Maintenance_Region 4
7837,Euston Path Rock,City of Boston, ,6,Allston-Brighton,0.39015654, ,Open Space District,Urban Wilds & Natural Areas,NULL, ,N,N, ,DND,0,0,16856.3525390625,546.238365048366, ,INFO_Reallocation From Dept
7838,Turnpike Overlook,MassDOT, ,6,Allston-Brighton,3.15, ,Open Space District,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,137407.734863281,3711.08977408256, ,INFO_Reallocation From Dept
7839,Foster Street Hill,Private, ,6,Allston-Brighton,3.40605727, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,180392.190917969,2182.59222882929, ,INFO_Reallocation From Dept
7840,Foster Street Rock,Private, ,6,Allston-Brighton,4.62718042, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,201563.552978516,1942.77410531135, ,INFO_Reallocation From Dept
7841,Boston College Athletic Fields,Private, ,3,Allston-Brighton,9.72386143, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,N, , ,0,0,423578.934326172,3571.94170207251, ,INFO_Reallocation From Dept
7842,Chandler Pond,City of Boston,A97/WPA,3,Allston-Brighton,18.90802906,Opposite 44 Lake Shore Rd,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Gallagher Mem. Park, ,0,0,829074.681396484,4020.12458609247,128,PARK_Maintenance_Region 4
7843,Nonquit Green,Community Group/Nonprofit,Land Trust,1,Dorchester,0.35746179, ,Residential District,"Malls, Squares & Plazas",NULL,Nonquit Street Nbhd Assn,N,X, , ,0,0,17838.0144042969,548.713004068568, ,INFO_Reallocation From Dept
7844,Mullen Square,City of Boston,A97,1,Dorchester,0.22675059,Edison Green,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,0,0,9877.4326171875,409.187268575578,210,PARK_Maintenance_Region 2
7845,Dorchester North Burying Ground,City of Boston,Ch114S7/A97,4,Dorchester,3.30391727, ,Commercial/Office/Business District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,143921.195800781,1827.53413869508,089,PARK_Cemetery Maintenance Request
7846,Calf Pasture,Commonwealth of Massachusetts,WPA/Ch91,3,Dorchester,7.44, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL,COM,N,X,Columbia Point,UMass Boston,0,0,324096.698242188,4005.45197164021, ,INFO_Reallocation From Dept
7847,Meetinghouse Hill Overlook,City of Boston, ,6,Dorchester,0.40922366, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,14713.4497070312,760.88256952449, ,PARK_Maintenance_Ground Maintenance
7848,Downer Avenue Playground,City of Boston,A97,3,Dorchester,0.80889778,43 Downer Ave.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,33938.47265625,936.103549498646,092,PARK_Maintenance_Region 2
7849,The Humps,City of Boston, ,6,Dorchester,0.92720636, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , , ,0,0,40564.796875,985.573943574094, ,INFO_Reallocation From Dept
7850,Quincy/Stanley Play Area,City of Boston,A97,3,Dorchester,0.3724094,Quincy Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,16344.8684082031,529.790732070937,251,PARK_Maintenance_Region 5
7851,Deer Street Park,City of Boston,A97,3,Dorchester,0.24478116,Opposite 34 Deer Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,10740.0944824219,487.057189419263,080,PARK_Maintenance_Region 2
7852,Savin Hill Beach,Commonwealth of Massachusetts,A97,2,Dorchester,2.98993894, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,0,0,149575.529052734,3618.98297513673, ,INFO_Reallocation From Dept
7853,Coppens Square,City of Boston,A97,1,Dorchester,0.35701954,Opposite 344 Bowdoin Str.,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Rev. Francis X. Coppens Square,BPRD,0,0,15552.0478515625,489.71374069705,070,PARK_Maintenance_Region 2
7854,Old Harbor Park,Commonwealth of Massachusetts,A97/LWCF/Ch91,2,Dorchester,7.99, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,0,0,350398.299560547,6687.04662351106, ,INFO_Reallocation From Dept
7855,McConnell Park,City of Boston,A97,3,Dorchester,6.76,28 Denny Str./Playstead Rd,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,McConnell Plgd,BPRD,0,0,294548.781494141,3157.21967904741,191,PARK_Maintenance_Region 2
7856,Boston Common,City of Boston,A97/NHL,3,Back Bay/Beacon Hill,45.74,139 Tremont Str. @VIC,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, , ,0,0,1992352.51513672,6329.29865579497,027,PARK_Maintenance_Region 1
7857,Central Burying Ground,City of Boston,A97/NHL/PR/BL,4,Back Bay/Beacon Hill,1.49,Opposite 123 Boylston Str.,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, , ,0,0,64864.228515625,1105.08148805798,047,PARK_Cemetery Maintenance Request
7858,Public Garden,City of Boston,A97,3,Back Bay/Beacon Hill,23.51,"Boylston, Arlington, Charles",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, , ,0,0,1023949.01000977,4131.46132622743,246,PARK_Maintenance_Region 1
7859,Granary Burying Ground,City of Boston,A97/NRHP/PR/BL,4,Back Bay/Beacon Hill,1.86,Opposite 110 Tremont,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,80878.5754394531,1160.13387017951,137,PARK_Cemetery Maintenance Request
7860,Phillips Street Play Area,City of Boston,A97,3,Back Bay/Beacon Hill,0.11526636,Phillips Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, , ,0,0,5021.09228515625,330.554053117488,237,PARK_Maintenance_Region 1
7861,Myrtle Street Playground,City of Boston,A97,3,Back Bay/Beacon Hill,0.14766565,Opposite 28 Phillips Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,7001.40869140625,342.298423096947,212,PARK_Maintenance_Region 1
7862,Louisburg Square,Private, ,1,Back Bay/Beacon Hill,0.32409576, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,N, , ,0,0,14117.8640136719,596.068478487795, ,INFO_Reallocation From Dept
7863,State House Park,Commonwealth of Massachusetts, ,1,Back Bay/Beacon Hill,1.23870543, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,53958.9677734375,987.816357280394, ,INFO_Reallocation From Dept
7864,Copley Square Park,City of Boston,A97,1,Back Bay/Beacon Hill,1.85428821,St. James Ave.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,0,0,80774.2299804688,1400.21641144659,069,PARK_Maintenance_Region 1
7865,Prudential Center Plaza I,Private, ,1,Back Bay/Beacon Hill,1.0626591, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X,Boylston Str. Plaza, ,0,0,46290.25390625,901.777139417274, ,INFO_Reallocation From Dept
7866,Clarendon Street Playlot,City of Boston,A97,3,Back Bay/Beacon Hill,0.33235436, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,14108.8996582031,475.648939315179,058,PARK_Maintenance_Region 1
7867,Somerset Street Plaza,Commonwealth of Massachusetts, ,1,Back Bay/Beacon Hill,0.93030039, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,29558.6127929688,854.777696731809, ,INFO_Reallocation From Dept
7868,DeFilippo Playground,City of Boston,A97,3,Central Boston,1.11555607,135 Prince Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,48701.7104492188,969.026371928545,081,PARK_Maintenance_Region 1
7869,Copp's Hill Burying Ground,City of Boston,A97/NRHP/PR,4,Central Boston,1.98141665,Opposite 34 Hull Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,86312.0434570312,1311.8593490699,071,PARK_Cemetery Maintenance Request
7870,Copp's Hill Terrace,City of Boston,A97/NRHP,1,Central Boston,0.61198844,536 Commericial Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,0,0,26658.6906738281,682.85745639086,072,PARK_Maintenance_Region 1
7871,Foster Street Play Area,City of Boston,A97,3,Central Boston,0.10503572, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,4686.06884765625,298.407257360184,123,PARK_Maintenance_Region 1
7872,Charter Street Park,City of Boston,A97,3,Central Boston,0.23534031,Opposite 26 Charter Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,10397.58203125,495.821153685783,052,PARK_Maintenance_Region 1
7873,Paul Revere Mall,City of Boston,A97,1,Central Boston,0.86,370 Hanover Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"The Prado;  Webster Avenue Playground",BPRD,0,0,37335.7238769531,1239.51940482553,231,PARK_Maintenance_Region 1
7874,Polcari Park,City of Boston,A97,3,Central Boston,0.28857259,Opposite 44 Prince Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,12149.8793945312,522.716715536562,240,PARK_Maintenance_Region 1
7875,Cutillo Park,City of Boston,A97,3,Central Boston,0.28491861,Opposite 15 Stillman Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,12603.5688476562,505.561349423934,077,PARK_Maintenance_Region 1
7876,City Hall Plaza,BRA,A97,1,Central Boston,5.93146518, ,Open Space District,"Malls, Squares & Plazas",NULL, ,X,X,City Hall Square, ,0,0,261953.204345703,2862.08189895362, ,PARK_Maintenance_Ground Maintenance
7877,Cardinal Cushing Park I,BRA, ,1,Central Boston,0.35,"IFO 15 New Chardon Street (""One Bowdoin Square"")",Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,15275.9174804688,486.708447072343, ,PARK_Maintenance_Region 1
7878,Norman Leventhal Park,Private,Agrmnt,3,Central Boston,1.54521864,130 Congress Str.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BRA,Private,X,X,Post Office Square Park, ,0,0,67117.2043457031,1073.31583322921, ,INFO_Reallocation From Dept
7879,Pemberton Square I,BRA, ,1,Central Boston,0.18485239, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,8052.3125,379.317849576168, ,INFO_Reallocation From Dept
7880,Pemberton Square II,City of Boston, ,1,Central Boston,1.06216494, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,46268.7197265625,1543.07736164533, ,INFO_Reallocation From Dept
7881,Angell Memorial Square,City of Boston,A97,1,Central Boston,0.17663084,Congress Str.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,0,0,7694.17626953125,390.127312104151,010,PARK_Maintenance_Ground Maintenance
7882,Union Street Park I,BRA,A97,1,Central Boston,0.51,Between Union Street & Congress Street opposite City Hall,Open Space District,"Malls, Squares & Plazas",NULL,BPRD,X,X,"Holocaust Memorial;  Curley Memorial",BRA,0,0,22141.7309570312,908.922201133903, ,PARK_Maintenance_Ground Maintenance
7883,Langone Park,City of Boston,A97/Ch91/WPA,3,Central Boston,2.18,529 Commercial Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,95123.37109375,1350.23920436565,175,PARK_Maintenance_Region 1
7884,School Street Park,BRA, ,1,Central Boston,0.08,Opposite 308 Washington St,Special District,"Malls, Squares & Plazas",NULL,Private,N,X, , ,0,0,3257.80810546875,246.63479062679, ,INFO_Reallocation From Dept
7885,Prince Street Park,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Central Boston,1.28, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,0,0,55927.8071289062,2133.61024458381, ,INFO_Reallocation From Dept
7886,Ausonia Plaza,BRA, ,1,Central Boston,0.19623955, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,8329.9345703125,368.382973607104, ,INFO_Reallocation From Dept
7887,Rachel Revere Square,City of Boston,A97,1,Central Boston,0.07859187,210 North St.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,0,0,3500.36987304688,238.44330587841,252,PARK_Maintenance_Region 1
7888,Tai Tung Park,City of Boston,A97,3,Central Boston,0.03323863,"110 Tyler Street, Corner w/Tai Tung St.",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Tai Tung Tot Lot, ,0,0,1458.97265625,185.311413417325,299,PARK_Maintenance_Region 1
7889,Pine Street Park,BRA, ,3,Central Boston,0.27166117, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,12309.1794433594,543.203010941711, ,PARK_Maintenance_Ground Maintenance
7890,Quincy Market Square,BRA, ,1,Central Boston,1.56, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL,Private,N,X,Quincy Market, ,0,0,67903.1413574219,3500.21832027624, ,INFO_Reallocation From Dept
7891,Winthrop Square,City of Boston, ,1,Central Boston,0.16, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,7026.90112304688,349.83605667342, ,INFO_Reallocation From Dept
7892,Edwards Playground,City of Boston,A97,3,Charlestown,1.34,10 Eden Str.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,McCarthy-Eden Plgd, ,0,0,58311.892578125,1051.74273865073,101,PARK_Maintenance_Region 1
7893,City Square,Commonwealth of Massachusetts,A97/LL,1,Charlestown,1.21, ,Open Space District,"Malls, Squares & Plazas",DCR, ,X,X, , ,0,0,52650.4597167969,912.826570600629, ,INFO_Reallocation From Dept
7894,John Harvard Mall,City of Boston,A97,1,Charlestown,0.82977059, ,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,0,0,36145.44921875,934.550479632833,145,PARK_Maintenance_Region 1
7895,Paul Revere Park,Commonwealth of Massachusetts,A97,2,Charlestown,6.40013027, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,0,0,278794.612548828,2132.10614660643, ,INFO_Reallocation From Dept
7896,Charlestown HS Athletic Fields,City of Boston,Ch91/WPA,3,Charlestown,10.42,Opposite 240 Medford St,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X,Little Mystic Harborwalk, ,0,0,453734.609375,5785.19368142398,051,PARK_Maintenance_Region 1
7897,Ryan Playground,City of Boston,A97/Ch91/WPA,3,Charlestown,8.78,62 Alford Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,382283.079101562,2922.47871315916,274,PARK_Maintenance_Region 1
7898,Gardens for Charlestown,Private,Land Trust,5,Charlestown,0.36291476, ,Commercial/Office/Business District,Community Gardens,NULL, ,N, ,Sullivan Sq. CG, ,0,0,15808.8481445312,512.373704203681, ,INFO_Reallocation From Dept
7899,Barry Playground,City of Boston,A97/Ch91/WPA,3,Charlestown,3.32,41 Medford St,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,154686.395019531,1668.70186431338,015,PARK_Maintenance_Region 1
7900,Doherty Playground,City of Boston,A97/USH,3,Charlestown,3.02175616,349 Bunker Hill Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,163447.620849609,1672.62159621595,087,PARK_Maintenance_Region 1
7901,St Francis De Sales Cemetery,Private, ,4,Charlestown,1.79538401, ,Residential District,Cemeteries & Burying Grounds,NULL, ,N, , , ,0,0,78398.3706054688,1368.6932347679, ,INFO_Reallocation From Dept
7902,Bunker Hill Monument,United States of America,NRHP/PR,1,Charlestown,3.75283998, ,Residential District,"Malls, Squares & Plazas",National Park Service,National Park Service,X,X,Monument Square,NPS,0,0,164483.457519531,1625.95346545365, ,INFO_Reallocation From Dept
7903,Phipps Street Burying Ground,City of Boston,Ch114S7/A97,4,Charlestown,1.7478712, ,Residential District,Cemeteries & Burying Grounds,BPRD, ,X,A, , ,0,0,74996.5734863281,1071.11925589519,238,PARK_Maintenance_Ground Maintenance
7904,Winthrop Square,City of Boston,A97,1,Charlestown,0.9,"Winthrop, Common, Adams Sts.",Residential District,"Malls, Squares & Plazas",BPRD, ,X,X,Training Field, ,0,0,39238.9711914062,753.054850965781,326,PARK_Maintenance_Region 1
7905,Hayes Square,City of Boston,A97,1,Charlestown,0.17470544,Between Bunker Hill and Vine St.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,0,0,7610.30444335938,378.056150785976,148,PARK_Maintenance_Region 1
7906,Charlestown Sprouts Garden,City of Boston, ,5,Charlestown,0.48, ,Open Space District,Community Gardens,NULL, ,N, , , ,0,0,20758.9040527344,558.926316024754, ,PARK_Maintenance_Region 1
7907,East Boston Memorial Park I,City of Boston,A97,3,East Boston,14.79060502, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Satori Stadium, ,0,0,770074.516601562,7044.28157985143,098,PARK_Maintenance_Region 1
7908,Noyes Playground,City of Boston,A97,3,East Boston,8.22374845,86 Boardman St.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,362270.835205078,2733.82109637144,216,PARK_Maintenance_Region 1
7909,Bayswater Street,Massport, ,6,East Boston,1.70395628, ,Special District,Urban Wilds & Natural Areas,NULL, ,N,X, , ,0,0,74225.6555175781,3858.3110851573, ,INFO_Reallocation From Dept
7910,Temple Ohabei Shalom Cemetery,Private, ,4,East Boston,2.33948186, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N, , , ,0,0,101909.642089844,1291.84811222588, ,INFO_Reallocation From Dept
7911,Cuneo Park,City of Boston,A97,3,East Boston,0.23067238, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Saratoga St. Play Area, ,0,0,10048.2678222656,400.930101724585,074,PARK_Maintenance_Region 1
7912,Bennington Street Cemetery,City of Boston,Ch114S7/A97,4,East Boston,3.58974149,Opposite 490 Bennington Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,A, , ,0,0,156371.919433594,1595.04862848174,022,PARK_Cemetery Maintenance Request
7913,American Legion Playground,City of Boston,A97,3,East Boston,3.38388095,24 Glendon Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,147249.758300781,1538.69094244443,009,PARK_Maintenance_Region 1
7914,Prescott Square,City of Boston,A97,1,East Boston,0.27780017,Between Trenton and Eagle St.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,0,0,11965.5688476562,479.950343093222,245,PARK_Maintenance_Region 1
7915,Putnam Square,City of Boston,A97,1,East Boston,0.26354042, ,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,0,0,11622.7426757812,474.594085652793,249,PARK_Maintenance_Region 1
7916,Paris Street Playground,City of Boston,A97,3,East Boston,0.79449789,121 Paris Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,55816.4501953125,1091.11730205322,226,PARK_Maintenance_Region 1
7917,Brophy Park,City of Boston,A97,3,East Boston,0.77383094,Opposite 195 Webster Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Belmont Square, ,0,0,34084.6669921875,773.872962672703,033,PARK_Maintenance_Region 1
7918,Sumner & Lamson Street Playground,City of Boston,A97,3,East Boston,0.48357588,Opposite 492 Sumner Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,20849.0986328125,617.092144765378,296,PARK_Maintenance_Region 1
7919,Joe Ciampa Garden,BNAN_TTOR,Land Trust,5,East Boston,0.22171011, ,Open Space District,Community Gardens,NULL, ,N, ,Marginal St. Gdns, ,0,0,9784.93701171875,397.564138602728, ,INFO_Reallocation From Dept
7920,Condor Street Beach I,City of Boston,A97/LWCF/Ch91/W,6,East Boston,2.74,300 Condor St.,Open Space District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, , ,0,0,119514.577636719,1928.25429290825, ,PARK_Maintenance_Region 1
7921,Festa Field,Massport, ,3,East Boston,0.99445051, ,Special District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,43319.0344238281,841.569810002868, ,INFO_Reallocation From Dept
7922,Eagle Hill Memorial Park Garden,BNAN_TTOR,Land Trust,5,East Boston,0.15315481, ,Residential District,Community Gardens,NULL, ,N, , , ,0,0,6671.5419921875,326.935205028807, ,INFO_Reallocation From Dept
7923,East Boston Greenway,City of Boston,A97/WPA,2,East Boston,2.61096403,144 Marginal Str.,Residential District,"Parkways, Reservations & Beaches",BPRD, ,X,X, , ,0,0,152528.735351562,5457.49537581961,097,PARK_Maintenance_Region 1
7924,Dom Savio Athletic Field,Private, ,3,East Boston,3.11070765, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,135504.834472656,1801.65082952322, ,INFO_Reallocation From Dept
7925,Fenway Park Field,Private, ,3,Fenway/Kenmore,2.78, ,Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, ,Baseball Field at Fenway Park, ,0,0,121268.337890625,1376.70645053609, ,INFO_Reallocation From Dept
7926,Symphony Community Park,City of Boston,A97,3,Fenway/Kenmore,0.49679593,Edgerly Road btwn Norway and Burbank Sts.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Morville Park, ,0,0,20803.8413085938,777.079467880363,298,PARK_Maintenance_Region 3
7927,Edgerly Road Playground,City of Boston,A97,3,Fenway/Kenmore,0.1081164,6 Edgerly Road,Special District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,5366.2255859375,301.10438339279,099,PARK_Maintenance_Region 3
7928,Symphony Road Garden,BNAN_TTOR,Land Trust,5,Fenway/Kenmore,0.29788615, ,Residential District,Community Gardens,NULL, ,N, , , ,0,0,12976.1516113281,492.493104577451, ,INFO_Reallocation From Dept
7929,Wentworth Field,Private, ,3,Fenway/Kenmore,2.98150699, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,129876.753173828,1603.72462095928, ,INFO_Reallocation From Dept
7930,Oscar Tugo Circle,City of Boston, ,1,Fenway/Kenmore,0.05755321, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,2507.05810546875,195.253336046526, ,PARK_Maintenance_Ground Maintenance
